Vdw-Lambda,Ele-Lambda,Rest-Lambda,Folder,ΔGˢᵒˡᵛ,ΔGˢᵒˡᵛᵉʳʳ,ΔGˢᵒˡᵛᶠʷᵈ,ΔGˢᵒˡᵛᵇʷᵈ,ΔGˢᵒˡᵛᶠʷᵈᵇʷᵈ,ΔHˢᵒˡᵛ,ΔHˢᵒˡᵛᵉʳʳ,TΔSˢᵒˡᵛ,TΔSˢᵒˡᵛᵉʳʳ,SolvOverlap,Folder,ΔGᶜᵒᵐᵖ,ΔGᶜᵒᵐᵖᵉʳʳ,ΔGᶜᵒᵐᵖᶠʷᵈ,ΔGᶜᵒᵐᵖᵇʷᵈ,ΔGᶜᵒᵐᵖᶠʷᵈᵇʷᵈ,ΔHᶜᵒᵐᵖ,ΔHᶜᵒᵐᵖᵉʳʳ,TΔSᶜᵒᵐᵖ,TΔSᶜᵒᵐᵖᵉʳʳ,CompOverlap
1-1,0.9-1,1-0,SolvE0.9_V1-SolvE1_V1,-33.423,0.024,-33.315,-33.562,0.2469999999999999,-39.147,2.619,-5.724,2.619,0.28,CompE0.9_V1_R1-CompE1_V1_R0,-33.948,0.036,-34.074,-33.858,0.21600000000000108,-4.475,8.429,29.474,8.429,0.333
1-1,0.8-0.9,1-1,SolvE0.8_V1-SolvE0.9_V1,-28.086,0.021,-28.004,-28.088,0.08399999999999963,-31.442,2.504,-3.356,2.504,0.313,CompE0.8_V1_R1-CompE0.9_V1_R1,-28.875,0.032,-28.69,-29.138,0.4480000000000004,-62.45,7.292,-33.575,7.292,0.299
1-1,0.7-0.8,1-1,SolvE0.7_V1-SolvE0.8_V1,-23.227,0.022,-23.078,-23.148,0.07000000000000028,-25.785,2.571,-2.559,2.572,0.326,CompE0.7_V1_R1-CompE0.8_V1_R1,-23.918,0.024,-23.908,-24.054,0.14599999999999724,-3.359,5.721,20.559,5.721,0.326
1-1,0.6-0.7,1-1,SolvE0.6_V1-SolvE0.7_V1,-18.798,0.018,-18.835,-18.801,0.03400000000000247,-12.233,2.274,6.565,2.274,0.382,CompE0.6_V1_R1-CompE0.7_V1_R1,-19.493,0.023,-19.651,-19.444,0.20700000000000074,-16.935,6.109,2.559,6.109,0.392
1-1,0.5-0.6,1-1,SolvE0.5_V1-SolvE0.6_V1,-15.036,0.016,-14.967,-15.026,0.058999999999999275,-13.721,2.109,1.315,2.109,0.431,CompE0.5_V1_R1-CompE0.6_V1_R1,-15.7,0.022,-15.794,-15.581,0.21300000000000097,-33.631,5.957,-17.931,5.957,0.409
1-1,0.4-0.5,1-1,SolvE0.4_V1-SolvE0.5_V1,-11.622,0.014,-11.56,-11.644,0.08399999999999963,-7.987,2.003,3.635,2.003,0.467,CompE0.4_V1_R1-CompE0.5_V1_R1,-12.251,0.017,-12.307,-12.143,0.1639999999999997,7.043,4.924,19.294,4.924,0.474
1-1,0.3-0.4,1-1,SolvE0.3_V1-SolvE0.4_V1,-8.638,0.012,-8.63,-8.646,0.016000000000000014,-7.093,1.858,1.545,1.858,0.509,CompE0.3_V1_R1-CompE0.4_V1_R1,-8.907,0.026,-8.789,-9.189,0.40000000000000036,11.999,8.096,20.906,8.096,0.45
1-1,0.2-0.3,1-1,SolvE0.2_V1-SolvE0.3_V1,-5.957,0.012,-5.882,-5.977,0.09500000000000064,-4.154,1.832,1.802,1.832,0.545,CompE0.2_V1_R1-CompE0.3_V1_R1,-5.789,0.025,-5.924,-5.818,0.10600000000000076,-6.087,7.893,-0.298,7.893,0.515
1-1,0.1-0.2,1-1,SolvE0.1_V1-SolvE0.2_V1,-3.533,0.012,-3.48,-3.54,0.06000000000000005,-0.859,1.848,2.674,1.848,0.58,CompE0.1_V1_R1-CompE0.2_V1_R1,-3.477,0.013,-3.825,-3.15,0.6750000000000003,33.714,4.429,37.191,4.429,0.608
1-1,0-0.1,1-1,SolvE0_V1-SolvE0.1_V1,-1.373,0.011,-1.399,-1.345,0.05400000000000005,-1.093,1.756,0.279,1.756,0.59,CompE0_V1_R1-CompE0.1_V1_R1,-1.453,0.015,-1.387,-1.448,0.06099999999999994,-33.12,4.928,-31.667,4.928,0.568
0.95-1,0-0,1-1,SolvE0_V0.95-SolvE0_V1,-0.79,0.022,-0.787,-0.774,0.013000000000000012,-12.051,3.209,-11.261,3.209,0.444,CompE0_V0.95_R1-CompE0_V1_R1,-2.657,0.039,-2.718,-2.479,0.23899999999999988,-4.821,11.105,-2.164,11.105,0.452
0.9-0.95,0-0,1-1,SolvE0_V0.9-SolvE0_V0.95,2.874,0.018,2.816,3.004,0.18800000000000017,-6.919,2.424,-9.793,2.424,0.42,CompE0_V0.9_R1-CompE0_V0.95_R1,1.699,0.037,1.987,1.48,0.5070000000000001,-9.501,9.388,-11.2,9.388,0.346
0.85-0.9,0-0,1-1,SolvE0_V0.85-SolvE0_V0.9,4.995,0.017,4.973,4.974,0.001000000000000334,-3.192,2.199,-8.187,2.199,0.392,CompE0_V0.85_R1-CompE0_V0.9_R1,4.238,0.025,4.004,4.324,0.3200000000000003,20.146,6.615,15.908,6.615,0.41
0.8-0.85,0-0,1-1,SolvE0_V0.8-SolvE0_V0.85,5.927,0.017,5.905,6.084,0.17899999999999938,1.42,2.17,-4.508,2.17,0.375,CompE0_V0.8_R1-CompE0_V0.85_R1,5.461,0.031,5.519,5.212,0.3070000000000004,-2.155,7.323,-7.616,7.323,0.325
0.75-0.8,0-0,1-1,SolvE0_V0.75-SolvE0_V0.8,6.281,0.02,6.221,6.193,0.02800000000000047,4.405,2.307,-1.876,2.307,0.314,CompE0_V0.75_R1-CompE0_V0.8_R1,6.137,0.045,6.04,6.079,0.0389999999999997,0.032,10.175,-6.105,10.175,0.283
