
Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:46:40 2021
Timers Off: Wed Jul 28 13:47:02 2021

Wall Time:       22.22 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.750u      0.017s      0.433w      8 calls
DFH: initialize()                   :     18.367u      1.000s      2.902w      8 calls
DFH: AO Construction                :      3.017u      0.217s      0.482w      8 calls
DFH: AO-Met. Contraction            :      3.200u      0.250s      0.519w      8 calls
HF: Form core H                     :      0.417u      0.067s      0.091w      4 calls
HF: Form S/X                        :      0.067u      0.000s      0.010w      4 calls
HF: Guess                           :      2.167u      0.050s      0.331w      4 calls
SAD Guess                           :      2.067u      0.050s      0.317w      1 calls
HF: Form G                          :      5.900u      0.150s      0.912w     51 calls
JK: D                               :      0.017u      0.000s      0.006w     97 calls
JK: USO2AO                          :      0.017u      0.000s      0.004w     97 calls
JK: JK                              :     14.917u      0.333s      2.278w     97 calls
DFH: compute_JK()                   :     14.900u      0.333s      2.276w     97 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     97 calls
DFH: compute_J                      :      1.900u      0.133s      0.306w     97 calls
DFH: compute_K                      :     12.983u      0.200s      1.964w     97 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     97 calls
HF: Form F                          :      0.017u      0.000s      0.003w     51 calls
HF: Form D                          :      0.017u      0.000s      0.003w     51 calls
HF: DIIS                            :      0.517u      0.100s      0.098w     50 calls
DIISManager::add_entry              :      0.167u      0.017s      0.029w     47 calls
DIISManager::extrapolate            :      0.083u      0.083s      0.029w     47 calls
bMatrix setup                       :      0.067u      0.067s      0.015w     47 calls
bMatrix pseudoinverse               :      0.000u      0.017s      0.004w     47 calls
New vector                          :      0.017u      0.000s      0.008w     47 calls
HF: Form C                          :      0.633u      0.017s      0.099w     50 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      4 calls
DFMP2 Aia                           :      5.783u      0.183s      0.906w      4 calls
DFMP2 (A|mn)                        :      1.950u      0.000s      0.293w      4 calls
DFMP2 (A|mn)C_mi                    :      0.133u      0.000s      0.019w      4 calls
DFMP2 (A|mi)C_na                    :      0.067u      0.000s      0.010w      4 calls
