
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 18:05:20 2022
Timers Off: Tue Feb 22 18:16:38 2022

Wall Time:      678.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     23.700u      0.183s     16.925w     10 calls
DFH: initialize()                   :    950.817u     50.050s    199.062w     10 calls
DFH: AO Construction                :    395.683u     12.083s     78.900w     13 calls
DFH: AO-Met. Contraction            :    493.367u     17.900s     93.596w     13 calls
DFH: Total Workflow                 :    722.300u     22.717s    139.583w      6 calls
HF: Form core H                     :      0.433u      0.100s      0.944w     10 calls
HF: Form S/X                        :      8.633u      0.617s      2.028w     10 calls
HF: Guess                           :     51.317u      3.433s     12.381w     10 calls
SAD Guess                           :     50.017u      3.283s     12.108w     10 calls
HF: Form G                          :    585.950u    203.117s    232.303w    110 calls
JK: D                               :      0.800u      0.100s      0.174w    110 calls
JK: USO2AO                          :      0.417u      0.050s      0.057w    110 calls
JK: JK                              :    582.533u    202.733s    231.505w    110 calls
DFH: compute_JK()                   :    582.517u    202.733s    231.503w    110 calls
DFH: Grabbing AOs                   :     24.950u    154.950s    104.951w    110 calls
DFH: compute_J                      :     69.500u      1.683s     14.298w    110 calls
DFH: compute_K                      :    472.733u     14.383s     91.315w    110 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    110 calls
HF: Form F                          :      0.900u      0.050s      0.211w    110 calls
HF: Form D                          :      1.067u      0.050s      0.246w    110 calls
HF: DIIS                            :     27.500u      3.000s      6.460w    100 calls
DIISManager::add_entry              :      2.467u      0.617s      0.668w    100 calls
DIISManager::extrapolate            :      6.800u      1.633s      1.700w    100 calls
bMatrix setup                       :      4.433u      1.150s      1.157w    100 calls
bMatrix pseudoinverse               :      0.100u      0.000s      0.015w    100 calls
New vector                          :      2.233u      0.483s      0.525w    100 calls
HF: Form C                          :     82.267u      4.417s     17.008w    100 calls
DFMP2 Singles                       :      1.317u      0.050s      0.272w     10 calls
DFMP2 Aia                           :    410.467u     23.050s    104.013w     10 calls
DFMP2 (A|mn)                        :    328.867u      0.283s     56.496w     10 calls
DFMP2 (A|mn)C_mi                    :     16.717u      0.400s      2.985w     10 calls
DFMP2 (A|mi)C_na                    :     12.000u      0.150s      2.144w     10 calls
DFMP2 Aia Write                     :      1.417u      0.683s      0.383w     10 calls
DFMP2 Qia                           :     75.733u      4.900s     16.669w     10 calls
DFMP2 Metric                        :     52.333u      2.450s     11.562w     10 calls
DFMP2 Aia Read                      :      0.600u      0.383s      0.228w     10 calls
DFMP2 (Q|A)(A|ia)                   :     17.800u      0.217s      3.449w     10 calls
DFMP2 Qia Write                     :      1.150u      0.650s      0.446w     10 calls
DFMP2 Energy                        :     64.050u      1.917s     13.051w     10 calls
DFMP2 Qia Read                      :      0.600u      0.300s      0.362w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     23.700u      0.183s     16.925w     10 calls
DFH: initialize()                   :    950.817u     50.050s    199.062w     10 calls
| DFH: AO Construction              :     81.250u      2.533s     16.027w      7 calls
| DFH: AO-Met. Contraction          :     85.500u      4.733s     16.886w      7 calls
| DFH: Total Workflow               :    722.300u     22.717s    139.583w      6 calls
| | DFH: AO Construction            :    314.433u      9.550s     62.873w      6 calls
| | DFH: AO-Met. Contraction        :    407.867u     13.167s     76.710w      6 calls
HF: Form core H                     :      0.433u      0.100s      0.944w     10 calls
HF: Form S/X                        :      8.633u      0.617s      2.028w     10 calls
HF: Guess                           :     51.317u      3.433s     12.381w     10 calls
| SAD Guess                         :     50.017u      3.283s     12.108w     10 calls
HF: Form G                          :    585.950u    203.117s    232.303w    110 calls
| JK: D                             :      0.800u      0.100s      0.174w    110 calls
| JK: USO2AO                        :      0.417u      0.050s      0.057w    110 calls
| JK: JK                            :    582.533u    202.733s    231.505w    110 calls
| | DFH: compute_JK()               :    582.517u    202.733s    231.503w    110 calls
| | | DFH: Grabbing AOs             :     24.950u    154.950s    104.951w    110 calls
| | | DFH: compute_J                :     69.500u      1.683s     14.298w    110 calls
| | | DFH: compute_K                :    472.733u     14.383s     91.315w    110 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    110 calls
HF: Form F                          :      0.900u      0.050s      0.211w    110 calls
HF: Form D                          :      1.067u      0.050s      0.246w    110 calls
HF: DIIS                            :     27.500u      3.000s      6.460w    100 calls
| DIISManager::add_entry            :      2.467u      0.617s      0.668w    100 calls
| DIISManager::extrapolate          :      6.800u      1.633s      1.700w    100 calls
| | bMatrix setup                   :      4.433u      1.150s      1.157w    100 calls
| | bMatrix pseudoinverse           :      0.100u      0.000s      0.015w    100 calls
| | New vector                      :      2.233u      0.483s      0.525w    100 calls
HF: Form C                          :     82.267u      4.417s     17.008w    100 calls
DFMP2 Singles                       :      1.317u      0.050s      0.272w     10 calls
DFMP2 Aia                           :    410.467u     23.050s    104.013w     10 calls
| DFMP2 (A|mn)                      :    328.867u      0.283s     56.496w     10 calls
| DFMP2 (A|mn)C_mi                  :     16.717u      0.400s      2.985w     10 calls
| DFMP2 (A|mi)C_na                  :     12.000u      0.150s      2.144w     10 calls
| DFMP2 Aia Write                   :      1.417u      0.683s      0.383w     10 calls
DFMP2 Qia                           :     75.733u      4.900s     16.669w     10 calls
| DFMP2 Metric                      :     52.333u      2.450s     11.562w     10 calls
| DFMP2 Aia Read                    :      0.600u      0.383s      0.228w     10 calls
| DFMP2 (Q|A)(A|ia)                 :     17.800u      0.217s      3.449w     10 calls
| DFMP2 Qia Write                   :      1.150u      0.650s      0.446w     10 calls
DFMP2 Energy                        :     64.050u      1.917s     13.051w     10 calls
| DFMP2 Qia Read                    :      0.600u      0.300s      0.362w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 18:05:20 2022
Timers Off: Tue Feb 22 18:16:50 2022

Wall Time:      690.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     23.983u      0.267s     17.233w     10 calls
DFH: initialize()                   :    933.900u     47.233s    193.803w     10 calls
DFH: AO Construction                :    389.917u     12.050s     77.051w     13 calls
DFH: AO-Met. Contraction            :    485.450u     14.950s     89.986w     13 calls
DFH: Total Workflow                 :    708.733u     19.583s    134.829w      6 calls
HF: Form core H                     :      0.283u      0.100s      0.395w     10 calls
HF: Form S/X                        :      8.383u      0.567s      2.046w     10 calls
HF: Guess                           :     55.850u      3.967s     13.064w     10 calls
SAD Guess                           :     54.633u      3.917s     12.782w     10 calls
HF: Form G                          :    593.217u    216.417s    236.099w    110 calls
JK: D                               :      0.950u      0.033s      0.219w    110 calls
JK: USO2AO                          :      0.217u      0.017s      0.054w    110 calls
JK: JK                              :    589.750u    216.150s    235.151w    110 calls
DFH: compute_JK()                   :    589.750u    216.150s    235.149w    110 calls
DFH: Grabbing AOs                   :     25.200u    167.483s    111.219w    110 calls
DFH: compute_J                      :     75.050u      1.967s     15.207w    110 calls
DFH: compute_K                      :    470.400u     16.317s     88.888w    110 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    110 calls
HF: Form F                          :      1.067u      0.100s      0.240w    110 calls
HF: Form D                          :      1.033u      0.083s      0.293w    110 calls
HF: DIIS                            :     26.533u      3.167s      6.302w    100 calls
DIISManager::add_entry              :      2.200u      0.617s      0.617w    100 calls
DIISManager::extrapolate            :      6.650u      1.917s      1.688w    100 calls
bMatrix setup                       :      4.250u      1.250s      1.106w    100 calls
bMatrix pseudoinverse               :      0.067u      0.017s      0.014w    100 calls
New vector                          :      2.317u      0.650s      0.564w    100 calls
HF: Form C                          :     87.250u      4.700s     18.527w    100 calls
DFMP2 Singles                       :      1.533u      0.100s      0.339w     10 calls
DFMP2 Aia                           :    433.417u     24.100s    110.003w     10 calls
DFMP2 (A|mn)                        :    347.317u      0.533s     60.866w     10 calls
DFMP2 (A|mn)C_mi                    :     19.333u      0.500s      3.535w     10 calls
DFMP2 (A|mi)C_na                    :     14.500u      0.300s      2.765w     10 calls
DFMP2 Aia Write                     :      1.017u      0.650s      0.347w     10 calls
DFMP2 Qia                           :     78.733u      5.417s     17.467w     10 calls
DFMP2 Metric                        :     54.900u      2.750s     12.354w     10 calls
DFMP2 Aia Read                      :      0.683u      0.433s      0.341w     10 calls
DFMP2 (Q|A)(A|ia)                   :     18.117u      0.217s      3.367w     10 calls
DFMP2 Qia Write                     :      1.383u      0.667s      0.381w     10 calls
DFMP2 Energy                        :     63.967u      2.117s     12.728w     10 calls
DFMP2 Qia Read                      :      0.450u      0.333s      0.453w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     23.983u      0.267s     17.233w     10 calls
DFH: initialize()                   :    933.900u     47.233s    193.803w     10 calls
| DFH: AO Construction              :     80.300u      2.400s     15.501w      7 calls
| DFH: AO-Met. Contraction          :     86.333u      5.017s     16.706w      7 calls
| DFH: Total Workflow               :    708.733u     19.583s    134.829w      6 calls
| | DFH: AO Construction            :    309.617u      9.650s     61.550w      6 calls
