
Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:50:09 2021
Timers Off: Wed Jul 28 13:50:27 2021

Wall Time:       18.21 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.983u      0.050s      0.244w      6 calls
DFH: initialize()                   :      7.817u      0.383s      1.235w      6 calls
DFH: AO Construction                :      0.983u      0.017s      0.153w      6 calls
DFH: AO-Met. Contraction            :      0.533u      0.033s      0.089w      6 calls
HF: Form core H                     :      0.283u      0.033s      0.059w      3 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      3 calls
HF: Guess                           :      3.217u      0.217s      0.516w      3 calls
SAD Guess                           :      3.117u      0.217s      0.500w      1 calls
HF: Form G                          :      1.217u      0.000s      0.179w     42 calls
JK: D                               :      0.050u      0.000s      0.003w     77 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     77 calls
JK: JK                              :      2.667u      0.033s      0.398w     77 calls
DFH: compute_JK()                   :      2.667u      0.033s      0.398w     77 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     77 calls
DFH: compute_J                      :      0.283u      0.000s      0.047w     77 calls
DFH: compute_K                      :      2.300u      0.033s      0.348w     77 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     77 calls
HF: Form F                          :      0.017u      0.000s      0.001w     42 calls
HF: Form D                          :      0.017u      0.000s      0.001w     42 calls
HF: DIIS                            :      0.433u      0.017s      0.064w     41 calls
DIISManager::add_entry              :      0.067u      0.017s      0.014w     39 calls
DIISManager::extrapolate            :      0.117u      0.000s      0.015w     39 calls
bMatrix setup                       :      0.050u      0.000s      0.006w     39 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.004w     39 calls
New vector                          :      0.033u      0.000s      0.005w     39 calls
HF: Form C                          :      0.233u      0.000s      0.038w     41 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      3 calls
DFMP2 Aia                           :      2.633u      0.167s      0.424w      3 calls
DFMP2 (A|mn)                        :      0.483u      0.000s      0.070w      3 calls
DFMP2 (A|mn)C_mi                    :      0.017u      0.000s      0.004w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.002w      3 calls
DFMP2 Aia Write                     :      0.017u      0.000s      0.003w      3 calls
DFMP2 iaQ                           :      2.233u      0.150s      0.368w      3 calls
DFMP2 Metric                        :      1.867u      0.117s      0.298w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.003w      3 calls
DFMP2 (Q|A)(A|ia)                   :      0.083u      0.000s      0.013w      6 calls
DFMP2 Qia Write                     :      0.000u      0.017s      0.003w      3 calls
DFMP2 Qia Read                      :      0.017u      0.033s      0.003w      9 calls
DFMP2 Bia Write                     :      0.017u      0.000s      0.003w      3 calls
DFMP2 aiQ                           :      0.183u      0.033s      0.041w      3 calls
DFMP2 Tij                           :      0.583u      0.033s      0.101w      3 calls
DFMP2 Cia Read                      :      0.017u      0.000s      0.003w      6 calls
DFMP2 I                             :      0.283u      0.000s      0.040w      6 calls
DFMP2 T2                            :      0.100u      0.000s      0.016w      6 calls
DFMP2 G                             :      0.133u      0.000s      0.021w      3 calls
DFMP2 Pab                           :      0.050u      0.000s      0.007w      3 calls
DFMP2 Gia Write                     :      0.017u      0.000s      0.003w      3 calls
DFMP2 Tab                           :      0.483u      0.067s      0.090w      3 calls
DFMP2 Qai Read                      :      0.000u      0.000s      0.002w      6 calls
DFMP2 Pij                           :      0.033u      0.000s      0.005w      3 calls
DFMP2 gamma                         :      0.217u      0.017s      0.040w      3 calls
DFMP2 Gia Read                      :      0.017u      0.000s      0.002w      6 calls
DFMP2 g                             :      0.050u      0.000s      0.007w      3 calls
DFMP2 Gia                           :      0.183u      0.050s      0.042w      3 calls
DFMP2 aiG Write                     :      0.017u      0.000s      0.004w      3 calls
DFMP2 AB^x                          :      1.567u      0.083s      0.258w      3 calls
DFMP2 Amn^x                         :      4.500u      0.150s      0.703w      3 calls
DFMP2 L                             :      3.083u      0.167s      0.499w      3 calls
DFMP2 P                             :      0.133u      0.017s      0.029w      3 calls
DFMP2 W                             :      0.117u      0.033s      0.030w      3 calls
DFMP2 Z                             :      6.633u      0.267s      1.043w      3 calls
DFMP2 grad                          :     15.867u      1.117s      7.304w      3 calls
Grad: V T Perturb                   :      2.117u      0.317s      0.360w      3 calls
Grad: S                             :      0.000u      0.000s      0.001w      3 calls
Grad: JK                            :     13.350u      0.767s      6.866w      3 calls
CorrGrad: Amn                       :      2.433u      0.167s      0.388w      3 calls
CorrGrad: AB                        :      2.700u      0.150s      0.427w      3 calls
CorrGrad: UV                        :      0.200u      0.033s      0.036w      3 calls
CorrGrad: ABx                       :      1.650u      0.100s      0.260w      3 calls
CorrGrad: Amnx                      :      4.300u      0.150s      0.669w      3 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.200u      0.000s      0.122w      3 calls
DFH: initialize()                   :      4.033u      0.200s      0.640w      3 calls
| DFH: AO Construction              :      0.467u      0.000s      0.070w      3 calls
| DFH: AO-Met. Contraction          :      0.233u      0.033s      0.043w      3 calls
HF: Form core H                     :      0.283u      0.033s      0.059w      3 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      3 calls
HF: Guess                           :      3.217u      0.217s      0.516w      3 calls
| SAD Guess                         :      3.117u      0.217s      0.500w      1 calls
HF: Form G                          :      1.217u      0.000s      0.179w     42 calls
| JK: D                             :      0.000u      0.000s      0.002w     42 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     42 calls
| JK: JK                            :      1.183u      0.000s      0.172w     42 calls
| | DFH: compute_JK()               :      1.183u      0.000s      0.171w     42 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     42 calls
| | | DFH: compute_J                :      0.167u      0.000s      0.021w     42 calls
| | | DFH: compute_K                :      0.967u      0.000s      0.149w     42 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     42 calls
HF: Form F                          :      0.017u      0.000s      0.001w     42 calls
HF: Form D                          :      0.017u      0.000s      0.001w     42 calls
HF: DIIS                            :      0.433u      0.017s      0.064w     41 calls
| DIISManager::add_entry            :      0.067u      0.017s      0.014w     39 calls
| DIISManager::extrapolate          :      0.117u      0.000s      0.015w     39 calls
| | bMatrix setup                   :      0.050u      0.000s      0.006w     39 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.004w     39 calls
| | New vector                      :      0.033u      0.000s      0.005w     39 calls
HF: Form C                          :      0.233u      0.000s      0.038w     41 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      3 calls
DFMP2 Aia                           :      2.633u      0.167s      0.424w      3 calls
| DFMP2 (A|mn)                      :      0.483u      0.000s      0.070w      3 calls
| DFMP2 (A|mn)C_mi                  :      0.017u      0.000s      0.004w      3 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.002w      3 calls
| DFMP2 Aia Write                   :      0.017u      0.000s      0.003w      3 calls
DFMP2 iaQ                           :      2.233u      0.150s      0.368w      3 calls
| DFMP2 Metric                      :      1.867u      0.117s      0.298w      3 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.003w      3 calls
| DFMP2 (Q|A)(A|ia)                 :      0.083u      0.000s      0.013w      6 calls
| DFMP2 Qia Write                   :      0.000u      0.017s      0.003w      3 calls
| DFMP2 Qia Read                    :      0.017u      0.017s      0.001w      3 calls
| DFMP2 Bia Write                   :      0.017u      0.000s      0.003w      3 calls
DFMP2 aiQ                           :      0.183u      0.033s      0.041w      3 calls
DFMP2 Tij                           :      0.583u      0.033s      0.101w      3 calls
| DFMP2 Qia Read                    :      0.000u      0.017s      0.002w      6 calls
| DFMP2 Cia Read                    :      0.000u      0.000s      0.001w      3 calls
| DFMP2 I                           :      0.150u      0.000s      0.021w      3 calls
| DFMP2 T2                          :      0.050u      0.000s      0.007w      3 calls
| DFMP2 G                           :      0.133u      0.000s      0.021w      3 calls
| DFMP2 Pab                         :      0.050u      0.000s      0.007w      3 calls
| DFMP2 Gia Write                   :      0.017u      0.000s      0.003w      3 calls
DFMP2 Tab                           :      0.483u      0.067s      0.090w      3 calls
| DFMP2 Qai Read                    :      0.000u      0.000s      0.002w      6 calls
| DFMP2 I                           :      0.133u      0.000s      0.019w      3 calls
| DFMP2 T2                          :      0.050u      0.000s      0.009w      3 calls
| DFMP2 Pij                         :      0.033u      0.000s      0.005w      3 calls
DFMP2 gamma                         :      0.217u      0.017s      0.040w      3 calls
| DFMP2 Gia Read                    :      0.000u      0.000s      0.001w      3 calls
| DFMP2 Cia Read                    :      0.017u      0.000s      0.001w      3 calls
| DFMP2 g                           :      0.050u      0.000s      0.007w      3 calls
DFMP2 Gia                           :      0.183u      0.050s      0.042w      3 calls
| DFMP2 Gia Read                    :      0.017u      0.000s      0.001w      3 calls
| DFMP2 aiG Write                   :      0.017u      0.000s      0.004w      3 calls
DFMP2 AB^x                          :      1.567u      0.083s      0.258w      3 calls
DFMP2 Amn^x                         :      4.500u      0.150s      0.703w      3 calls
DFMP2 L                             :      3.083u      0.167s      0.499w      3 calls
DFMP2 P                             :      0.133u      0.017s      0.029w      3 calls
DFMP2 W                             :      0.117u      0.033s      0.030w      3 calls
DFMP2 Z                             :      6.633u      0.267s      1.043w      3 calls
| DFH: sparsity prep                :      0.783u      0.050s      0.122w      3 calls
| DFH: initialize()                 :      3.783u      0.183s      0.595w      3 calls
| | DFH: AO Construction            :      0.517u      0.017s      0.083w      3 calls
| | DFH: AO-Met. Contraction        :      0.300u      0.000s      0.046w      3 calls
| JK: D                             :      0.050u      0.000s      0.001w     35 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     35 calls
| JK: JK                            :      1.483u      0.033s      0.227w     35 calls
| | DFH: compute_JK()               :      1.483u      0.033s      0.226w     35 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     35 calls
| | | DFH: compute_J                :      0.117u      0.000s      0.026w     35 calls
| | | DFH: compute_K                :      1.333u      0.033s      0.199w     35 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     35 calls
DFMP2 grad                          :     15.867u      1.117s      7.304w      3 calls
| Grad: V T Perturb                 :      2.117u      0.317s      0.360w      3 calls
| Grad: S                           :      0.000u      0.000s      0.001w      3 calls
| Grad: JK                          :     13.350u      0.767s      6.866w      3 calls
| | CorrGrad: Amn                   :      2.433u      0.167s      0.388w      3 calls
| | CorrGrad: AB                    :      2.700u      0.150s      0.427w      3 calls
| | CorrGrad: UV                    :      0.200u      0.033s      0.036w      3 calls
| | CorrGrad: ABx                   :      1.650u      0.100s      0.260w      3 calls
| | CorrGrad: Amnx                  :      4.300u      0.150s      0.669w      3 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:51:28 2021
Timers Off: Wed Jul 28 13:51:41 2021

Wall Time:       12.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.300u      0.033s      0.082w      2 calls
DFH: initialize()                   :      3.433u      0.233s      0.550w      2 calls
DFH: AO Construction                :      0.733u      0.000s      0.109w      2 calls
DFH: AO-Met. Contraction            :      0.400u      0.050s      0.066w      2 calls
HF: Form core H                     :      0.083u      0.017s      0.019w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      1 calls
HF: Guess                           :      3.467u      0.167s      0.547w      1 calls
SAD Guess                           :      3.350u      0.167s      0.530w      1 calls
HF: Form G                          :      0.733u      0.033s      0.119w     14 calls
JK: D                               :      0.000u      0.000s      0.001w     25 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     25 calls
JK: JK                              :      1.867u      0.100s      0.301w     25 calls
DFH: compute_JK()                   :      1.867u      0.100s      0.300w     25 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     25 calls
DFH: compute_J                      :      0.250u      0.050s      0.051w     25 calls
DFH: compute_K                      :      1.583u      0.050s      0.248w     25 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     25 calls
HF: Form F                          :      0.000u      0.000s      0.001w     14 calls
HF: Form D                          :      0.017u      0.000s      0.001w     14 calls
HF: DIIS                            :      0.117u      0.000s      0.027w     13 calls
DIISManager::add_entry              :      0.017u      0.000s      0.008w     13 calls
DIISManager::extrapolate            :      0.067u      0.000s      0.007w     13 calls
bMatrix setup                       :      0.050u      0.000s      0.003w     13 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     13 calls
New vector                          :      0.000u      0.000s      0.002w     13 calls
HF: Form C                          :      0.133u      0.017s      0.021w     13 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      1.433u      0.067s      0.229w      1 calls
DFMP2 (A|mn)                        :      0.483u      0.000s      0.075w      1 calls
