
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:44:54 2022
Timers Off: Tue Feb 22 17:49:30 2022

Wall Time:      275.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     10.233u      0.133s      7.295w     10 calls
DFH: initialize()                   :    335.833u     17.283s     75.259w     10 calls
DFH: AO Construction                :    127.200u      4.883s     24.524w     10 calls
DFH: AO-Met. Contraction            :    177.567u      9.467s     41.471w     10 calls
HF: Form core H                     :      0.583u      0.100s      0.405w     10 calls
HF: Form S/X                        :      8.967u      0.717s      2.271w     10 calls
HF: Guess                           :     57.050u      3.833s     14.989w     10 calls
SAD Guess                           :     55.750u      3.700s     14.703w     10 calls
HF: Form G                          :    236.517u     10.033s     44.713w    109 calls
JK: D                               :      0.583u      0.083s      0.121w    109 calls
JK: USO2AO                          :      0.183u      0.000s      0.036w    109 calls
JK: JK                              :    234.217u      9.767s     44.161w    109 calls
DFH: compute_JK()                   :    234.183u      9.750s     44.159w    109 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    109 calls
DFH: compute_J                      :     38.767u      2.367s      7.274w    109 calls
DFH: compute_K                      :    193.100u      6.400s     36.239w    109 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    109 calls
HF: Form F                          :      0.683u      0.100s      0.152w    109 calls
HF: Form D                          :      0.867u      0.050s      0.195w    109 calls
HF: DIIS                            :     18.133u      1.967s      3.725w     99 calls
DIISManager::add_entry              :      2.000u      0.500s      0.499w     99 calls
DIISManager::extrapolate            :      4.317u      1.083s      0.982w     99 calls
bMatrix setup                       :      2.567u      0.667s      0.608w     99 calls
bMatrix pseudoinverse               :      0.083u      0.017s      0.014w     99 calls
New vector                          :      1.633u      0.400s      0.357w     99 calls
HF: Form C                          :     56.600u      2.883s     11.461w     99 calls
DFMP2 Singles                       :      1.117u      0.067s      0.245w     10 calls
DFMP2 Aia                           :    225.333u     15.167s     58.591w     10 calls
DFMP2 (A|mn)                        :    177.183u      1.033s     31.285w     10 calls
DFMP2 (A|mn)C_mi                    :      8.633u      0.217s      1.747w     10 calls
DFMP2 (A|mi)C_na                    :      6.117u      0.133s      1.126w     10 calls
DFMP2 Aia Write                     :      0.600u      0.333s      0.188w     10 calls
DFMP2 Qia                           :     46.117u      2.983s     10.633w     10 calls
DFMP2 Metric                        :     35.450u      1.917s      8.070w     10 calls
DFMP2 Aia Read                      :      0.400u      0.217s      0.137w     10 calls
DFMP2 (Q|A)(A|ia)                   :      7.933u      0.217s      1.722w     10 calls
DFMP2 Qia Write                     :      0.533u      0.333s      0.250w     10 calls
DFMP2 Energy                        :     19.850u      0.817s      4.607w     10 calls
DFMP2 Qia Read                      :      0.383u      0.183s      0.149w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     10.233u      0.133s      7.295w     10 calls
DFH: initialize()                   :    335.833u     17.283s     75.259w     10 calls
| DFH: AO Construction              :    127.200u      4.883s     24.524w     10 calls
| DFH: AO-Met. Contraction          :    177.567u      9.467s     41.471w     10 calls
HF: Form core H                     :      0.583u      0.100s      0.405w     10 calls
HF: Form S/X                        :      8.967u      0.717s      2.271w     10 calls
HF: Guess                           :     57.050u      3.833s     14.989w     10 calls
| SAD Guess                         :     55.750u      3.700s     14.703w     10 calls
HF: Form G                          :    236.517u     10.033s     44.713w    109 calls
| JK: D                             :      0.583u      0.083s      0.121w    109 calls
| JK: USO2AO                        :      0.183u      0.000s      0.036w    109 calls
| JK: JK                            :    234.217u      9.767s     44.161w    109 calls
| | DFH: compute_JK()               :    234.183u      9.750s     44.159w    109 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    109 calls
| | | DFH: compute_J                :     38.767u      2.367s      7.274w    109 calls
| | | DFH: compute_K                :    193.100u      6.400s     36.239w    109 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    109 calls
HF: Form F                          :      0.683u      0.100s      0.152w    109 calls
HF: Form D                          :      0.867u      0.050s      0.195w    109 calls
HF: DIIS                            :     18.133u      1.967s      3.725w     99 calls
| DIISManager::add_entry            :      2.000u      0.500s      0.499w     99 calls
| DIISManager::extrapolate          :      4.317u      1.083s      0.982w     99 calls
| | bMatrix setup                   :      2.567u      0.667s      0.608w     99 calls
| | bMatrix pseudoinverse           :      0.083u      0.017s      0.014w     99 calls
| | New vector                      :      1.633u      0.400s      0.357w     99 calls
HF: Form C                          :     56.600u      2.883s     11.461w     99 calls
DFMP2 Singles                       :      1.117u      0.067s      0.245w     10 calls
DFMP2 Aia                           :    225.333u     15.167s     58.591w     10 calls
| DFMP2 (A|mn)                      :    177.183u      1.033s     31.285w     10 calls
| DFMP2 (A|mn)C_mi                  :      8.633u      0.217s      1.747w     10 calls
| DFMP2 (A|mi)C_na                  :      6.117u      0.133s      1.126w     10 calls
| DFMP2 Aia Write                   :      0.600u      0.333s      0.188w     10 calls
DFMP2 Qia                           :     46.117u      2.983s     10.633w     10 calls
| DFMP2 Metric                      :     35.450u      1.917s      8.070w     10 calls
| DFMP2 Aia Read                    :      0.400u      0.217s      0.137w     10 calls
| DFMP2 (Q|A)(A|ia)                 :      7.933u      0.217s      1.722w     10 calls
| DFMP2 Qia Write                   :      0.533u      0.333s      0.250w     10 calls
DFMP2 Energy                        :     19.850u      0.817s      4.607w     10 calls
| DFMP2 Qia Read                    :      0.383u      0.183s      0.149w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:44:54 2022
Timers Off: Tue Feb 22 17:49:33 2022

Wall Time:      278.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     11.550u      0.133s      7.145w     10 calls
DFH: initialize()                   :    352.350u     19.533s     80.761w     10 calls
DFH: AO Construction                :    129.250u      4.617s     24.756w     10 calls
DFH: AO-Met. Contraction            :    184.333u     11.150s     42.356w     10 calls
HF: Form core H                     :      0.567u      0.100s      0.419w     10 calls
HF: Form S/X                        :      6.817u      0.533s      1.641w     10 calls
HF: Guess                           :     54.800u      3.783s     10.989w     10 calls
SAD Guess                           :     53.417u      3.633s     10.700w     10 calls
HF: Form G                          :    245.517u      8.067s     44.824w    109 calls
JK: D                               :      0.450u      0.017s      0.103w    109 calls
JK: USO2AO                          :      0.233u      0.033s      0.041w    109 calls
JK: JK                              :    243.483u      7.950s     44.373w    109 calls
DFH: compute_JK()                   :    243.450u      7.950s     44.371w    109 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    109 calls
DFH: compute_J                      :     41.767u      1.617s      7.567w    109 calls
DFH: compute_K                      :    198.983u      5.233s     36.100w    109 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    109 calls
HF: Form F                          :      0.683u      0.067s      0.155w    109 calls
HF: Form D                          :      0.800u      0.083s      0.189w    109 calls
HF: DIIS                            :     18.133u      2.100s      3.682w     99 calls
DIISManager::add_entry              :      2.250u      0.517s      0.465w     99 calls
DIISManager::extrapolate            :      4.400u      1.183s      0.985w     99 calls
bMatrix setup                       :      2.467u      0.667s      0.591w     99 calls
bMatrix pseudoinverse               :      0.133u      0.000s      0.014w     99 calls
New vector                          :      1.800u      0.500s      0.377w     99 calls
HF: Form C                          :     59.700u      2.950s     11.612w     99 calls
DFMP2 Singles                       :      1.133u      0.033s      0.257w     10 calls
DFMP2 Aia                           :    230.017u     15.367s     61.009w     10 calls
DFMP2 (A|mn)                        :    179.100u      0.900s     32.310w     10 calls
DFMP2 (A|mn)C_mi                    :     10.783u      0.600s      1.992w     10 calls
DFMP2 (A|mi)C_na                    :      6.500u      0.217s      1.156w     10 calls
DFMP2 Aia Write                     :      0.633u      0.317s      0.183w     10 calls
DFMP2 Qia                           :     50.367u      3.550s     11.297w     10 calls
DFMP2 Metric                        :     39.517u      2.433s      9.210w     10 calls
DFMP2 Aia Read                      :      0.700u      0.267s      0.152w     10 calls
DFMP2 (Q|A)(A|ia)                   :      7.383u      0.117s      1.303w     10 calls
DFMP2 Qia Write                     :      0.900u      0.383s      0.214w     10 calls
DFMP2 Energy                        :     20.967u      0.833s      4.160w     10 calls
DFMP2 Qia Read                      :      0.583u      0.217s      0.202w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     11.550u      0.133s      7.145w     10 calls
DFH: initialize()                   :    352.350u     19.533s     80.761w     10 calls
| DFH: AO Construction              :    129.250u      4.617s     24.756w     10 calls
| DFH: AO-Met. Contraction          :    184.333u     11.150s     42.356w     10 calls
HF: Form core H                     :      0.567u      0.100s      0.419w     10 calls
HF: Form S/X                        :      6.817u      0.533s      1.641w     10 calls
HF: Guess                           :     54.800u      3.783s     10.989w     10 calls
| SAD Guess                         :     53.417u      3.633s     10.700w     10 calls
HF: Form G                          :    245.517u      8.067s     44.824w    109 calls
| JK: D                             :      0.450u      0.017s      0.103w    109 calls
| JK: USO2AO                        :      0.233u      0.033s      0.041w    109 calls
| JK: JK                            :    243.483u      7.950s     44.373w    109 calls
| | DFH: compute_JK()               :    243.450u      7.950s     44.371w    109 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    109 calls
| | | DFH: compute_J                :     41.767u      1.617s      7.567w    109 calls
| | | DFH: compute_K                :    198.983u      5.233s     36.100w    109 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    109 calls
HF: Form F                          :      0.683u      0.067s      0.155w    109 calls
HF: Form D                          :      0.800u      0.083s      0.189w    109 calls
HF: DIIS                            :     18.133u      2.100s      3.682w     99 calls
| DIISManager::add_entry            :      2.250u      0.517s      0.465w     99 calls
| DIISManager::extrapolate          :      4.400u      1.183s      0.985w     99 calls
| | bMatrix setup                   :      2.467u      0.667s      0.591w     99 calls
| | bMatrix pseudoinverse           :      0.133u      0.000s      0.014w     99 calls
| | New vector                      :      1.800u      0.500s      0.377w     99 calls
HF: Form C                          :     59.700u      2.950s     11.612w     99 calls
DFMP2 Singles                       :      1.133u      0.033s      0.257w     10 calls
DFMP2 Aia                           :    230.017u     15.367s     61.009w     10 calls
| DFMP2 (A|mn)                      :    179.100u      0.900s     32.310w     10 calls
| DFMP2 (A|mn)C_mi                  :     10.783u      0.600s      1.992w     10 calls
| DFMP2 (A|mi)C_na                  :      6.500u      0.217s      1.156w     10 calls
| DFMP2 Aia Write                   :      0.633u      0.317s      0.183w     10 calls
DFMP2 Qia                           :     50.367u      3.550s     11.297w     10 calls
| DFMP2 Metric                      :     39.517u      2.433s      9.210w     10 calls
| DFMP2 Aia Read                    :      0.700u      0.267s      0.152w     10 calls
| DFMP2 (Q|A)(A|ia)                 :      7.383u      0.117s      1.303w     10 calls
| DFMP2 Qia Write                   :      0.900u      0.383s      0.214w     10 calls
DFMP2 Energy                        :     20.967u      0.833s      4.160w     10 calls
| DFMP2 Qia Read                    :      0.583u      0.217s      0.202w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:49:33 2022
Timers Off: Tue Feb 22 17:54:14 2022

Wall Time:      280.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     11.017u      0.133s      7.805w     10 calls
DFH: initialize()                   :    332.167u     17.333s     73.275w     10 calls
