
Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:49:02 2021
Timers Off: Wed Jul 28 13:49:12 2021

Wall Time:       10.09 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.050u      0.050s      0.258w      8 calls
DFH: initialize()                   :      7.133u      0.333s      1.118w      8 calls
DFH: AO Construction                :      0.417u      0.017s      0.069w      8 calls
DFH: AO-Met. Contraction            :      0.217u      0.017s      0.031w      8 calls
HF: Form core H                     :      0.433u      0.033s      0.094w      4 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      4 calls
HF: Guess                           :      3.300u      0.167s      0.516w      4 calls
SAD Guess                           :      3.200u      0.150s      0.502w      1 calls
HF: Form G                          :      0.283u      0.017s      0.053w     49 calls
JK: D                               :      0.000u      0.000s      0.002w     93 calls
JK: USO2AO                          :      0.033u      0.000s      0.001w     93 calls
JK: JK                              :      0.650u      0.033s      0.115w     93 calls
DFH: compute_JK()                   :      0.650u      0.033s      0.115w     93 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     93 calls
DFH: compute_J                      :      0.067u      0.033s      0.016w     93 calls
DFH: compute_K                      :      0.567u      0.000s      0.096w     93 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     93 calls
HF: Form F                          :      0.000u      0.000s      0.001w     49 calls
HF: Form D                          :      0.000u      0.000s      0.001w     49 calls
HF: DIIS                            :      0.350u      0.033s      0.055w     48 calls
DIISManager::add_entry              :      0.100u      0.000s      0.021w     45 calls
DIISManager::extrapolate            :      0.050u      0.000s      0.008w     45 calls
bMatrix setup                       :      0.017u      0.000s      0.003w     45 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.002w     45 calls
New vector                          :      0.017u      0.000s      0.002w     45 calls
HF: Form C                          :      0.067u      0.000s      0.016w     48 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      4 calls
DFMP2 Aia                           :      2.917u      0.200s      0.472w      4 calls
DFMP2 (A|mn)                        :      0.250u      0.000s      0.036w      4 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.017s      0.002w      4 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w      4 calls
DFMP2 Aia Write                     :      0.017u      0.000s      0.001w      4 calls
DFMP2 iaQ                           :      2.400u      0.167s      0.398w      4 calls
DFMP2 Metric                        :      2.033u      0.117s      0.326w      4 calls
DFMP2 Aia Read                      :      0.017u      0.017s      0.002w      4 calls
DFMP2 (Q|A)(A|ia)                   :      0.033u      0.000s      0.004w      8 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.001w      4 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.001w     12 calls
DFMP2 Bia Write                     :      0.017u      0.000s      0.001w      4 calls
DFMP2 aiQ                           :      0.117u      0.017s      0.033w      4 calls
DFMP2 Tij                           :      0.250u      0.050s      0.051w      4 calls
DFMP2 Cia Read                      :      0.017u      0.000s      0.001w      8 calls
DFMP2 I                             :      0.050u      0.000s      0.007w      8 calls
DFMP2 T2                            :      0.017u      0.000s      0.007w      8 calls
DFMP2 G                             :      0.033u      0.000s      0.004w      4 calls
DFMP2 Pab                           :      0.017u      0.000s      0.002w      4 calls
DFMP2 Gia Write                     :      0.000u      0.000s      0.001w      4 calls
DFMP2 Tab                           :      0.233u      0.017s      0.045w      4 calls
DFMP2 Qai Read                      :      0.017u      0.000s      0.001w      8 calls
DFMP2 Pij                           :      0.000u      0.000s      0.001w      4 calls
DFMP2 gamma                         :      0.183u      0.000s      0.039w      4 calls
DFMP2 Gia Read                      :      0.000u      0.000s      0.001w      8 calls
DFMP2 g                             :      0.000u      0.000s      0.002w      4 calls
DFMP2 Gia                           :      0.183u      0.050s      0.039w      4 calls
DFMP2 aiG Write                     :      0.033u      0.017s      0.003w      4 calls
DFMP2 AB^x                          :      1.917u      0.083s      0.306w      4 calls
DFMP2 Amn^x                         :      3.583u      0.183s      0.574w      4 calls
DFMP2 L                             :      2.917u      0.167s      0.468w      4 calls
DFMP2 P                             :      0.167u      0.017s      0.034w      4 calls
DFMP2 W                             :      0.183u      0.017s      0.038w      4 calls
DFMP2 Z                             :      5.483u      0.300s      0.874w      4 calls
DFMP2 grad                          :     13.617u      1.000s      2.226w      4 calls
Grad: V T Perturb                   :      2.400u      0.383s      0.417w      4 calls
Grad: S                             :      0.017u      0.000s      0.001w      4 calls
Grad: JK                            :     10.683u      0.583s      1.716w      4 calls
CorrGrad: Amn                       :      2.117u      0.133s      0.338w      4 calls
CorrGrad: AB                        :      2.433u      0.133s      0.390w      4 calls
CorrGrad: UV                        :      0.083u      0.033s      0.013w      4 calls
