
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:44:04 2022
Timers Off: Tue Feb 22 17:47:10 2022

Wall Time:      185.93 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      6.383u      0.083s      4.353w     10 calls
DFH: initialize()                   :    236.133u     13.167s     48.752w     10 calls
DFH: AO Construction                :     89.050u      3.567s     16.177w     10 calls
DFH: AO-Met. Contraction            :    121.750u      7.150s     24.787w     10 calls
HF: Form core H                     :      0.700u      0.100s      0.378w     10 calls
HF: Form S/X                        :      4.300u      0.267s      0.965w     10 calls
HF: Guess                           :     53.050u      3.300s     10.760w     10 calls
SAD Guess                           :     51.917u      3.200s     10.546w     10 calls
HF: Form G                          :    143.100u      3.767s     24.678w    107 calls
JK: D                               :      0.250u      0.033s      0.046w    107 calls
JK: USO2AO                          :      0.250u      0.000s      0.028w    107 calls
JK: JK                              :    141.033u      3.533s     24.173w    107 calls
DFH: compute_JK()                   :    141.033u      3.533s     24.172w    107 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    107 calls
DFH: compute_J                      :     31.467u      0.617s      5.191w    107 calls
DFH: compute_K                      :    108.600u      2.467s     18.735w    107 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    107 calls
HF: Form F                          :      0.483u      0.050s      0.108w    107 calls
HF: Form D                          :      0.400u      0.067s      0.086w    107 calls
HF: DIIS                            :     13.217u      1.417s      2.615w     97 calls
DIISManager::add_entry              :      1.483u      0.267s      0.342w     97 calls
DIISManager::extrapolate            :      3.000u      0.733s      0.677w     97 calls
bMatrix setup                       :      1.617u      0.450s      0.408w     97 calls
bMatrix pseudoinverse               :      0.100u      0.000s      0.012w     97 calls
New vector                          :      1.267u      0.283s      0.253w     97 calls
HF: Form C                          :     37.433u      1.600s      6.959w     97 calls
DFMP2 Singles                       :      0.717u      0.033s      0.149w     10 calls
DFMP2 Aia                           :    155.267u     11.217s     38.500w     10 calls
DFMP2 (A|mn)                        :    118.633u      0.383s     20.214w     10 calls
DFMP2 (A|mn)C_mi                    :      6.533u      0.250s      1.193w     10 calls
DFMP2 (A|mi)C_na                    :      4.300u      0.050s      0.786w     10 calls
DFMP2 Aia Write                     :      0.417u      0.250s      0.110w     10 calls
DFMP2 Qia                           :     32.117u      1.933s      7.247w     10 calls
DFMP2 Metric                        :     26.150u      1.300s      5.968w     10 calls
DFMP2 Aia Read                      :      0.233u      0.117s      0.077w     10 calls
DFMP2 (Q|A)(A|ia)                   :      4.250u      0.100s      0.825w     10 calls
DFMP2 Qia Write                     :      0.617u      0.250s      0.157w     10 calls
DFMP2 Energy                        :     10.000u      0.483s      4.702w     10 calls
DFMP2 Qia Read                      :      0.333u      0.100s      0.113w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      6.383u      0.083s      4.353w     10 calls
DFH: initialize()                   :    236.133u     13.167s     48.752w     10 calls
| DFH: AO Construction              :     89.050u      3.567s     16.177w     10 calls
| DFH: AO-Met. Contraction          :    121.750u      7.150s     24.787w     10 calls
HF: Form core H                     :      0.700u      0.100s      0.378w     10 calls
HF: Form S/X                        :      4.300u      0.267s      0.965w     10 calls
HF: Guess                           :     53.050u      3.300s     10.760w     10 calls
| SAD Guess                         :     51.917u      3.200s     10.546w     10 calls
HF: Form G                          :    143.100u      3.767s     24.678w    107 calls
| JK: D                             :      0.250u      0.033s      0.046w    107 calls
| JK: USO2AO                        :      0.250u      0.000s      0.028w    107 calls
| JK: JK                            :    141.033u      3.533s     24.173w    107 calls
| | DFH: compute_JK()               :    141.033u      3.533s     24.172w    107 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    107 calls
| | | DFH: compute_J                :     31.467u      0.617s      5.191w    107 calls
| | | DFH: compute_K                :    108.600u      2.467s     18.735w    107 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    107 calls
HF: Form F                          :      0.483u      0.050s      0.108w    107 calls
