
Host: node37.bme.utexas.edu

Timers On : Wed Jul 28 13:48:04 2021
Timers Off: Wed Jul 28 13:48:20 2021

Wall Time:       16.82 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      1.600u      0.067s      0.394w      8 calls
DFH: initialize()                   :     13.667u      0.617s      2.139w      8 calls
DFH: AO Construction                :      1.950u      0.050s      0.299w      8 calls
DFH: AO-Met. Contraction            :      1.517u      0.083s      0.242w      8 calls
HF: Form core H                     :      0.517u      0.083s      0.112w      4 calls
HF: Form S/X                        :      0.050u      0.000s      0.006w      4 calls
HF: Guess                           :      3.117u      0.200s      0.499w      4 calls
SAD Guess                           :      3.033u      0.200s      0.485w      1 calls
HF: Form G                          :      3.217u      0.083s      0.497w     54 calls
JK: D                               :      0.083u      0.000s      0.005w    103 calls
JK: USO2AO                          :      0.050u      0.000s      0.003w    103 calls
JK: JK                              :      8.017u      0.150s      1.236w    103 calls
DFH: compute_JK()                   :      8.000u      0.150s      1.235w    103 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.000w    103 calls
DFH: compute_J                      :      0.850u      0.017s      0.154w    103 calls
DFH: compute_K                      :      7.100u      0.117s      1.076w    103 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    103 calls
HF: Form F                          :      0.067u      0.000s      0.004w     54 calls
HF: Form D                          :      0.017u      0.000s      0.003w     54 calls
HF: DIIS                            :      0.550u      0.067s      0.101w     53 calls
DIISManager::add_entry              :      0.100u      0.033s      0.031w     50 calls
DIISManager::extrapolate            :      0.217u      0.017s      0.026w     50 calls
bMatrix setup                       :      0.133u      0.017s      0.013w     50 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.004w     50 calls
New vector                          :      0.033u      0.000s      0.008w     50 calls
HF: Form C                          :      0.450u      0.050s      0.079w     53 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      4 calls
DFMP2 Aia                           :      4.667u      0.183s      0.743w      4 calls
DFMP2 (A|mn)                        :      1.200u      0.017s      0.178w      4 calls
DFMP2 (A|mn)C_mi                    :      0.067u      0.000s      0.011w      4 calls
DFMP2 (A|mi)C_na                    :      0.017u      0.000s      0.007w      4 calls
DFMP2 Aia Write                     :      0.050u      0.000s      0.008w      4 calls
DFMP2 iaQ                           :      3.200u      0.233s      0.528w      4 calls
DFMP2 Metric                        :      2.567u      0.133s      0.400w      4 calls
DFMP2 Aia Read                      :      0.017u      0.017s      0.007w      4 calls
DFMP2 (Q|A)(A|ia)                   :      0.167u      0.017s      0.032w      8 calls
DFMP2 Qia Write                     :      0.033u      0.017s      0.008w      4 calls
DFMP2 Qia Read                      :      0.083u      0.000s      0.009w     12 calls
DFMP2 Bia Write                     :      0.067u      0.017s      0.007w      4 calls
DFMP2 aiQ                           :      0.300u      0.033s      0.059w      4 calls
DFMP2 Tij                           :      1.767u      0.117s      0.285w      4 calls
DFMP2 Cia Read                      :      0.017u      0.033s      0.008w      8 calls
DFMP2 I                             :      0.983u      0.000s      0.147w      8 calls
DFMP2 T2                            :      0.367u      0.000s      0.059w      8 calls
DFMP2 G                             :      0.467u      0.017s      0.067w      4 calls
DFMP2 Pab                           :      0.167u      0.000s      0.028w      4 calls
DFMP2 Gia Write                     :      0.050u      0.017s      0.009w      4 calls
DFMP2 Tab                           :      1.217u      0.033s      0.201w      4 calls
DFMP2 Qai Read                      :      0.050u      0.033s      0.007w      8 calls
DFMP2 Pij                           :      0.183u      0.000s      0.026w      4 calls
DFMP2 gamma                         :      0.383u      0.050s      0.068w      4 calls
DFMP2 Gia Read                      :      0.033u      0.017s      0.006w      8 calls
DFMP2 g                             :      0.133u      0.000s      0.022w      4 calls
DFMP2 Gia                           :      0.383u      0.067s      0.077w      4 calls
DFMP2 aiG Write                     :      0.067u      0.000s      0.009w      4 calls
DFMP2 AB^x                          :      2.067u      0.150s      0.339w      4 calls
DFMP2 Amn^x                         :      8.467u      0.233s      1.315w      4 calls
DFMP2 L                             :      4.783u      0.250s      0.762w      4 calls
DFMP2 P                             :      0.133u      0.000s      0.030w      4 calls
DFMP2 W                             :      0.183u      0.017s      0.033w      4 calls
DFMP2 Z                             :     14.083u      0.450s      2.187w      4 calls
DFMP2 grad                          :     27.550u      1.517s      4.416w      4 calls
Grad: V T Perturb                   :      2.617u      0.300s      0.435w      4 calls
Grad: S                             :      0.050u      0.000s      0.002w      4 calls
Grad: JK                            :     24.283u      1.200s      3.874w      4 calls
CorrGrad: Amn                       :      4.633u      0.400s      0.769w      4 calls
CorrGrad: AB                        :      5.250u      0.250s      0.826w      4 calls
CorrGrad: UV                        :      0.717u      0.050s      0.113w      4 calls
CorrGrad: ABx                       :      1.950u      0.100s      0.311w      4 calls
CorrGrad: Amnx                      :      9.800u      0.217s      1.501w      4 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.300u      0.000s      0.185w      4 calls
DFH: initialize()                   :      6.717u      0.350s      1.062w      4 calls
| DFH: AO Construction              :      0.967u      0.033s      0.150w      4 calls
| DFH: AO-Met. Contraction          :      0.767u      0.067s      0.126w      4 calls
HF: Form core H                     :      0.517u      0.083s      0.112w      4 calls
HF: Form S/X                        :      0.050u      0.000s      0.006w      4 calls
HF: Guess                           :      3.117u      0.200s      0.499w      4 calls
| SAD Guess                         :      3.033u      0.200s      0.485w      1 calls
HF: Form G                          :      3.217u      0.083s      0.497w     54 calls
| JK: D                             :      0.083u      0.000s      0.003w     54 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     54 calls
| JK: JK                            :      3.083u      0.083s      0.485w     54 calls
| | DFH: compute_JK()               :      3.083u      0.083s      0.484w     54 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.000w     54 calls
| | | DFH: compute_J                :      0.333u      0.017s      0.063w     54 calls
| | | DFH: compute_K                :      2.700u      0.050s      0.419w     54 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     54 calls
HF: Form F                          :      0.067u      0.000s      0.004w     54 calls
HF: Form D                          :      0.017u      0.000s      0.003w     54 calls
HF: DIIS                            :      0.550u      0.067s      0.101w     53 calls
| DIISManager::add_entry            :      0.100u      0.033s      0.031w     50 calls
| DIISManager::extrapolate          :      0.217u      0.017s      0.026w     50 calls
| | bMatrix setup                   :      0.133u      0.017s      0.013w     50 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.004w     50 calls
| | New vector                      :      0.033u      0.000s      0.008w     50 calls
HF: Form C                          :      0.450u      0.050s      0.079w     53 calls
DFMP2 Singles                       :      0.017u      0.000s      0.001w      4 calls
