
     ######################################################################
   ##########################################################################
  ###                                                                      ###
 ###            Tinker  ---  Software Tools for Molecular Design            ###
 ##                                                                          ##
 ##                      Version 8.9.4   September 2021                      ##
 ##                                                                          ##
 ##               Copyright (c)  Jay William Ponder  1990-2021               ##
 ###                           All Rights Reserved                          ###
  ###                                                                      ###
   ##########################################################################
     ######################################################################


 Additional Atom Definition Parameters :

     Type  Class  Symbol  Description               Atomic    Mass   Valence

      402   402     Cl    CHCl3                       17     35.453     1
      401   401     C     CHCl3                        6     12.011     4
      403   403     H     CHCl3                        1      1.008     1

 Additional Bond Stretching Parameters :

     Atom Classes             K(S)         Length

       401 402             272.148         1.7600
       403 401             391.278         1.0900

 Additional Angle Bending Parameters :

     Atom Classes             K(B)          Angle

     402 401 402           114.900        111.250
     403 401 402            43.615        107.620

 Additional Stretch-Bend Parameters :

     Atom Classes          K(SB)-1        K(SB)-2

     402 401 402             5.713          5.713
     403 401 402             5.713          5.713

 Additional Atomic Multipole Parameters :

     Atom Type     Coordinate Frame Definition         Multipole Moments

         402      401      0      0   Z-Only      -0.09880
                                                   0.00000  0.00000  0.05552
                                                  -0.65260
                                                   0.00000 -0.65260
                                                   0.00000  0.00000  1.30520

         401      402    402    402   3-Fold       0.19385
                                                  -0.00213  0.00000  0.32219
                                                   0.30491
                                                   0.00000  0.30607
                                                   0.00059  0.00000 -0.61098

         403      401      0      0   Z-Only       0.10255
                                                   0.00000  0.00000 -0.18734
                                                   0.03579
                                                   0.00000  0.03579
                                                   0.00000  0.00000 -0.07158

 Additional Atomic Dipole Polarizability Parameters :

     Atom Type           Alpha       Thole     Group Atom Types

         402             2.337       0.390         401
         401             1.620       0.390         402  403
         403             0.480       0.390         401

 Additional van der Waals Parameters :

     Atom Class               Size        Epsilon        Reduction

         401                3.8200         0.1010          0.000
         402                3.8980         0.3620          0.000
         403                2.9600         0.0240          0.920

 Additional Solvation Parameters :

     Atom Type                PB Size     CS Size     GK Size

         403             2.9089      2.8360      3.5214
         401             3.3967      3.2550      4.7385

 Limited Memory BFGS Quasi-Newton Optimization :

 QN Iter     F Value      G RMS      F Move   X Move   Angle  FG Call  Comment

     0       10.3020    21.6726                                   1
     1        6.0969    20.5167      4.2051   0.0406    0.00      3    Success 
     2        4.0118    11.1308      2.0851   0.0272   43.12      4    Success 
     3        3.2095     8.9768      0.8023   0.0127   48.40      5    Success 
     4        1.9824     7.1205      1.2271   0.0257   45.87      6    Success 
     5        0.4012     8.8180      1.5812   0.0514   47.90      7    Success 
     6       -0.6693     9.0397      1.0704   0.0529   68.43      8    Success 
     7       -1.5508     7.7504      0.8815   0.0535   71.93      9    Success 
     8       -2.1819     3.0901      0.6311   0.0387   68.60     10    Success 
     9       -2.2712     2.0739      0.0893   0.0106   56.33     11    Success 
    10       -2.3009     1.3428      0.0297   0.0085   74.08     12    Success 
    11       -2.3248     0.9900      0.0239   0.0101   76.58     13    Success 
    12       -2.3480     0.6769      0.0232   0.0137   73.56     14    Success 
    13       -2.3579     0.6370      0.0099   0.0099   76.38     15    Success 
    14       -2.3654     0.8012      0.0074   0.0084   75.77     16    Success 
    15       -2.3732     0.6246      0.0079   0.0071   77.95     17    Success 
    16       -2.3827     0.7960      0.0094   0.0067   75.04     18    Success 
    17       -2.4002     1.0212      0.0175   0.0099   76.09     19    Success 
    18       -2.4332     1.2804      0.0330   0.0167   78.18     20    Success 
    19       -2.4934     1.6519      0.0602   0.0304   80.26     21    Success 
    20       -2.5892     2.0256      0.0958   0.0557   82.48     22    Success 
    21       -2.6765     3.3420      0.0874   0.0875   83.79     23    Success 
    22       -2.7211     4.2783      0.0446   0.0305   80.13     24    Success 
    23       -2.7861     2.3210      0.0650   0.0111   79.14     25    Success 
    24       -2.8326     0.8292      0.0465   0.0169   78.05     26    Success 
    25       -2.8435     0.9272      0.0109   0.0081   71.52     27    Success 
    26       -2.8522     0.5601      0.0087   0.0081   80.72     28    Success 
    27       -2.8629     0.5852      0.0106   0.0161   79.83     29    Success 
    28       -2.8650     0.6779      0.0021   0.0056   82.63     31    Success 
    29       -2.8677     0.3345      0.0027   0.0057   83.70     32    Success 
    30       -2.8686     0.1172      0.0009   0.0008   53.43     33    Success 
    31       -2.8688     0.1089      0.0002   0.0010   75.37     34    Success 
    32       -2.8691     0.1587      0.0003   0.0006   52.17     35    Success 
    33       -2.8696     0.2070      0.0005   0.0009   65.10     36    Success 
    34       -2.8704     0.2776      0.0008   0.0016   72.27     37    Success 
    35       -2.8719     0.3507      0.0015   0.0028   77.57     38    Success 
    36       -2.8746     0.4299      0.0027   0.0051   80.31     39    Success 
    37       -2.8792     0.6127      0.0046   0.0093   82.32     40    Success 
    38       -2.8872     0.8107      0.0080   0.0170   84.89     41    Success 
    39       -2.8997     1.1937      0.0125   0.0305   86.27     42    Success 
    40       -2.9077     2.1310      0.0080   0.0473   87.46     43    Success 
    41       -2.9216     1.5892      0.0138   0.0038   78.51     44    Success 
    42       -2.9441     0.9277      0.0225   0.0152   83.43     45    Success 
