
     ######################################################################
   ##########################################################################
  ###                                                                      ###
 ###            Tinker  ---  Software Tools for Molecular Design            ###
 ##                                                                          ##
 ##                      Version 8.9.4   September 2021                      ##
 ##                                                                          ##
 ##               Copyright (c)  Jay William Ponder  1990-2021               ##
 ###                           All Rights Reserved                          ###
  ###                                                                      ###
   ##########################################################################
     ######################################################################


 Additional Atom Definition Parameters :

     Type  Class  Symbol  Description               Atomic    Mass   Valence

      402   402     Cl    CHCl3                       17     35.453     1
      401   401     C     CHCl3                        6     12.011     4
      403   403     H     CHCl3                        1      1.008     1

 Additional Bond Stretching Parameters :

     Atom Classes             K(S)         Length

       401 402             272.148         1.7600
       403 401             391.278         1.0900

 Additional Angle Bending Parameters :

     Atom Classes             K(B)          Angle

     402 401 402           114.900        111.250
     403 401 402            43.615        107.620

 Additional Stretch-Bend Parameters :

     Atom Classes          K(SB)-1        K(SB)-2

     402 401 402             5.713          5.713
     403 401 402             5.713          5.713

 Additional Atomic Multipole Parameters :

     Atom Type     Coordinate Frame Definition         Multipole Moments

         402      401      0      0   Z-Only      -0.09880
                                                   0.00000  0.00000  0.05552
                                                  -0.65260
                                                   0.00000 -0.65260
                                                   0.00000  0.00000  1.30520

         401      402    402    402   3-Fold       0.19385
                                                  -0.00213  0.00000  0.32219
                                                   0.30491
                                                   0.00000  0.30607
                                                   0.00059  0.00000 -0.61098

         403      401      0      0   Z-Only       0.10255
                                                   0.00000  0.00000 -0.18734
                                                   0.03579
                                                   0.00000  0.03579
                                                   0.00000  0.00000 -0.07158

 Additional Atomic Dipole Polarizability Parameters :

     Atom Type           Alpha       Thole     Group Atom Types

         402             2.337       0.390         401
         401             1.620       0.390         402  403
         403             0.480       0.390         401

 Additional van der Waals Parameters :

     Atom Class               Size        Epsilon        Reduction

         401                3.8200         0.1010          0.000
         402                3.8980         0.3620          0.000
         403                2.9600         0.0240          0.920

 Additional Solvation Parameters :

     Atom Type                PB Size     CS Size     GK Size

         403             2.9089      2.8360      3.5214
         401             3.3967      3.2550      4.7385

 Limited Memory BFGS Quasi-Newton Optimization :

 QN Iter     F Value      G RMS      F Move   X Move   Angle  FG Call  Comment

     0        7.4165    20.0608                                   1
     1        5.9537    22.5484      1.4629   0.0197    0.00      3    Success 
     2        4.6817    14.3971      1.2720   0.0116   44.37      4    Success 
     3        2.9121     7.0230      1.7696   0.0302   43.01      5    Success 
     4        1.8309     7.7760      1.0812   0.0317   34.09      6    Success 
     5        0.8914    18.1621      0.9395   0.0551   54.09      7    Success 
     6       -0.1695     8.1055      1.0609   0.0466   75.23      8    Success 
     7       -0.5917     4.5866      0.4222   0.0304   72.05      9    Success 
     8       -0.8213     4.6361      0.2295   0.0287   68.27     10    Success 
     9       -0.9168     3.5510      0.0955   0.0166   72.23     11    Success 
    10       -0.9700     1.7188      0.0532   0.0096   74.54     12    Success 
    11       -1.0043     1.1521      0.0343   0.0108   68.04     13    Success 
    12       -1.0138     0.7585      0.0095   0.0058   73.67     14    Success 
    13       -1.0172     0.8689      0.0034   0.0056   74.62     15    Success 
    14       -1.0201     0.5183      0.0029   0.0016   69.72     16    Success 
    15       -1.0233     0.5506      0.0032   0.0037   73.49     17    Success 
    16       -1.0268     0.6085      0.0035   0.0052   78.40     18    Success 
    17       -1.0326     0.6153      0.0058   0.0070   78.09     19    Success 
    18       -1.0417     0.7919      0.0091   0.0099   76.32     20    Success 
    19       -1.0560     0.9214      0.0143   0.0153   79.13     21    Success 
    20       -1.0745     2.1429      0.0185   0.0236   80.58     22    Success 
    21       -1.0964     2.3278      0.0219   0.0135   83.48     23    Success 
    22       -1.1323     1.8532      0.0358   0.0173   82.18     24    Success 
    23       -1.1679     1.8224      0.0356   0.0353   82.62     25    Success 
    24       -1.1763     1.7626      0.0085   0.0070   71.34     26    Success 
    25       -1.1873     0.9543      0.0109   0.0141   85.09     27    Success 
    26       -1.1929     1.1255      0.0056   0.0111   83.11     28    Success 
    27       -1.1973     0.5819      0.0045   0.0042   79.73     29    Success 
    28       -1.2021     0.4900      0.0048   0.0121   83.52     30    Success 
    29       -1.2087     0.6509      0.0066   0.0145   80.31     31    Success 
    30       -1.2157     1.0755      0.0071   0.0234   83.82     32    Success 
    31       -1.2247     1.2248      0.0090   0.0110   81.41     33    Success 
