
Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:46:01 2022
Timers Off: Tue Feb 22 17:54:53 2022

Wall Time:      532.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     18.417u      0.167s     13.103w     10 calls
DFH: initialize()                   :    688.883u     46.850s    146.374w     10 calls
DFH: AO Construction                :    289.717u     10.017s     55.920w     10 calls
DFH: AO-Met. Contraction            :    346.000u     17.383s     66.447w     10 calls
DFH: Total Workflow                 :    518.133u     21.417s     97.632w      3 calls
HF: Form core H                     :      0.450u      0.167s      0.428w     10 calls
HF: Form S/X                        :      9.467u      0.717s      2.423w     10 calls
HF: Guess                           :     60.817u      4.167s     13.712w     10 calls
SAD Guess                           :     59.467u      4.000s     13.391w     10 calls
HF: Form G                          :    424.983u    166.917s    172.894w    113 calls
JK: D                               :      0.817u      0.050s      0.211w    113 calls
JK: USO2AO                          :      0.350u      0.083s      0.053w    113 calls
JK: JK                              :    421.767u    166.583s    172.126w    113 calls
DFH: compute_JK()                   :    421.767u    166.583s    172.124w    113 calls
DFH: Grabbing AOs                   :     25.883u    125.150s     82.035w    113 calls
DFH: compute_J                      :     59.883u      5.183s     13.042w    113 calls
DFH: compute_K                      :    317.617u     10.500s     60.440w    113 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    113 calls
HF: Form F                          :      1.050u      0.100s      0.233w    113 calls
HF: Form D                          :      1.250u      0.117s      0.319w    113 calls
HF: DIIS                            :     24.033u      2.767s      5.714w    103 calls
DIISManager::add_entry              :      2.517u      0.600s      0.654w    103 calls
DIISManager::extrapolate            :      6.100u      1.500s      1.594w    103 calls
bMatrix setup                       :      4.000u      0.917s      1.096w    103 calls
bMatrix pseudoinverse               :      0.067u      0.033s      0.015w    103 calls
New vector                          :      2.033u      0.550s      0.479w    103 calls
HF: Form C                          :     82.617u      4.633s     17.496w    103 calls
DFMP2 Singles                       :      1.233u      0.083s      0.275w     10 calls
DFMP2 Aia                           :    315.750u     21.567s     85.377w     10 calls
DFMP2 (A|mn)                        :    249.800u      1.017s     47.055w     10 calls
DFMP2 (A|mn)C_mi                    :     14.467u      3.017s      3.886w     10 calls
DFMP2 (A|mi)C_na                    :      9.483u      0.233s      1.846w     10 calls
DFMP2 Aia Write                     :      0.767u      0.533s      0.289w     10 calls
DFMP2 Qia                           :     64.133u      4.233s     14.153w     10 calls
DFMP2 Metric                        :     48.283u      2.517s     10.792w     10 calls
DFMP2 Aia Read                      :      0.383u      0.300s      0.204w     10 calls
DFMP2 (Q|A)(A|ia)                   :     11.767u      0.233s      2.188w     10 calls
DFMP2 Qia Write                     :      1.150u      0.567s      0.318w     10 calls
DFMP2 Energy                        :     35.800u      1.200s      7.221w     10 calls
DFMP2 Qia Read                      :      0.717u      0.250s      0.268w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     18.417u      0.167s     13.103w     10 calls
DFH: initialize()                   :    688.883u     46.850s    146.374w     10 calls
| DFH: AO Construction              :     58.200u      1.867s     12.473w      7 calls
| DFH: AO-Met. Contraction          :     59.383u      4.117s     12.262w      7 calls
| DFH: Total Workflow               :    518.133u     21.417s     97.632w      3 calls
| | DFH: AO Construction            :    231.517u      8.150s     43.448w      3 calls
| | DFH: AO-Met. Contraction        :    286.617u     13.267s     54.184w      3 calls
HF: Form core H                     :      0.450u      0.167s      0.428w     10 calls
HF: Form S/X                        :      9.467u      0.717s      2.423w     10 calls
HF: Guess                           :     60.817u      4.167s     13.712w     10 calls
| SAD Guess                         :     59.467u      4.000s     13.391w     10 calls
HF: Form G                          :    424.983u    166.917s    172.894w    113 calls
| JK: D                             :      0.817u      0.050s      0.211w    113 calls
| JK: USO2AO                        :      0.350u      0.083s      0.053w    113 calls
| JK: JK                            :    421.767u    166.583s    172.126w    113 calls
| | DFH: compute_JK()               :    421.767u    166.583s    172.124w    113 calls
| | | DFH: Grabbing AOs             :     25.883u    125.150s     82.035w    113 calls
| | | DFH: compute_J                :     59.883u      5.183s     13.042w    113 calls
| | | DFH: compute_K                :    317.617u     10.500s     60.440w    113 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    113 calls
HF: Form F                          :      1.050u      0.100s      0.233w    113 calls
HF: Form D                          :      1.250u      0.117s      0.319w    113 calls
HF: DIIS                            :     24.033u      2.767s      5.714w    103 calls
| DIISManager::add_entry            :      2.517u      0.600s      0.654w    103 calls
| DIISManager::extrapolate          :      6.100u      1.500s      1.594w    103 calls
| | bMatrix setup                   :      4.000u      0.917s      1.096w    103 calls
| | bMatrix pseudoinverse           :      0.067u      0.033s      0.015w    103 calls
| | New vector                      :      2.033u      0.550s      0.479w    103 calls
HF: Form C                          :     82.617u      4.633s     17.496w    103 calls
DFMP2 Singles                       :      1.233u      0.083s      0.275w     10 calls
DFMP2 Aia                           :    315.750u     21.567s     85.377w     10 calls
| DFMP2 (A|mn)                      :    249.800u      1.017s     47.055w     10 calls
| DFMP2 (A|mn)C_mi                  :     14.467u      3.017s      3.886w     10 calls
| DFMP2 (A|mi)C_na                  :      9.483u      0.233s      1.846w     10 calls
| DFMP2 Aia Write                   :      0.767u      0.533s      0.289w     10 calls
DFMP2 Qia                           :     64.133u      4.233s     14.153w     10 calls
| DFMP2 Metric                      :     48.283u      2.517s     10.792w     10 calls
| DFMP2 Aia Read                    :      0.383u      0.300s      0.204w     10 calls
| DFMP2 (Q|A)(A|ia)                 :     11.767u      0.233s      2.188w     10 calls
| DFMP2 Qia Write                   :      1.150u      0.567s      0.318w     10 calls
DFMP2 Energy                        :     35.800u      1.200s      7.221w     10 calls
| DFMP2 Qia Read                    :      0.717u      0.250s      0.268w     20 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Tue Feb 22 17:46:01 2022
Timers Off: Tue Feb 22 17:55:04 2022

Wall Time:      543.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     18.933u      0.100s     12.774w     10 calls
DFH: initialize()                   :    688.650u     42.300s    147.078w     10 calls
DFH: AO Construction                :    295.817u     10.683s     56.533w     10 calls
DFH: AO-Met. Contraction            :    348.050u     13.950s     68.391w     10 calls
DFH: Total Workflow                 :    523.833u     18.667s     97.558w      3 calls
HF: Form core H                     :      0.600u      0.117s      0.407w     10 calls
HF: Form S/X                        :      8.167u      0.600s      1.996w     10 calls
HF: Guess                           :     62.150u      4.383s     13.286w     10 calls
SAD Guess                           :     60.733u      4.233s     12.951w     10 calls
HF: Form G                          :    449.883u    173.183s    179.682w    114 calls
JK: D                               :      0.800u      0.033s      0.146w    114 calls
JK: USO2AO                          :      0.283u      0.050s      0.060w    114 calls
JK: JK                              :    446.567u    172.883s    178.888w    114 calls
DFH: compute_JK()                   :    446.567u    172.883s    178.886w    114 calls
DFH: Grabbing AOs                   :     24.350u    136.383s     85.164w    114 calls
DFH: compute_J                      :     70.433u      0.617s     14.090w    114 calls
DFH: compute_K                      :    333.633u     10.617s     63.793w    114 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    114 calls
HF: Form F                          :      0.683u      0.150s      0.196w    114 calls
HF: Form D                          :      1.483u      0.133s      0.367w    114 calls
HF: DIIS                            :     25.150u      3.067s      5.694w    104 calls
DIISManager::add_entry              :      2.667u      0.683s      0.650w    104 calls
DIISManager::extrapolate            :      6.383u      1.733s      1.565w    104 calls
bMatrix setup                       :      4.017u      1.133s      1.018w    104 calls
bMatrix pseudoinverse               :      0.067u      0.033s      0.013w    104 calls
New vector                          :      2.283u      0.567s      0.531w    104 calls
HF: Form C                          :     75.883u      4.183s     15.791w    104 calls
DFMP2 Singles                       :      1.250u      0.083s      0.296w     10 calls
DFMP2 Aia                           :    325.317u     19.300s     89.050w     10 calls
DFMP2 (A|mn)                        :    257.050u      0.200s     47.745w     10 calls
DFMP2 (A|mn)C_mi                    :     16.000u      0.317s      2.950w     10 calls
DFMP2 (A|mi)C_na                    :      9.367u      0.167s      1.756w     10 calls
DFMP2 Aia Write                     :      1.100u      0.600s      0.357w     10 calls
DFMP2 Qia                           :     69.583u      4.633s     15.997w     10 calls
DFMP2 Metric                        :     53.967u      3.033s     12.378w     10 calls
DFMP2 Aia Read                      :      0.483u      0.300s      0.201w     10 calls
DFMP2 (Q|A)(A|ia)                   :     11.467u      0.167s      2.361w     10 calls
DFMP2 Qia Write                     :      1.150u      0.517s      0.339w     10 calls
DFMP2 Energy                        :     37.383u      1.300s      7.637w     10 calls
DFMP2 Qia Read                      :      0.767u      0.250s      0.305w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     18.933u      0.100s     12.774w     10 calls
DFH: initialize()                   :    688.650u     42.300s    147.078w     10 calls
| DFH: AO Construction              :     59.150u      2.083s     12.780w      7 calls
| DFH: AO-Met. Contraction          :     60.883u      3.883s     14.587w      7 calls
| DFH: Total Workflow               :    523.833u     18.667s     97.558w      3 calls
| | DFH: AO Construction            :    236.667u      8.600s     43.754w      3 calls
| | DFH: AO-Met. Contraction        :    287.167u     10.067s     53.804w      3 calls
HF: Form core H                     :      0.600u      0.117s      0.407w     10 calls
HF: Form S/X                        :      8.167u      0.600s      1.996w     10 calls
HF: Guess                           :     62.150u      4.383s     13.286w     10 calls
| SAD Guess                         :     60.733u      4.233s     12.951w     10 calls
