
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:11:04 2023
Timers Off: Sat Nov 18 08:11:13 2023

Wall Time:        8.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.450u      0.100s      0.421w      1 calls
build grid                          :      1.017u      0.050s      0.259w      1 calls
post-process grid                   :      0.433u      0.050s      0.162w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.035w      1 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.036w      7 calls
DFH: initialize()                   :      6.717u      0.233s      1.068w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.117u      0.017s      0.016w      1 calls
DFH: AO Construction                :      0.933u      0.017s      0.151w      1 calls
DFH: AO-Met. Contraction            :      1.017u      0.000s      0.127w      2 calls
DFH: wAO Construction               :      1.417u      0.000s      0.174w      1 calls
DFH: wAO Copy                       :      0.467u      0.017s      0.057w      1 calls
HF: Form core H                     :      0.067u      0.000s      0.010w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.004w      1 calls
HF: Guess                           :      0.933u      0.050s      0.118w      1 calls
SAD Guess                           :      0.933u      0.050s      0.117w      1 calls
HF: Form G                          :     21.633u      3.317s      4.000w     10 calls
RV: Form V                          :     18.167u      2.333s      3.265w     10 calls
Properties                          :      5.949p                          18070 calls
Functional                          :      3.287p                          18070 calls
V_xc                                :      6.662p                          18070 calls
JK: D                               :      0.033u      0.000s      0.014w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :      3.367u      0.983s      0.707w     10 calls
DFH: compute_JK()                   :      1.567u      0.483s      0.334w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.400u      0.067s      0.073w     10 calls
DFH: compute_K                      :      0.850u      0.400s      0.215w     10 calls
DFH: compute_wK()                   :      1.800u      0.500s      0.371w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.183u      0.000s      0.032w     10 calls
HF: Form D                          :      0.033u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.883u      0.117s      0.308w      9 calls
HF: Form C                          :      0.250u      0.017s      0.047w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.450u      0.100s      0.421w      1 calls
| build grid                        :      1.017u      0.050s      0.259w      1 calls
| post-process grid                 :      0.433u      0.050s      0.162w      1 calls
DFH: sparsity prep                  :      0.050u      0.000s      0.035w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.023w      1 calls
DFH: initialize()                   :      6.717u      0.233s      1.068w      1 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.013w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.117u      0.017s      0.016w      1 calls
| DFH: AO Construction              :      0.933u      0.017s      0.151w      1 calls
| DFH: AO-Met. Contraction          :      1.017u      0.000s      0.127w      2 calls
| DFH: wAO Construction             :      1.417u      0.000s      0.174w      1 calls
| DFH: wAO Copy                     :      0.467u      0.017s      0.057w      1 calls
