
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:13:31 2023
Timers Off: Sat Nov 18 08:13:43 2023

Wall Time:       12.57 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.633u      0.083s      0.583w      1 calls
build grid                          :      1.733u      0.033s      0.368w      1 calls
post-process grid                   :      0.900u      0.050s      0.215w      1 calls
DFH: sparsity prep                  :      0.050u      0.017s      0.034w      1 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.044w      7 calls
DFH: initialize()                   :     13.967u      0.417s      2.525w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.100u      0.000s      0.025w      1 calls
DFH: AO Construction                :      2.017u      0.033s      0.334w      1 calls
DFH: AO-Met. Contraction            :      2.567u      0.017s      0.451w      2 calls
DFH: wAO Construction               :      2.750u      0.000s      0.406w      1 calls
DFH: wAO Copy                       :      0.717u      0.017s      0.093w      1 calls
HF: Form core H                     :      0.117u      0.000s      0.015w      1 calls
HF: Form S/X                        :      0.050u      0.000s      0.005w      1 calls
HF: Guess                           :      0.700u      0.033s      0.090w      1 calls
SAD Guess                           :      0.683u      0.033s      0.088w      1 calls
HF: Form G                          :     31.133u      2.717s      4.709w     10 calls
RV: Form V                          :     26.050u      1.650s      3.845w     10 calls
Properties                          :      5.999p                          23920 calls
Functional                          :      3.394p                          23920 calls
V_xc                                :      9.477p                          23920 calls
JK: D                               :      0.000u      0.000s      0.002w     10 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     10 calls
JK: JK                              :      5.017u      1.067s      0.853w     10 calls
DFH: compute_JK()                   :      2.233u      0.450s      0.372w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.517u      0.067s      0.076w     10 calls
DFH: compute_K                      :      1.317u      0.267s      0.220w     10 calls
DFH: compute_wK()                   :      2.733u      0.617s      0.479w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.250u      0.017s      0.053w     10 calls
HF: Form D                          :      0.083u      0.000s      0.013w     10 calls
