Vdw-Lambda,Ele-Lambda,Rest-Lambda,Folder,ΔGˢᵒˡᵛ,ΔGˢᵒˡᵛᵉʳʳ,ΔGˢᵒˡᵛᶠʷᵈ,ΔGˢᵒˡᵛᵇʷᵈ,ΔHˢᵒˡᵛ,ΔHˢᵒˡᵛᵉʳʳ,TΔSˢᵒˡᵛ,TΔSˢᵒˡᵛᵉʳʳ,SolvOverlap
1-1,1-0.9,0-1,SolvE1_V1-SolvE0.9_V1,-3.065,0.012,-3.066,-3.064,-2.634,1.261,0.431,1.261,0.737
1-1,0.9-0.8,1-1,SolvE0.9_V1-SolvE0.8_V1,-2.281,0.01,-2.279,-2.273,-1.297,1.104,0.984,1.104,0.808
1-1,0.8-0.7,1-1,SolvE0.8_V1-SolvE0.7_V1,-1.757,0.007,-1.762,-1.753,-1.297,0.875,0.46,0.875,0.871
1-1,0.7-0.6,1-1,SolvE0.7_V1-SolvE0.6_V1,-1.387,0.006,-1.381,-1.39,-0.771,0.675,0.617,0.675,0.913
1-1,0.6-0.5,1-1,SolvE0.6_V1-SolvE0.5_V1,-1.106,0.004,-1.106,-1.108,0.719,0.551,1.826,0.551,0.939
1-1,0.5-0.4,1-1,SolvE0.5_V1-SolvE0.4_V1,-0.885,0.004,-0.89,-0.88,0.182,0.464,1.066,0.464,0.954
1-1,0.4-0.3,1-1,SolvE0.4_V1-SolvE0.3_V1,-0.687,0.003,-0.683,-0.691,-0.512,0.41,0.175,0.41,0.962
1-1,0.3-0.2,1-1,SolvE0.3_V1-SolvE0.2_V1,-0.496,0.003,-0.495,-0.498,0.305,0.404,0.8,0.404,0.967
1-1,0.2-0.1,1-1,SolvE0.2_V1-SolvE0.1_V1,-0.314,0.003,-0.314,-0.314,-0.065,0.41,0.249,0.41,0.97
1-1,0.1-0,1-1,SolvE0.1_V1-SolvE0_V1,-0.135,0.003,-0.136,-0.134,-0.573,0.391,-0.438,0.391,0.972
1-0.95,0-0,1-1,SolvE0_V1-SolvE0_V0.95,-0.934,0.006,-0.94,-0.918,-2.608,0.708,-1.673,0.708,0.911
0.95-0.9,0-0,1-1,SolvE0_V0.95-SolvE0_V0.9,-0.362,0.006,-0.354,-0.356,-1.414,0.683,-1.052,0.683,0.903
0.9-0.85,0-0,1-1,SolvE0_V0.9-SolvE0_V0.85,0.032,0.008,0.029,-0.01,-8845645.177,3820817.913,-8845645.21,3820817.913,0.863
0.85-0.8,0-0,1-1,SolvE0_V0.85-SolvE0_V0.8,0.293,0.009,0.257,99.637,-6949156.782,2986711.067,-6949157.075,2986711.067,0.829
0.8-0.75,0-0,1-1,SolvE0_V0.8-SolvE0_V0.75,0.482,0.009,0.487,0.514,-1.477,1.039,-1.959,1.039,0.803
0.75-0.7,0-0,1-1,SolvE0_V0.75-SolvE0_V0.7,0.785,0.012,0.781,0.844,0.102,1.285,-0.683,1.285,0.711
0.7-0.67,0-0,1-1,SolvE0_V0.7-SolvE0_V0.67,0.71,0.01,0.714,0.702,0.006,1.129,-0.704,1.129,0.817
0.67-0.64,0-0,1-1,SolvE0_V0.67-SolvE0_V0.64,1.009,0.014,1.013,0.962,0.92,1.607,-0.088,1.607,0.739
0.64-0.62,0-0,1-1,SolvE0_V0.64-SolvE0_V0.62,0.943,0.014,0.95,0.962,0.463,1.529,-0.48,1.529,0.813
0.62-0.6,0-0,1-1,SolvE0_V0.62-SolvE0_V0.6,1.137,0.013,1.135,1.134,1.057,1.518,-0.08,1.518,0.824
0.6-0.58,0-0,1-1,SolvE0_V0.6-SolvE0_V0.58,1.148,0.011,1.141,1.15,-0.832,1.252,-1.98,1.252,0.891
0.58-0.56,0-0,1-1,SolvE0_V0.58-SolvE0_V0.56,0.986,0.006,0.984,0.988,1.601,0.778,0.616,0.778,0.949
0.56-0.52,0-0,1-1,SolvE0_V0.56-SolvE0_V0.52,1.34,0.005,1.342,1.339,1.192,0.673,-0.148,0.674,0.941
0.52-0.45,0-0,1-1,SolvE0_V0.52-SolvE0_V0.45,0.942,0.003,0.938,0.944,0.633,0.371,-0.309,0.371,0.975
