Vdw-Lambda,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-0.95,0.95-0.9,0.9-0.85,0.85-0.8,0.8-0.75,0.75-0.7,0.7-0.67,0.67-0.64,0.64-0.62,0.62-0.6,0.6-0.58,0.58-0.56,0.56-0.52,0.52-0.45,0.45-0,0-0.45,0.45-0.52,0.52-0.56,0.56-0.58,0.58-0.6,0.6-0.62,0.62-0.64,0.64-0.67,0.67-0.7,0.7-0.75,0.75-0.8,0.8-0.85,0.85-0.9,0.9-0.95,0.95-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1
Ele-Lambda,1-0.9,0.9-0.8,0.8-0.7,0.7-0.6,0.6-0.5,0.5-0.4,0.4-0.3,0.3-0.2,0.2-0.1,0.1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0.1,0.1-0.2,0.2-0.3,0.3-0.4,0.4-0.5,0.5-0.6,0.6-0.7,0.7-0.8,0.8-0.9,0.9-1
Rest-Lambda,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,0-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1,1-1
Folder,SolvSimEle1_Vdw1-SolvSimEle0.9_Vdw1,SolvSimEle0.9_Vdw1-SolvSimEle0.8_Vdw1,SolvSimEle0.8_Vdw1-SolvSimEle0.7_Vdw1,SolvSimEle0.7_Vdw1-SolvSimEle0.6_Vdw1,SolvSimEle0.6_Vdw1-SolvSimEle0.5_Vdw1,SolvSimEle0.5_Vdw1-SolvSimEle0.4_Vdw1,SolvSimEle0.4_Vdw1-SolvSimEle0.3_Vdw1,SolvSimEle0.3_Vdw1-SolvSimEle0.2_Vdw1,SolvSimEle0.2_Vdw1-SolvSimEle0.1_Vdw1,SolvSimEle0.1_Vdw1-SolvSimEle0_Vdw1,SolvSimEle0_Vdw1-SolvSimEle0_Vdw0.95,SolvSimEle0_Vdw0.95-SolvSimEle0_Vdw0.9,SolvSimEle0_Vdw0.9-SolvSimEle0_Vdw0.85,SolvSimEle0_Vdw0.85-SolvSimEle0_Vdw0.8,SolvSimEle0_Vdw0.8-SolvSimEle0_Vdw0.75,SolvSimEle0_Vdw0.75-SolvSimEle0_Vdw0.7,SolvSimEle0_Vdw0.7-SolvSimEle0_Vdw0.67,SolvSimEle0_Vdw0.67-SolvSimEle0_Vdw0.64,SolvSimEle0_Vdw0.64-SolvSimEle0_Vdw0.62,SolvSimEle0_Vdw0.62-SolvSimEle0_Vdw0.6,SolvSimEle0_Vdw0.6-SolvSimEle0_Vdw0.58,SolvSimEle0_Vdw0.58-SolvSimEle0_Vdw0.56,SolvSimEle0_Vdw0.56-SolvSimEle0_Vdw0.52,SolvSimEle0_Vdw0.52-SolvSimEle0_Vdw0.45,SolvSimEle0_Vdw0.45-SolvSimEle0_Vdw0,SolvSimEle0_Vdw0_Gas-SolvSimEle0_Vdw0.45_Gas,SolvSimEle0_Vdw0.45_Gas-SolvSimEle0_Vdw0.52_Gas,SolvSimEle0_Vdw0.52_Gas-SolvSimEle0_Vdw0.56_Gas,SolvSimEle0_Vdw0.56_Gas-SolvSimEle0_Vdw0.58_Gas,SolvSimEle0_Vdw0.58_Gas-SolvSimEle0_Vdw0.6_Gas,SolvSimEle0_Vdw0.6_Gas-SolvSimEle0_Vdw0.62_Gas,SolvSimEle0_Vdw0.62_Gas-SolvSimEle0_Vdw0.64_Gas,SolvSimEle0_Vdw0.64_Gas-SolvSimEle0_Vdw0.67_Gas,SolvSimEle0_Vdw0.67_Gas-SolvSimEle0_Vdw0.7_Gas,SolvSimEle0_Vdw0.7_Gas-SolvSimEle0_Vdw0.75_Gas,SolvSimEle0_Vdw0.75_Gas-SolvSimEle0_Vdw0.8_Gas,SolvSimEle0_Vdw0.8_Gas-SolvSimEle0_Vdw0.85_Gas,SolvSimEle0_Vdw0.85_Gas-SolvSimEle0_Vdw0.9_Gas,SolvSimEle0_Vdw0.9_Gas-SolvSimEle0_Vdw0.95_Gas,SolvSimEle0_Vdw0.95_Gas-SolvSimEle0_Vdw1_Gas,SolvSimEle0_Vdw1_Gas-SolvSimEle0.1_Vdw1_Gas,SolvSimEle0.1_Vdw1_Gas-SolvSimEle0.2_Vdw1_Gas,SolvSimEle0.2_Vdw1_Gas-SolvSimEle0.3_Vdw1_Gas,SolvSimEle0.3_Vdw1_Gas-SolvSimEle0.4_Vdw1_Gas,SolvSimEle0.4_Vdw1_Gas-SolvSimEle0.5_Vdw1_Gas,SolvSimEle0.5_Vdw1_Gas-SolvSimEle0.6_Vdw1_Gas,SolvSimEle0.6_Vdw1_Gas-SolvSimEle0.7_Vdw1_Gas,SolvSimEle0.7_Vdw1_Gas-SolvSimEle0.8_Vdw1_Gas,SolvSimEle0.8_Vdw1_Gas-SolvSimEle0.9_Vdw1_Gas,SolvSimEle0.9_Vdw1_Gas-SolvSimEle1_Vdw1_Gas
ΔGˢᵒˡᵛ,-3.0649404969607636,-2.2810731353122398,-1.757131339637568,-1.387496120480084,-1.1064436902961055,-0.8846406793455942,-0.68657823096329,-0.4958620623036721,-0.3139546962342048,-0.13542893789250196,-0.9344367888371197,-0.36199296470675046,0.03249809735938618,0.2928812970633007,0.48182493873324145,0.7850157907343971,0.709721226606379,1.0085179823795876,0.942599272354815,1.1374432218319819,1.1479278746406263,0.9858000379510914,1.3401699960118965,0.942020419730998,0.09149635611796528,0.007684200108537527,-0.01669825789343259,-0.029598134684620924,-0.02441325775886678,-0.033230294708302036,-0.04424320942905326,-0.057711197531312444,-0.11788498167034651,-0.16501691205725466,-0.4134843720601941,-0.6360128895406223,-0.8965500006600386,-1.158414902708472,-1.3666745130787008,-1.463318788957343,0.04821535991423736,0.14291549618218305,0.23495894624425265,0.32433103355258225,0.4112141512601165,0.4953488369785387,0.5769038592686557,0.6568645093578565,0.735510619489779,0.8140307134812974
ΔGˢᵒˡᵛᵉʳʳ,0.011656086165618475,0.009824564020569942,0.007430511292187591,0.005665458076811137,0.004487640889795996,0.003707134536541364,0.0033659323189336146,0.003260467363861531,0.0032449521197532786,0.0031248219150198228,0.0059624733634169305,0.005903720117089711,0.007935705129876078,0.008538622134170223,0.009090093658946813,0.011982352204937012,0.009842756875833336,0.014493186252309515,0.013566208640114779,0.013473819396605148,0.010506282000218768,0.0063370201175110795,0.005480427233598811,0.002868122980534387,0.00091634964139464,1.944123357827545e-05,4.9769049929157255e-05,6.270397031818606e-05,4.8082548490860015e-05,6.398019793615441e-05,8.269231752749602e-05,0.00010564821035275545,0.0002402256464458285,0.00038213249777292496,0.000839691000800585,0.0011635646138554176,0.0016752909946805997,0.0022377134489787354,0.0032581771506996443,0.003828337092526806,2.0809233632945645e-05,6.455481331199977e-05,0.00010557232768773883,0.0001363762427332256,0.00017504955929567077,0.00021944258006623255,0.00027610446435731497,0.00033661230623100553,0.00046024596340250835,0.0005774214289118148
ΔGˢᵒˡᵛᶠʷᵈ,-3.065516578736142,-2.279132979617938,-1.7621070652194681,-1.3807918493753764,-1.1061838864247164,-0.8903708984955778,-0.6829140968411338,-0.49526955963423086,-0.31362281091538174,-0.13593474242222486,-0.9399036512049895,-0.35387501517338665,0.028779623307757848,0.2573455041977249,0.48652533821429583,0.7813864574186004,0.7140090842293945,1.0126760912977575,0.9504021490778174,1.134888795136531,1.140501556499214,0.9841771034451691,1.3424851269287696,0.9379556889190436,0.09178638684711725,0.007681827605796321,-0.016621191273645496,-0.029650674897252052,-0.024416443282441504,-0.033290142266956646,-0.04423883411025114,-0.057711679691828645,-0.11761835466125022,-0.1649025627343783,-0.41384032337484644,-0.6370375026472561,-0.894585241480439,-1.161282152736529,-1.3659284238874052,-1.4661591215036078,0.048226129041535074,0.14292374763592017,0.2349367773136505,0.32435142334958766,0.41135538359382523,0.4951743654276214,0.5771042357827153,0.6570132596645152,0.7354278896578244,0.813486248858072
ΔGˢᵒˡᵛᵇʷᵈ,-3.0638192799295445,-2.2734312380281105,-1.7526495967446776,-1.389798307995323,-1.1081237508909743,-0.8803582579269295,-0.6906097496424176,-0.49816997854978196,-0.3141779468529255,-0.13374308006488472,-0.9175014149902649,-0.3562104551813172,-0.009934703511592369,99.63670476082973,0.5141367229867274,0.8437802515212743,0.7022058523508283,0.9615195153602616,0.9621327080088649,1.1339106724243389,1.1495593400088997,0.9880995664976118,1.3389718318946773,0.9441864242412958,0.0912185983454447,0.00768651771009613,-0.016774787010075617,-0.029545579824846544,-0.02441061232684094,-0.03317065033430415,-0.04424688920364201,-0.05771088949157798,-0.11815803151328727,-0.16512124478699328,-0.4130194132626008,-0.634876300772393,-0.898990441491782,-1.1554311471441427,-1.3683463610988174,-1.4587640059589813,0.04820456113923874,0.14290632896485714,0.2349858440352626,0.3243065019380334,0.41107594854799695,0.4955316655184767,0.5766794998988359,0.656737375318093,0.7355495929960756,0.81467184595957
ΔHˢᵒˡᵛ,-2.634132479073432,-1.2966600941656388,-1.2973633572268444,-0.7707250497318321,0.7190818329415912,0.1815432477818271,-0.5119256280151209,0.3045022255995831,-0.06541087238628232,-0.5732547772835583,-2.6078318834005785,-1.41392195541518,-8845645.177187897,-6949156.7819333095,-1.4772232240808536,0.10212490753990372,0.005618010995706025,0.9204989171100147,0.4630302396183538,1.0574547240754624,-0.8318192558136749,1.6014024400780147,1.1919479230862793,0.6328468204186033,0.06795451957748802,0.007429423243559941,-0.017380123991861854,-0.030206029073131805,-0.024913223716341165,-0.0339228609552552,-0.044682135147120314,-0.05798125336019644,-0.11868822517746208,-0.16712155078148863,-0.4164482826399216,-0.6340807204315115,-0.9001446137229671,-1.1700922978150712,-1.3663549063056333,-1.4741656862034764,0.048043946898236524,0.1422401713188415,0.23449224012012265,0.3242734298639754,0.4102454182564159,0.494304604933051,0.5767788134643164,0.657413598439439,0.7362815985431478,0.8154369532548696
ΔHˢᵒˡᵛᵉʳʳ,1.2613273384931774,1.1044351377604256,0.8746784287416587,0.6748010046249105,0.5508770656724412,0.4639307179032855,0.4100161096164098,0.4039954197767088,0.4099119713109887,0.3911101694963807,0.7079261945046537,0.6828868668294958,3820817.9129007393,2986711.066609896,1.038902649134281,1.2851798307800908,1.1292797141836064,1.6066982699999057,1.5286462123626363,1.5183621189531198,1.2524192344142817,0.7778090260952354,0.6734787454336487,0.3709229892848992,0.1194525161835567,8.414584830751443e-05,0.000212518760637853,0.0002624363961876154,0.00020029612488613947,0.0002739362552279714,0.0003588237311640716,0.0004456710987257145,0.0009926857789643055,0.0016602712696017472,0.0036166244524569345,0.005017009854501181,0.007162932985721339,0.00946211407208088,0.013106998432450183,0.01604425655699929,8.581777112022412e-05,0.00026900303022377024,0.0004486001069169144,0.0005836294919876516,0.0007397166216908101,0.0008922856594213796,0.0011210081594898345,0.0014555848402616532,0.0019829374284605576,0.002385353594297369
