
Host: node35.bme.utexas.edu

Timers On : Mon Oct  5 15:26:23 2020
Timers Off: Mon Oct  5 15:26:47 2020

Wall Time:       24.38 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      6.017u      0.417s      0.487w      6 calls
JK: (A|mn)                          :      1.583u      0.000s      0.120w      6 calls
JK: (A|Q)^-1/2                      :     15.350u      1.067s      1.234w      6 calls
JK: (Q|mn)                          :      0.133u      0.033s      0.014w      6 calls
JK: (A|mn)^L                        :      0.667u      0.017s      0.052w      6 calls
JK: (A|Q)^-1                        :     15.317u      1.050s      1.225w      6 calls
JK: (Q|mn)^L                        :      0.117u      0.067s      0.014w      6 calls
JK: (A|mn)^R                        :      0.750u      0.000s      0.058w      6 calls
HF: Form core H                     :      1.783u      0.150s      0.168w      6 calls
HF: Form S/X                        :      0.083u      0.000s      0.006w      6 calls
HF: Guess                           :     20.067u      1.367s      1.685w      6 calls
SAD Guess                           :     19.667u      1.317s      1.653w      2 calls
HF: Form G                          :     52.550u      1.117s      4.035w     57 calls
RV: Form V                          :     49.483u      0.850s      3.787w     57 calls
Properties                          :      6.872p                          66882 calls
Functional                          :     20.294p                          66882 calls
V_xc                                :      5.865p                          60522 calls
JK: D                               :      0.017u      0.000s      0.002w     57 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     57 calls
JK: JK                              :      2.850u      0.267s      0.229w     57 calls
JK: J                               :      0.350u      0.050s      0.024w     57 calls
JK: J1                              :      0.117u      0.017s      0.011w     57 calls
JK: J2                              :      0.200u      0.000s      0.011w     57 calls
JK: K                               :      0.633u      0.067s      0.053w     57 calls
JK: K1                              :      0.317u      0.017s      0.030w     57 calls
JK: K2                              :      0.300u      0.050s      0.021w     57 calls
JK: wK                              :      1.367u      0.033s      0.115w    114 calls
JK: wK1                             :      1.050u      0.033s      0.086w    228 calls
JK: wK2                             :      0.200u      0.000s      0.024w    114 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     57 calls
HF: Form F                          :      0.000u      0.000s      0.003w     57 calls
HF: Form D                          :      0.017u      0.017s      0.002w     57 calls
HF: DIIS                            :      1.283u      0.200s      0.106w     55 calls
DIISManager::add_entry              :      0.517u      0.100s      0.046w     51 calls
DIISManager::extrapolate            :      0.217u      0.067s      0.020w     51 calls
bMatrix setup                       :      0.100u      0.017s      0.005w     51 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.008w     51 calls
New vector                          :      0.050u      0.017s      0.004w     51 calls
HF: Form C                          :      0.333u      0.017s      0.029w     55 calls
Grad: V T Perturb                   :     15.400u      2.017s      1.307w      6 calls
Grad: S                             :      0.067u      0.000s      0.003w      6 calls
Grad: JK                            :     66.383u      4.600s      5.636w      6 calls
