
Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 15:33:47 2022
Timers Off: Wed Jun  8 15:54:27 2022

Wall Time:     1239.95 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    131.633u      0.583s     40.889w      7 calls
DFH: sparsity prep                  :      2.650u      0.017s      1.572w      7 calls
Libint2ERI::Libint2ERI              :     15.217u      0.350s      6.045w     84 calls
DFH: initialize()                   :    671.667u     15.683s    211.338w      7 calls
Libint2ErfERI::Libint2ErfERI        :     13.750u      0.200s      6.634w     35 calls
DFH: AO Construction                :     80.267u      1.583s     24.601w     14 calls
DFH: AO-Met. Contraction            :    323.983u      1.917s     97.980w     28 calls
DFH: wAO Construction               :     94.900u      0.167s     28.596w     14 calls
DFH: wAO Copy                       :     15.067u      0.233s      4.601w     14 calls
HF: Form core H                     :      6.000u      0.017s      1.825w      7 calls
HF: Form S/X                        :      0.583u      0.033s      0.180w      7 calls
HF: Guess                           :      0.267u      0.017s      0.086w      7 calls
SAD Guess                           :      0.233u      0.017s      0.079w      1 calls
HF: Form G                          :   1702.783u     76.983s    541.961w     83 calls
RV: Form V                          :    873.150u      9.433s    265.471w     83 calls
Properties                          :    285.918p                         448046 calls
Functional                          :     87.746p                         448046 calls
V_xc                                :    209.079p                         413187 calls
JK: D                               :      0.083u      0.000s      0.033w     83 calls
JK: USO2AO                          :      0.083u      0.000s      0.021w     83 calls
JK: JK                              :    829.200u     67.533s    276.384w     83 calls
DFH: compute_JK()                   :    349.133u     26.767s    113.062w     83 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     83 calls
DFH: compute_J                      :     23.333u      5.950s      8.813w     83 calls
DFH: compute_K                      :    290.983u      0.900s     87.758w     83 calls
DFH: compute_wK()                   :    480.017u     40.767s    163.305w     83 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     83 calls
HF: Form F                          :      0.067u      0.033s      0.023w     83 calls
HF: Form D                          :      0.133u      0.000s      0.030w     83 calls
HF: DIIS                            :      2.633u      0.250s      0.902w     82 calls
DIISManager::add_entry              :      0.233u      0.067s      0.087w     76 calls
DIISManager::extrapolate            :      0.600u      0.100s      0.263w     76 calls
bMatrix setup                       :      0.350u      0.067s      0.142w     76 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.006w     76 calls
New vector                          :      0.233u      0.033s      0.114w     76 calls
HF: Form C                          :      6.600u      0.267s      2.022w     82 calls
Grad: V T Perturb                   :     27.117u      0.067s      8.173w      7 calls
Grad: S                             :      0.217u      0.000s      0.059w      7 calls
Grad: JK                            :   1155.433u     25.483s    368.779w      7 calls
