
Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 10:01:56 2022
Timers Off: Wed Jun  8 10:03:02 2022

Wall Time:       66.01 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.117u      0.017s      0.072w      1 calls
Libint2ERI::Libint2ERI              :      1.833u      0.050s      0.642w     27 calls
DFH: initialize()                   :     32.567u      1.067s      1.728w      1 calls
DFH: AO Construction                :      6.367u      0.083s      0.323w      1 calls
DFH: AO-Met. Contraction            :      5.017u      0.133s      0.259w      1 calls
HF: Form core H                     :      0.683u      0.017s      0.036w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.004w      1 calls
HF: Guess                           :      1.833u      0.100s      0.098w      1 calls
SAD Guess                           :      1.800u      0.100s      0.096w      1 calls
HF: Form G                          :     19.833u      0.933s      1.042w     11 calls
JK: D                               :      0.017u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     19.750u      0.933s      1.039w     11 calls
DFH: compute_JK()                   :     19.750u      0.933s      1.039w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      1.600u      0.017s      0.079w     11 calls
DFH: compute_K                      :     10.033u      0.017s      0.505w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.433u      0.050s      0.025w     10 calls
DIISManager::add_entry              :      0.083u      0.033s      0.006w     10 calls
DIISManager::extrapolate            :      0.067u      0.000s      0.007w     10 calls
bMatrix setup                       :      0.017u      0.000s      0.003w     10 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.001w     10 calls
New vector                          :      0.000u      0.000s      0.002w     10 calls
HF: Form C                          :      0.667u      0.050s      0.033w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.117u      0.017s      0.072w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.047w      1 calls
DFH: initialize()                   :     32.567u      1.067s      1.728w      1 calls
| Libint2ERI::Libint2ERI            :      0.883u      0.050s      0.058w     13 calls
| DFH: AO Construction              :      6.367u      0.083s      0.323w      1 calls
| DFH: AO-Met. Contraction          :      5.017u      0.133s      0.259w      1 calls
HF: Form core H                     :      0.683u      0.017s      0.036w      1 calls
HF: Form S/X                        :      0.067u      0.017s      0.004w      1 calls
HF: Guess                           :      1.833u      0.100s      0.098w      1 calls
| SAD Guess                         :      1.800u      0.100s      0.096w      1 calls
HF: Form G                          :     19.833u      0.933s      1.042w     11 calls
| JK: D                             :      0.017u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     19.750u      0.933s      1.039w     11 calls
| | DFH: compute_JK()               :     19.750u      0.933s      1.039w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      1.600u      0.017s      0.079w     11 calls
| | | DFH: compute_K                :     10.033u      0.017s      0.505w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.000u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.433u      0.050s      0.025w     10 calls
| DIISManager::add_entry            :      0.083u      0.033s      0.006w     10 calls
| DIISManager::extrapolate          :      0.067u      0.000s      0.007w     10 calls
| | bMatrix setup                   :      0.017u      0.000s      0.003w     10 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.001w     10 calls
| | New vector                      :      0.000u      0.000s      0.002w     10 calls
HF: Form C                          :      0.667u      0.050s      0.033w     10 calls
Libint2ERI::Libint2ERI              :      0.883u      0.000s      0.537w     13 calls

**************************************************************************************

Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 10:04:54 2022
Timers Off: Wed Jun  8 11:45:21 2022

Wall Time:     6027.07 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     20.817u      0.500s      9.201w     38 calls
Libint2ERI::Libint2ERI              :     88.133u      2.783s     30.819w    494 calls
DFH: initialize()                   :   2182.367u     66.100s    692.092w     38 calls
DFH: AO Construction                :    376.033u     15.083s    118.492w     38 calls
DFH: AO-Met. Contraction            :   1293.233u     40.817s    415.174w     38 calls
HF: Form core H                     :     23.200u      0.100s      7.052w     19 calls
HF: Form S/X                        :      2.450u      0.050s      0.749w     19 calls
