
Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 12:27:03 2022
Timers Off: Wed Jun  8 12:43:28 2022

Wall Time:      984.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    148.083u      1.083s     46.150w     10 calls
DFH: sparsity prep                  :      2.350u      0.017s      1.425w     10 calls
Libint2ERI::Libint2ERI              :     14.717u      0.450s      5.520w    120 calls
DFH: initialize()                   :    492.883u     15.367s    157.279w     10 calls
Libint2ErfERI::Libint2ErfERI        :     15.300u      0.467s      5.963w     50 calls
DFH: AO Construction                :     66.400u      1.667s     20.498w     10 calls
DFH: AO-Met. Contraction            :    203.067u      2.033s     62.316w     20 calls
DFH: wAO Construction               :     76.167u      0.267s     23.029w     10 calls
DFH: wAO Copy                       :     14.167u      1.050s      4.887w     10 calls
HF: Form core H                     :      5.100u      0.033s      1.557w     10 calls
HF: Form S/X                        :      0.467u      0.017s      0.148w     10 calls
HF: Guess                           :      0.300u      0.033s      0.098w     10 calls
SAD Guess                           :      0.267u      0.033s      0.091w      1 calls
HF: Form G                          :   1246.517u     62.767s    394.261w    114 calls
RV: Form V                          :    763.550u     18.017s    235.398w    114 calls
Properties                          :    230.252p                         557289 calls
Functional                          :    119.228p                         557289 calls
V_xc                                :    197.065p                         512342 calls
JK: D                               :      0.100u      0.000s      0.026w    114 calls
JK: USO2AO                          :      0.033u      0.000s      0.018w    114 calls
JK: JK                              :    482.733u     44.750s    158.771w    114 calls
DFH: compute_JK()                   :    198.283u     14.950s     64.123w    114 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    114 calls
DFH: compute_J                      :     15.817u      1.850s      5.316w    114 calls
DFH: compute_K                      :    159.600u      0.733s     48.266w    114 calls
DFH: compute_wK()                   :    284.400u     29.800s     94.633w    114 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    114 calls
HF: Form F                          :      0.067u      0.000s      0.020w    114 calls
HF: Form D                          :      0.117u      0.000s      0.024w    114 calls
HF: DIIS                            :      2.183u      0.283s      0.784w    113 calls
DIISManager::add_entry              :      0.217u      0.033s      0.093w    104 calls
DIISManager::extrapolate            :      0.383u      0.200s      0.228w    104 calls
bMatrix setup                       :      0.217u      0.117s      0.120w    104 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.009w    104 calls
New vector                          :      0.150u      0.083s      0.098w    104 calls
HF: Form C                          :      5.117u      0.167s      1.581w    113 calls
Grad: V T Perturb                   :     21.450u      0.067s      6.462w     10 calls
Grad: S                             :      0.183u      0.000s      0.055w     10 calls
Grad: JK                            :    892.067u     26.467s    288.224w     10 calls
JKGrad: Amn                         :    106.083u      5.000s     35.794w     10 calls
JKGrad: Awmn                        :    114.700u      5.283s     38.933w     10 calls
JKGrad: AB                          :     81.050u      1.683s     24.965w     10 calls
JKGrad: UV                          :     21.700u      1.050s      6.848w     10 calls
JKGrad: ABx                         :      6.533u      0.217s      2.049w     10 calls
JKGrad: Amnx                        :    561.283u     12.983s    178.909w     10 calls
Grad: XC                            :    197.567u      1.300s     59.948w     10 calls
V_xc gradient                       :     41.071p                          44947 calls

--------------------------------------------------------------------------------------
V: Grid                             :    148.083u      1.083s     46.150w     10 calls
DFH: sparsity prep                  :      2.350u      0.017s      1.425w     10 calls
| Libint2ERI::Libint2ERI            :      1.533u      0.017s      0.944w     10 calls
DFH: initialize()                   :    492.883u     15.367s    157.279w     10 calls
| Libint2ERI::Libint2ERI            :      2.883u      0.133s      0.901w     30 calls
| Libint2ErfERI::Libint2ErfERI      :      3.483u      0.083s      1.179w     10 calls
| DFH: AO Construction              :     66.400u      1.667s     20.498w     10 calls
| DFH: AO-Met. Contraction          :    203.067u      2.033s     62.316w     20 calls
| DFH: wAO Construction             :     76.167u      0.267s     23.029w     10 calls
| DFH: wAO Copy                     :     14.167u      1.050s      4.887w     10 calls
HF: Form core H                     :      5.100u      0.033s      1.557w     10 calls
HF: Form S/X                        :      0.467u      0.017s      0.148w     10 calls
HF: Guess                           :      0.300u      0.033s      0.098w     10 calls
| SAD Guess                         :      0.267u      0.033s      0.091w      1 calls
HF: Form G                          :   1246.517u     62.767s    394.261w    114 calls
| RV: Form V                        :    763.550u     18.017s    235.398w    114 calls
| | Properties                      :    161.815p                         512342 calls
| | Functional                      :    109.281p                         512342 calls
| | V_xc                            :    197.065p                         512342 calls
| JK: D                             :      0.100u      0.000s      0.026w    114 calls
| JK: USO2AO                        :      0.033u      0.000s      0.018w    114 calls
| JK: JK                            :    482.733u     44.750s    158.771w    114 calls
| | DFH: compute_JK()               :    198.283u     14.950s     64.123w    114 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    114 calls
| | | DFH: compute_J                :     15.817u      1.850s      5.316w    114 calls
| | | DFH: compute_K                :    159.600u      0.733s     48.266w    114 calls
| | DFH: compute_wK()               :    284.400u     29.800s     94.633w    114 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    114 calls
HF: Form F                          :      0.067u      0.000s      0.020w    114 calls
HF: Form D                          :      0.117u      0.000s      0.024w    114 calls
HF: DIIS                            :      2.183u      0.283s      0.784w    113 calls
| DIISManager::add_entry            :      0.217u      0.033s      0.093w    104 calls
| DIISManager::extrapolate          :      0.383u      0.200s      0.228w    104 calls
| | bMatrix setup                   :      0.217u      0.117s      0.120w    104 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.009w    104 calls
| | New vector                      :      0.150u      0.083s      0.098w    104 calls
HF: Form C                          :      5.117u      0.167s      1.581w    113 calls
Grad: V T Perturb                   :     21.450u      0.067s      6.462w     10 calls
Grad: S                             :      0.183u      0.000s      0.055w     10 calls
Grad: JK                            :    892.067u     26.467s    288.224w     10 calls
| JKGrad: Amn                       :    106.083u      5.000s     35.794w     10 calls
| | Libint2ERI::Libint2ERI          :      5.783u      0.217s      1.796w     20 calls
| JKGrad: Awmn                      :    114.700u      5.283s     38.933w     10 calls
| | Libint2ErfERI::Libint2ErfERI    :      6.283u      0.183s      2.376w     20 calls
| JKGrad: AB                        :     81.050u      1.683s     24.965w     10 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.009w     20 calls
| JKGrad: UV                        :     21.700u      1.050s      6.848w     10 calls
| JKGrad: ABx                       :      6.533u      0.217s      2.049w     10 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.010w     20 calls
| JKGrad: Amnx                      :    561.283u     12.983s    178.909w     10 calls
| | Libint2ERI::Libint2ERI          :      4.500u      0.083s      1.861w     20 calls
| | Libint2ErfERI::Libint2ErfERI    :      5.533u      0.200s      2.407w     20 calls
Grad: XC                            :    197.567u      1.300s     59.948w     10 calls
| Properties                        :     68.437p                          44947 calls
| Functional                        :      9.948p                          44947 calls
| V_xc gradient                     :     41.071p                          44947 calls

**************************************************************************************

Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 12:43:29 2022
Timers Off: Wed Jun  8 13:00:13 2022

Wall Time:     1004.54 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    143.850u      1.017s     44.694w     10 calls
DFH: sparsity prep                  :      2.317u      0.033s      1.418w     10 calls
Libint2ERI::Libint2ERI              :     14.633u      0.400s      5.458w    120 calls
DFH: initialize()                   :    499.067u     20.867s    162.168w     10 calls
Libint2ErfERI::Libint2ErfERI        :     15.117u      0.417s      5.890w     50 calls
DFH: AO Construction                :     66.450u      1.883s     20.563w     10 calls
DFH: AO-Met. Contraction            :    203.850u      3.883s     63.368w     20 calls
DFH: wAO Construction               :     76.550u      0.383s     23.146w     10 calls
DFH: wAO Copy                       :     14.250u      1.583s      5.269w     10 calls
HF: Form core H                     :      5.000u      0.050s      1.552w     10 calls
HF: Form S/X                        :      0.467u      0.017s      0.152w     10 calls
HF: Guess                           :      0.683u      0.033s      0.339w     10 calls
SAD Guess                           :      0.650u      0.033s      0.332w      1 calls
HF: Form G                          :   1257.617u     76.450s    402.147w    114 calls
RV: Form V                          :    761.867u     20.917s    235.693w    114 calls
Properties                          :    238.552p                         556992 calls
Functional                          :    118.623p                         556992 calls
V_xc                                :    196.544p                         512073 calls
JK: D                               :      0.050u      0.000s      0.026w    114 calls
JK: USO2AO                          :      0.117u      0.000s      0.020w    114 calls
