
Host: node44.bme.utexas.edu

Timers On : Tue Nov  9 09:51:31 2021
Timers Off: Tue Nov  9 09:52:09 2021

Wall Time:       37.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.042w      1 calls
DFH: initialize()                   :     15.833u      0.650s      0.967w      1 calls
DFH: AO Construction                :      2.767u      0.033s      0.140w      1 calls
DFH: AO-Met. Contraction            :      1.283u      0.067s      0.068w      1 calls
HF: Form core H                     :      0.267u      0.017s      0.015w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.002w      1 calls
HF: Guess                           :     19.250u      1.183s      1.166w      1 calls
SAD Guess                           :     19.000u      1.167s      1.154w      1 calls
HF: Form G                          :      3.783u      0.367s      0.208w     11 calls
JK: D                               :      0.017u      0.000s      0.000w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :      3.767u      0.367s      0.206w     11 calls
DFH: compute_JK()                   :      3.767u      0.367s      0.206w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      0.433u      0.267s      0.037w     11 calls
DFH: compute_K                      :      3.250u      0.083s      0.163w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.017u      0.000s      0.000w     11 calls
HF: DIIS                            :      0.317u      0.033s      0.018w     10 calls
DIISManager::add_entry              :      0.083u      0.000s      0.007w     10 calls
DIISManager::extrapolate            :      0.083u      0.000s      0.004w     10 calls
bMatrix setup                       :      0.050u      0.000s      0.002w     10 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.001w     10 calls
New vector                          :      0.000u      0.000s      0.001w     10 calls
HF: Form C                          :      0.317u      0.000s      0.016w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.042w      1 calls
DFH: initialize()                   :     15.833u      0.650s      0.967w      1 calls
| DFH: AO Construction              :      2.767u      0.033s      0.140w      1 calls
| DFH: AO-Met. Contraction          :      1.283u      0.067s      0.068w      1 calls
HF: Form core H                     :      0.267u      0.017s      0.015w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.002w      1 calls
HF: Guess                           :     19.250u      1.183s      1.166w      1 calls
| SAD Guess                         :     19.000u      1.167s      1.154w      1 calls
HF: Form G                          :      3.783u      0.367s      0.208w     11 calls
| JK: D                             :      0.017u      0.000s      0.000w     11 calls
