
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:01:26 2023
Timers Off: Sat Nov 18 08:01:32 2023

Wall Time:        5.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.033u      0.017s      0.014w      1 calls
Libint2ERI::Libint2ERI              :      1.800u      0.117s      0.503w    105 calls
DFH: initialize()                   :     18.700u      0.833s      0.272w      1 calls
DFH: AO Construction                :      3.383u      0.050s      0.042w      1 calls
DFH: AO-Met. Contraction            :      0.700u      0.050s      0.009w      1 calls
HF: Form core H                     :      1.867u      0.050s      0.023w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.001w      1 calls
HF: Guess                           :     19.583u      0.917s      0.245w      1 calls
SAD Guess                           :     19.467u      0.917s      0.244w      1 calls
HF: Form G                          :      3.367u      0.067s      0.040w     10 calls
JK: D                               :      0.017u      0.017s      0.000w     10 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     10 calls
JK: JK                              :      3.233u      0.050s      0.039w     10 calls
DFH: compute_JK()                   :      3.200u      0.050s      0.039w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.350u      0.000s      0.004w     10 calls
DFH: compute_K                      :      0.767u      0.000s      0.011w     10 calls
JK: AO2USO                          :      0.017u      0.000s      0.000w     10 calls
HF: Form F                          :      0.117u      0.000s      0.002w     10 calls
HF: Form D                          :      0.017u      0.000s      0.000w     10 calls
HF: DIIS                            :     12.333u      0.317s      0.150w      9 calls
HF: Form C                          :      0.850u      0.017s      0.011w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.033u      0.017s      0.014w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.009w      1 calls
DFH: initialize()                   :     18.700u      0.833s      0.272w      1 calls
| Libint2ERI::Libint2ERI            :      1.067u      0.050s      0.041w     52 calls
| DFH: AO Construction              :      3.383u      0.050s      0.042w      1 calls
| DFH: AO-Met. Contraction          :      0.700u      0.050s      0.009w      1 calls
HF: Form core H                     :      1.867u      0.050s      0.023w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.001w      1 calls
HF: Guess                           :     19.583u      0.917s      0.245w      1 calls
| SAD Guess                         :     19.467u      0.917s      0.244w      1 calls
HF: Form G                          :      3.367u      0.067s      0.040w     10 calls
| JK: D                             :      0.017u      0.017s      0.000w     10 calls
| JK: USO2AO                        :      0.017u      0.000s      0.000w     10 calls
| JK: JK                            :      3.233u      0.050s      0.039w     10 calls
| | DFH: compute_JK()               :      3.200u      0.050s      0.039w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.350u      0.000s      0.004w     10 calls
| | | DFH: compute_K                :      0.767u      0.000s      0.011w     10 calls
| JK: AO2USO                        :      0.017u      0.000s      0.000w     10 calls
HF: Form F                          :      0.117u      0.000s      0.002w     10 calls
HF: Form D                          :      0.017u      0.000s      0.000w     10 calls
HF: DIIS                            :     12.333u      0.317s      0.150w      9 calls
HF: Form C                          :      0.850u      0.017s      0.011w      9 calls
Libint2ERI::Libint2ERI              :      0.717u      0.050s      0.453w     52 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:03:45 2023
Timers Off: Sat Nov 18 08:06:09 2023

Wall Time:      143.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      5.533u      0.083s      1.253w     28 calls
Libint2ERI::Libint2ERI              :     66.767u      1.217s      9.146w    714 calls
DFH: initialize()                   :    156.717u      5.100s     21.310w     28 calls
DFH: AO Construction                :     47.183u      0.817s      6.043w     28 calls
DFH: AO-Met. Contraction            :     48.600u      2.117s      6.404w     28 calls
HF: Form core H                     :      3.133u      0.050s      0.518w     14 calls
HF: Form S/X                        :      0.600u      0.017s      0.093w     14 calls
HF: Guess                           :      9.783u      0.267s      1.391w     14 calls
SAD Guess                           :      9.633u      0.267s      1.370w     14 calls
HF: Form G                          :     87.183u      7.967s     12.469w    280 calls
JK: D                               :      0.333u      0.017s      0.061w    505 calls
JK: USO2AO                          :      0.050u      0.000s      0.007w    505 calls
JK: JK                              :    212.783u     19.933s     30.119w    505 calls
DFH: compute_JK()                   :    212.517u     19.933s     30.091w    505 calls
DFH: Grabbing AOs                   :      0.017u      0.017s      0.001w    505 calls
DFH: compute_J                      :     35.800u      0.100s      4.768w    505 calls
DFH: compute_K                      :    134.117u     14.750s     19.328w    505 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    505 calls
HF: Form F                          :      0.300u      0.017s      0.053w    280 calls
HF: Form D                          :      0.317u      0.017s      0.066w    280 calls
HF: DIIS                            :     19.850u      0.883s      2.817w    266 calls
HF: Form C                          :     12.083u      0.183s      1.761w    266 calls
DFMP2 Singles                       :      0.033u      0.000s      0.006w     14 calls
DFMP2 Aia                           :     60.583u      1.983s      8.592w     14 calls
