
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:44:55 2023
Timers Off: Sat Nov 18 08:45:22 2023

Wall Time:       26.92 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.900u      0.083s      0.632w      1 calls
build grid                          :      3.500u      0.033s      0.426w      1 calls
post-process grid                   :      1.400u      0.050s      0.206w      1 calls
DFH: sparsity prep                  :      0.167u      0.017s      0.103w      1 calls
Libint2ERI::Libint2ERI              :      0.617u      0.017s      0.132w      7 calls
DFH: initialize()                   :     59.150u      1.533s      7.891w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.583u      0.017s      0.072w      1 calls
DFH: AO Construction                :      8.217u      0.167s      1.009w      1 calls
DFH: AO-Met. Contraction            :     20.500u      0.033s      2.571w      2 calls
DFH: wAO Construction               :     13.917u      0.000s      1.673w      1 calls
DFH: wAO Copy                       :      4.450u      0.050s      0.621w      1 calls
HF: Form core H                     :      0.350u      0.017s      0.043w      1 calls
HF: Form S/X                        :      0.167u      0.000s      0.022w      1 calls
HF: Guess                           :      0.650u      0.050s      0.084w      1 calls
SAD Guess                           :      0.617u      0.050s      0.082w      1 calls
HF: Form G                          :    114.067u      9.400s     15.027w     10 calls
RV: Form V                          :     73.217u      6.033s      9.703w     10 calls
Properties                          :     17.093p                          36670 calls
Functional                          :      2.958p                          36670 calls
V_xc                                :     28.300p                          36670 calls
JK: D                               :      0.017u      0.017s      0.003w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     10 calls
JK: JK                              :     40.717u      3.350s      5.310w     10 calls
DFH: compute_JK()                   :     17.033u      1.200s      2.191w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      2.617u      0.467s      0.371w     10 calls
DFH: compute_K                      :     11.467u      0.150s      1.398w     10 calls
DFH: compute_wK()                   :     23.650u      2.150s      3.110w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.017s      0.006w     10 calls
HF: Form D                          :      0.017u      0.000s      0.002w     10 calls
HF: DIIS                            :      2.250u      0.150s      0.695w      9 calls
HF: Form C                          :      1.133u      0.000s      0.139w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.900u      0.083s      0.632w      1 calls
| build grid                        :      3.500u      0.033s      0.426w      1 calls
| post-process grid                 :      1.400u      0.050s      0.206w      1 calls
DFH: sparsity prep                  :      0.167u      0.017s      0.103w      1 calls
| Libint2ERI::Libint2ERI            :      0.100u      0.017s      0.070w      1 calls
DFH: initialize()                   :     59.150u      1.533s      7.891w      1 calls
| Libint2ERI::Libint2ERI            :      0.517u      0.000s      0.062w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.583u      0.017s      0.072w      1 calls
| DFH: AO Construction              :      8.217u      0.167s      1.009w      1 calls
| DFH: AO-Met. Contraction          :     20.500u      0.033s      2.571w      2 calls
| DFH: wAO Construction             :     13.917u      0.000s      1.673w      1 calls
| DFH: wAO Copy                     :      4.450u      0.050s      0.621w      1 calls
HF: Form core H                     :      0.350u      0.017s      0.043w      1 calls
HF: Form S/X                        :      0.167u      0.000s      0.022w      1 calls
HF: Guess                           :      0.650u      0.050s      0.084w      1 calls
| SAD Guess                         :      0.617u      0.050s      0.082w      1 calls
HF: Form G                          :    114.067u      9.400s     15.027w     10 calls
| RV: Form V                        :     73.217u      6.033s      9.703w     10 calls
| | Properties                      :     17.093p                          36670 calls
| | Functional                      :      2.958p                          36670 calls
| | V_xc                            :     28.300p                          36670 calls
| JK: D                             :      0.017u      0.017s      0.003w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     10 calls
| JK: JK                            :     40.717u      3.350s      5.310w     10 calls
| | DFH: compute_JK()               :     17.033u      1.200s      2.191w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      2.617u      0.467s      0.371w     10 calls
| | | DFH: compute_K                :     11.467u      0.150s      1.398w     10 calls
| | DFH: compute_wK()               :     23.650u      2.150s      3.110w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.017s      0.006w     10 calls
HF: Form D                          :      0.017u      0.000s      0.002w     10 calls
HF: DIIS                            :      2.250u      0.150s      0.695w      9 calls
