
Host: node74.bme.utexas.edu

Timers On : Tue Jun 14 14:06:26 2022
Timers Off: Tue Jun 14 14:38:02 2022

Wall Time:     1895.90 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     89.800u      0.800s     52.914w     23 calls
build grid                          :     80.150u      0.433s     45.287w     23 calls
post-process grid                   :      9.600u      0.367s      7.620w     23 calls
DFH: sparsity prep                  :      3.200u      0.000s      3.220w     23 calls
Libint2ERI::Libint2ERI              :     12.700u      0.250s      8.586w    207 calls
DFH: initialize()                   :    404.300u     10.833s    229.889w     23 calls
Libint2ErfERI::Libint2ErfERI        :     16.650u      0.450s     11.414w     92 calls
DFH: AO Construction                :     55.467u      0.917s     30.664w     23 calls
DFH: AO-Met. Contraction            :    131.567u      0.767s     73.081w     46 calls
DFH: wAO Construction               :     67.350u      0.417s     36.921w     23 calls
DFH: wAO Copy                       :      9.000u      0.167s      4.817w     23 calls
HF: Form core H                     :      4.383u      0.150s      3.115w     23 calls
HF: Form S/X                        :      1.017u      0.050s      0.586w     23 calls
HF: Guess                           :     10.633u      0.500s      6.513w     23 calls
SAD Guess                           :     10.467u      0.500s      6.448w     23 calls
HF: Form G                          :   1787.583u     52.217s    953.186w    368 calls
RV: Form V                          :   1203.550u     23.467s    638.005w    368 calls
Properties                          :    445.726p                         1091264 calls
Functional                          :    394.497p                         1091264 calls
V_xc                                :    463.109p                         1027072 calls
JK: D                               :      0.317u      0.000s      0.206w    368 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    368 calls
JK: JK                              :    579.383u     28.417s    310.366w    368 calls
DFH: compute_JK()                   :    241.450u     10.350s    126.084w    368 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    368 calls
DFH: compute_J                      :     21.417u      0.583s     10.972w    368 calls
DFH: compute_K                      :    205.183u      2.283s    105.052w    368 calls
DFH: compute_wK()                   :    337.833u     18.067s    184.171w    368 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    368 calls
HF: Form F                          :      0.883u      0.117s      0.719w    368 calls
HF: Form D                          :      0.283u      0.000s      0.209w    368 calls
HF: DIIS                            :     14.533u      1.100s     12.478w    345 calls
HF: Form C                          :     13.000u      0.483s      7.190w    345 calls
Grad: V T Perturb                   :      4.150u      0.033s      2.197w     23 calls
Grad: S                             :      0.733u      0.017s      0.581w     23 calls
Grad: JK                            :    795.933u     18.500s    436.422w     23 calls
JKGrad: Amn                         :     87.367u      2.783s     52.942w     23 calls
JKGrad: Awmn                        :     97.400u      2.900s     58.453w     23 calls
JKGrad: AB                          :     85.483u      3.017s     48.687w     23 calls
JKGrad: UV                          :     21.217u      1.367s     11.974w     23 calls
JKGrad: ABx                         :      7.250u      0.167s      3.973w     23 calls
JKGrad: Amnx                        :    492.117u      7.717s    255.400w     23 calls
Grad: XC                            :    160.767u      1.433s     81.770w     23 calls
V_xc gradient                       :     63.444p                          64192 calls

--------------------------------------------------------------------------------------
V: Grid                             :     89.800u      0.800s     52.914w     23 calls
| build grid                        :     80.150u      0.433s     45.287w     23 calls
| post-process grid                 :      9.600u      0.367s      7.620w     23 calls
DFH: sparsity prep                  :      3.200u      0.000s      3.220w     23 calls
| Libint2ERI::Libint2ERI            :      2.017u      0.000s      2.087w     23 calls
DFH: initialize()                   :    404.300u     10.833s    229.889w     23 calls
| Libint2ERI::Libint2ERI            :      3.300u      0.050s      2.098w     69 calls
| Libint2ErfERI::Libint2ErfERI      :      3.850u      0.083s      2.633w     23 calls
| DFH: AO Construction              :     55.467u      0.917s     30.664w     23 calls
| DFH: AO-Met. Contraction          :    131.567u      0.767s     73.081w     46 calls
| DFH: wAO Construction             :     67.350u      0.417s     36.921w     23 calls
| DFH: wAO Copy                     :      9.000u      0.167s      4.817w     23 calls
HF: Form core H                     :      4.383u      0.150s      3.115w     23 calls
HF: Form S/X                        :      1.017u      0.050s      0.586w     23 calls
HF: Guess                           :     10.633u      0.500s      6.513w     23 calls
| SAD Guess                         :     10.467u      0.500s      6.448w     23 calls
HF: Form G                          :   1787.583u     52.217s    953.186w    368 calls
| RV: Form V                        :   1203.550u     23.467s    638.005w    368 calls
| | Properties                      :    370.714p                         1027072 calls
| | Functional                      :    371.554p                         1027072 calls
| | V_xc                            :    463.109p                         1027072 calls
| JK: D                             :      0.317u      0.000s      0.206w    368 calls
| JK: USO2AO                        :      0.000u      0.000s      0.004w    368 calls
| JK: JK                            :    579.383u     28.417s    310.366w    368 calls
| | DFH: compute_JK()               :    241.450u     10.350s    126.084w    368 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    368 calls
| | | DFH: compute_J                :     21.417u      0.583s     10.972w    368 calls
| | | DFH: compute_K                :    205.183u      2.283s    105.052w    368 calls
| | DFH: compute_wK()               :    337.833u     18.067s    184.171w    368 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    368 calls
HF: Form F                          :      0.883u      0.117s      0.719w    368 calls
