
Host: node74.bme.utexas.edu

Timers On : Tue Jun 14 11:52:02 2022
Timers Off: Tue Jun 14 11:53:16 2022

Wall Time:       74.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      8.917u      0.433s      0.953w     24 calls
Libint2ERI::Libint2ERI              :    236.400u     11.650s     12.963w   1368 calls
DFH: initialize()                   :    145.733u      4.667s      7.629w     24 calls
DFH: AO Construction                :     26.800u      0.483s      1.367w     24 calls
DFH: AO-Met. Contraction            :     33.917u      1.300s      1.766w     24 calls
HF: Form core H                     :      3.917u      0.117s      0.210w     12 calls
HF: Form S/X                        :      1.083u      0.033s      0.055w     12 calls
HF: Guess                           :     29.683u      1.533s      1.571w     12 calls
SAD Guess                           :     29.117u      1.517s      1.542w     12 calls
HF: Form G                          :     97.333u      1.817s      4.963w    231 calls
JK: D                               :      0.367u      0.000s      0.020w    423 calls
JK: USO2AO                          :      0.133u      0.017s      0.004w    423 calls
JK: JK                              :    244.517u      5.400s     12.531w    423 calls
DFH: compute_JK()                   :    244.300u      5.383s     12.510w    423 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.001w    423 calls
DFH: compute_J                      :     29.217u      0.200s      1.478w    423 calls
DFH: compute_K                      :    143.533u      0.350s      7.225w    423 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    423 calls
HF: Form F                          :      0.200u      0.017s      0.018w    231 calls
HF: Form D                          :      0.233u      0.000s      0.014w    231 calls
HF: DIIS                            :     29.650u      1.617s      1.574w    219 calls
HF: Form C                          :     18.300u      0.567s      0.957w    219 calls
DFMP2 Singles                       :      0.100u      0.000s      0.004w     12 calls
DFMP2 Aia                           :     77.800u      3.533s      4.680w     12 calls
DFMP2 (A|mn)                        :     17.667u      0.000s      0.893w     12 calls
DFMP2 (A|mn)C_mi                    :      1.267u      0.000s      0.065w     12 calls
DFMP2 (A|mi)C_na                    :      0.617u      0.000s      0.032w     12 calls
DFMP2 Aia Write                     :      1.317u      0.183s      0.073w     12 calls
DFMP2 iaB                           :     29.617u      1.317s      1.566w     12 calls
DFMP2 Metric                        :     16.317u      0.450s      0.837w     12 calls
DFMP2 Aia Read                      :      0.867u      0.100s      0.052w     12 calls
DFMP2 (ia|A)(A|Q)                   :      2.033u      0.017s      0.103w     12 calls
DFMP2 Bia Write                     :      1.433u      0.200s      0.081w     12 calls
DFMP2 Bia Read                      :      2.050u      0.217s      0.114w     36 calls
DFMP2 (ia|B)(B|Q)                   :      2.017u      0.000s      0.100w     12 calls
DFMP2 Cia Write                     :      1.350u      0.200s      0.079w     12 calls
DFMP2 aiB                           :      5.317u      0.533s      0.301w     12 calls
DFMP2 Tij                           :     48.200u      1.733s      2.512w     12 calls
DFMP2 Cia Read                      :      1.350u      0.183s      0.082w     24 calls
DFMP2 I                             :     22.267u      0.067s      1.122w     24 calls
DFMP2 T2                            :      7.217u      0.000s      0.364w     24 calls
DFMP2 G                             :     11.133u      0.017s      0.560w     12 calls
DFMP2 Pab                           :      5.117u      0.067s      0.262w     12 calls
DFMP2 Gia Write                     :      1.167u      0.150s      0.067w     12 calls
DFMP2 Tab                           :     34.817u      1.517s      1.830w     12 calls
DFMP2 Bai Read                      :      0.667u      0.150s      0.038w     12 calls
DFMP2 Qai Read                      :      0.633u      0.000s      0.033w     12 calls
DFMP2 Pij                           :      5.000u      0.083s      0.258w     12 calls
DFMP2 gamma                         :      6.450u      0.417s      0.351w     12 calls
DFMP2 Gia Read                      :      1.383u      0.233s      0.075w     24 calls
DFMP2 g                             :      2.217u      0.000s      0.113w     12 calls
DFMP2 Gia                           :      7.600u      0.717s      0.425w     12 calls
DFMP2 aiG Write                     :      1.217u      0.233s      0.070w     12 calls
DFMP2 AB^x                          :      3.767u      0.183s      0.206w     12 calls
DFMP2 Amn^x                         :     81.267u      2.800s      4.623w     12 calls
DFMP2 L                             :     71.650u      2.983s      4.582w     12 calls
DFMP2 P                             :      1.667u      0.100s      0.097w     12 calls
DFMP2 W                             :      1.883u      0.067s      0.104w     12 calls
DFMP2 Z                             :    235.750u      6.600s     12.162w     12 calls
DFMP2 grad                          :    242.317u      9.050s     14.337w     12 calls
Grad: V T Perturb                   :      2.433u      0.050s      0.125w     12 calls
Grad: S                             :      0.850u      0.017s      0.044w     12 calls
Grad: JK                            :    235.550u      8.867s     13.977w     12 calls
CorrGrad: Amn                       :     75.233u      3.133s      4.988w     12 calls
CorrGrad: AB                        :     48.333u      1.667s      2.504w     12 calls
