
Host: node165.bme.utexas.edu

Timers On : Fri Nov 17 17:45:24 2023
Timers Off: Fri Nov 17 17:45:37 2023

Wall Time:       13.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.033u      0.083s      0.091w      4 calls
Libint2ERI::Libint2ERI              :     41.800u      1.333s      0.669w    930 calls
DFH: initialize()                   :     33.383u      1.567s      0.547w      4 calls
DFH: AO Construction                :      5.167u      0.133s      0.078w      4 calls
DFH: AO-Met. Contraction            :      2.850u      0.067s      0.043w      4 calls
HF: Form core H                     :     74.900u      2.067s      1.096w      2 calls
HF: Form S/X                        :      2.433u      0.067s      0.035w      2 calls
HF: Guess                           :     54.667u      2.067s      0.820w      2 calls
SAD Guess                           :     53.467u      2.033s      0.802w      2 calls
HF: Form G                          :     25.550u      0.750s      0.382w     26 calls
JK: D                               :      0.000u      0.000s      0.001w     48 calls
JK: USO2AO                          :      7.450u      0.200s      0.109w     48 calls
JK: JK                              :     40.083u      1.183s      0.594w     48 calls
DFH: compute_JK()                   :     40.033u      1.183s      0.593w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :     18.250u      0.467s      0.268w     48 calls
DFH: compute_K                      :     11.750u      0.333s      0.175w     48 calls
JK: AO2USO                          :      4.517u      0.083s      0.065w     48 calls
HF: Form F                          :      3.917u      0.100s      0.059w     26 calls
HF: Form D                          :      0.033u      0.000s      0.000w     26 calls
HF: DIIS                            :     35.700u      0.967s      0.610w     24 calls
HF: Form C                          :      0.567u      0.017s      0.010w     24 calls
DFMP2 Singles                       :      0.017u      0.000s      0.000w      2 calls
DFMP2 Aia                           :     14.983u      0.517s      0.222w      2 calls
DFMP2 (A|mn)                        :      1.217u      0.050s      0.019w      2 calls
DFMP2 (A|mn)C_mi                    :      0.617u      0.017s      0.009w      2 calls
DFMP2 (A|mi)C_na                    :      0.367u      0.000s      0.005w      2 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.000w      2 calls
DFMP2 iaB                           :      2.933u      0.100s      0.047w      2 calls
DFMP2 Metric                        :      2.417u      0.067s      0.039w      2 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.000w      2 calls
DFMP2 (ia|A)(A|Q)                   :      0.033u      0.017s      0.000w      2 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.000w      2 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.000w      6 calls
DFMP2 (ia|B)(B|Q)                   :      0.000u      0.000s      0.000w      2 calls
DFMP2 Cia Write                     :      0.000u      0.000s      0.000w      2 calls
DFMP2 aiB                           :      0.233u      0.000s      0.003w      2 calls
DFMP2 Tij                           :      1.700u      0.033s      0.026w      2 calls
DFMP2 Cia Read                      :      0.000u      0.000s      0.000w      4 calls
DFMP2 I                             :      0.900u      0.033s      0.014w      4 calls
DFMP2 T2                            :      1.767u      0.050s      0.027w      4 calls
DFMP2 G                             :      0.000u      0.000s      0.000w      2 calls
DFMP2 Pab                           :      0.017u      0.000s      0.000w      2 calls
DFMP2 Gia Write                     :      0.017u      0.000s      0.000w      2 calls
DFMP2 Tab                           :      5.733u      0.183s      0.087w      2 calls
DFMP2 Bai Read                      :      0.000u      0.000s      0.000w      2 calls
DFMP2 Qai Read                      :      0.000u      0.000s      0.000w      2 calls
DFMP2 Pij                           :      0.000u      0.000s      0.000w      2 calls
DFMP2 gamma                         :      0.483u      0.017s      0.007w      2 calls
DFMP2 Gia Read                      :      0.000u      0.000s      0.000w      4 calls
DFMP2 g                             :      0.267u      0.000s      0.004w      2 calls
DFMP2 Gia                           :      0.250u      0.017s      0.004w      2 calls
DFMP2 aiG Write                     :      0.017u      0.000s      0.000w      2 calls
DFMP2 AB^x                          :      1.117u      0.067s      0.027w      2 calls
DFMP2 Amn^x                         :      9.167u      0.367s      0.141w      2 calls
DFMP2 L                             :      9.717u      0.283s      0.149w      2 calls
DFMP2 P                             :      0.267u      0.000s      0.004w      2 calls
DFMP2 W                             :      0.200u      0.000s      0.003w      2 calls
DFMP2 Z                             :     46.400u      1.417s      0.684w      2 calls
DFMP2 grad                          :    161.667u      4.550s      2.349w      2 calls
Grad: V T Perturb                   :     91.967u      2.617s      1.340w      2 calls
Grad: S                             :     31.183u      0.817s      0.451w      2 calls
Grad: JK                            :     38.067u      1.100s      0.552w      2 calls
CorrGrad: Amn                       :      9.383u      0.283s      0.139w      2 calls
CorrGrad: AB                        :     16.333u      0.417s      0.234w      2 calls
CorrGrad: UV                        :      1.850u      0.083s      0.027w      2 calls
CorrGrad: ABx                       :      0.983u      0.017s      0.014w      2 calls
CorrGrad: Amnx                      :      8.733u      0.250s      0.126w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      2.683u      0.067s      0.086w      2 calls
| Libint2ERI::Libint2ERI            :      1.883u      0.050s      0.072w      2 calls
DFH: initialize()                   :     14.650u      0.917s      0.266w      2 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.017s      0.007w    104 calls
| DFH: AO Construction              :      1.300u      0.033s      0.020w      2 calls
| DFH: AO-Met. Contraction          :      0.033u      0.000s      0.001w      2 calls
HF: Form core H                     :     74.900u      2.067s      1.096w      2 calls
HF: Form S/X                        :      2.433u      0.067s      0.035w      2 calls
HF: Guess                           :     54.667u      2.067s      0.820w      2 calls
