
Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 10:03:03 2022
Timers Off: Wed Jun  8 10:04:00 2022

Wall Time:       56.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.100u      0.000s      0.064w      1 calls
Libint2ERI::Libint2ERI              :      1.750u      0.083s      0.577w     27 calls
DFH: initialize()                   :     27.200u      0.817s      1.443w      1 calls
DFH: AO Construction                :      4.600u      0.050s      0.234w      1 calls
DFH: AO-Met. Contraction            :      4.450u      0.133s      0.230w      1 calls
HF: Form core H                     :      0.483u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.003w      1 calls
HF: Guess                           :      1.833u      0.133s      0.099w      1 calls
SAD Guess                           :      1.783u      0.133s      0.096w      1 calls
HF: Form G                          :     17.367u      0.800s      0.911w     11 calls
JK: D                               :      0.017u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     17.317u      0.800s      0.908w     11 calls
DFH: compute_JK()                   :     17.317u      0.800s      0.908w     11 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     11 calls
DFH: compute_J                      :      1.367u      0.017s      0.071w     11 calls
DFH: compute_K                      :      9.000u      0.033s      0.451w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.017u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.483u      0.033s      0.027w     10 calls
DIISManager::add_entry              :      0.133u      0.000s      0.008w     10 calls
DIISManager::extrapolate            :      0.083u      0.033s      0.007w     10 calls
bMatrix setup                       :      0.017u      0.033s      0.003w     10 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.001w     10 calls
New vector                          :      0.033u      0.000s      0.002w     10 calls
HF: Form C                          :      0.617u      0.017s      0.031w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.100u      0.000s      0.064w      1 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.042w      1 calls
DFH: initialize()                   :     27.200u      0.817s      1.443w      1 calls
| Libint2ERI::Libint2ERI            :      0.867u      0.083s      0.054w     13 calls
| DFH: AO Construction              :      4.600u      0.050s      0.234w      1 calls
| DFH: AO-Met. Contraction          :      4.450u      0.133s      0.230w      1 calls
HF: Form core H                     :      0.483u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.067u      0.000s      0.003w      1 calls
HF: Guess                           :      1.833u      0.133s      0.099w      1 calls
| SAD Guess                         :      1.783u      0.133s      0.096w      1 calls
HF: Form G                          :     17.367u      0.800s      0.911w     11 calls
| JK: D                             :      0.017u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
| JK: JK                            :     17.317u      0.800s      0.908w     11 calls
| | DFH: compute_JK()               :     17.317u      0.800s      0.908w     11 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     11 calls
| | | DFH: compute_J                :      1.367u      0.017s      0.071w     11 calls
| | | DFH: compute_K                :      9.000u      0.033s      0.451w     11 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.000u      0.000s      0.001w     11 calls
HF: Form D                          :      0.017u      0.000s      0.001w     11 calls
HF: DIIS                            :      0.483u      0.033s      0.027w     10 calls
| DIISManager::add_entry            :      0.133u      0.000s      0.008w     10 calls
| DIISManager::extrapolate          :      0.083u      0.033s      0.007w     10 calls
| | bMatrix setup                   :      0.017u      0.033s      0.003w     10 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.001w     10 calls
| | New vector                      :      0.033u      0.000s      0.002w     10 calls
HF: Form C                          :      0.617u      0.017s      0.031w     10 calls
Libint2ERI::Libint2ERI              :      0.817u      0.000s      0.481w     13 calls

**************************************************************************************

Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 10:04:54 2022
Timers Off: Wed Jun  8 11:07:40 2022

Wall Time:     3766.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :     14.267u      0.383s      6.184w     28 calls
Libint2ERI::Libint2ERI              :     61.167u      2.333s     20.798w    364 calls
