
Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 16:44:32 2022
Timers Off: Wed Jun  8 17:27:47 2022

Wall Time:     2594.73 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    268.717u      0.950s     83.844w     12 calls
DFH: sparsity prep                  :      5.133u      0.033s      3.090w     12 calls
Libint2ERI::Libint2ERI              :     29.083u      0.767s     11.853w    144 calls
DFH: initialize()                   :   1410.933u     38.050s    445.574w     12 calls
Libint2ErfERI::Libint2ErfERI        :     25.167u      0.267s     12.971w     60 calls
DFH: AO Construction                :    162.917u      3.283s     50.000w     24 calls
DFH: AO-Met. Contraction            :    685.667u      9.117s    209.478w     48 calls
DFH: wAO Construction               :    194.233u      0.800s     58.691w     24 calls
DFH: wAO Copy                       :     33.383u      2.050s     10.802w     24 calls
HF: Form core H                     :     12.500u      0.083s      3.813w     12 calls
HF: Form S/X                        :      1.233u      0.033s      0.382w     12 calls
HF: Guess                           :      0.317u      0.017s      0.101w     12 calls
SAD Guess                           :      0.267u      0.017s      0.082w      1 calls
HF: Form G                          :   3627.783u    168.150s   1159.314w    150 calls
RV: Form V                          :   1793.783u     22.233s    546.582w    150 calls
Properties                          :    589.003p                         856684 calls
Functional                          :    173.837p                         856684 calls
V_xc                                :    431.371p                         793257 calls
JK: D                               :      0.117u      0.017s      0.073w    150 calls
JK: USO2AO                          :      0.200u      0.017s      0.049w    150 calls
JK: JK                              :   1833.350u    145.867s    612.499w    150 calls
DFH: compute_JK()                   :    770.900u     52.867s    249.157w    150 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    150 calls
DFH: compute_J                      :     46.217u     12.150s     17.739w    150 calls
DFH: compute_K                      :    658.017u      1.850s    198.399w    150 calls
DFH: compute_wK()                   :   1062.283u     93.000s    363.305w    150 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    150 calls
HF: Form F                          :      0.050u      0.017s      0.047w    150 calls
HF: Form D                          :      0.100u      0.000s      0.066w    150 calls
HF: DIIS                            :      5.750u      0.833s      1.992w    149 calls
DIISManager::add_entry              :      0.433u      0.183s      0.176w    138 calls
DIISManager::extrapolate            :      1.400u      0.567s      0.597w    138 calls
bMatrix setup                       :      0.750u      0.283s      0.320w    138 calls
bMatrix pseudoinverse               :      0.033u      0.000s      0.012w    138 calls
New vector                          :      0.617u      0.283s      0.263w    138 calls
HF: Form C                          :     15.533u      0.317s      4.756w    149 calls
Grad: V T Perturb                   :     55.433u      0.100s     16.704w     12 calls
Grad: S                             :      0.383u      0.017s      0.120w     12 calls
Grad: JK                            :   2362.617u     54.300s    755.496w     12 calls
JKGrad: Amn                         :    283.017u      8.983s     94.087w     12 calls
JKGrad: Awmn                        :    301.500u     10.717s    101.093w     12 calls
JKGrad: AB                          :    235.033u      4.167s     71.985w     12 calls
JKGrad: UV                          :     84.417u      3.283s     26.352w     12 calls
JKGrad: ABx                         :     13.633u      0.633s      4.313w     12 calls
JKGrad: Amnx                        :   1444.100u     26.050s    457.105w     12 calls
Grad: XC                            :    289.283u      0.917s     87.312w     12 calls
V_xc gradient                       :     68.889p                          63427 calls

--------------------------------------------------------------------------------------
V: Grid                             :    268.717u      0.950s     83.844w     12 calls
DFH: sparsity prep                  :      5.133u      0.033s      3.090w     12 calls
| Libint2ERI::Libint2ERI            :      3.350u      0.033s      2.029w     12 calls
DFH: initialize()                   :   1410.933u     38.050s    445.574w     12 calls
| Libint2ERI::Libint2ERI            :      6.333u      0.217s      1.982w     36 calls
| Libint2ErfERI::Libint2ErfERI      :      4.650u      0.017s      2.600w     12 calls
| DFH: AO Construction              :    162.917u      3.283s     50.000w     24 calls
| DFH: AO-Met. Contraction          :    685.667u      9.117s    209.478w     48 calls
| DFH: wAO Construction             :    194.233u      0.800s     58.691w     24 calls
| DFH: wAO Copy                     :     33.383u      2.050s     10.802w     24 calls
HF: Form core H                     :     12.500u      0.083s      3.813w     12 calls
HF: Form S/X                        :      1.233u      0.033s      0.382w     12 calls
HF: Guess                           :      0.317u      0.017s      0.101w     12 calls
| SAD Guess                         :      0.267u      0.017s      0.082w      1 calls
HF: Form G                          :   3627.783u    168.150s   1159.314w    150 calls
| RV: Form V                        :   1793.783u     22.233s    546.582w    150 calls
| | Properties                      :    496.758p                         793257 calls
| | Functional                      :    160.906p                         793257 calls
| | V_xc                            :    431.371p                         793257 calls
| JK: D                             :      0.117u      0.017s      0.073w    150 calls
| JK: USO2AO                        :      0.200u      0.017s      0.049w    150 calls
| JK: JK                            :   1833.350u    145.867s    612.499w    150 calls
| | DFH: compute_JK()               :    770.900u     52.867s    249.157w    150 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    150 calls
| | | DFH: compute_J                :     46.217u     12.150s     17.739w    150 calls
| | | DFH: compute_K                :    658.017u      1.850s    198.399w    150 calls
| | DFH: compute_wK()               :   1062.283u     93.000s    363.305w    150 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    150 calls
HF: Form F                          :      0.050u      0.017s      0.047w    150 calls
HF: Form D                          :      0.100u      0.000s      0.066w    150 calls
HF: DIIS                            :      5.750u      0.833s      1.992w    149 calls
| DIISManager::add_entry            :      0.433u      0.183s      0.176w    138 calls
| DIISManager::extrapolate          :      1.400u      0.567s      0.597w    138 calls
| | bMatrix setup                   :      0.750u      0.283s      0.320w    138 calls
| | bMatrix pseudoinverse           :      0.033u      0.000s      0.012w    138 calls
| | New vector                      :      0.617u      0.283s      0.263w    138 calls
HF: Form C                          :     15.533u      0.317s      4.756w    149 calls
