
Host: node44.bme.utexas.edu

Timers On : Thu Nov  4 14:07:25 2021
Timers Off: Thu Nov  4 14:08:04 2021

Wall Time:       38.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.046w      1 calls
DFH: initialize()                   :     17.717u      0.617s      1.070w      1 calls
DFH: AO Construction                :      5.533u      0.000s      0.277w      1 calls
DFH: AO-Met. Contraction            :      1.450u      0.050s      0.074w      1 calls
HF: Form core H                     :      0.833u      0.067s      0.049w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.002w      1 calls
HF: Guess                           :     18.767u      1.233s      1.172w      1 calls
SAD Guess                           :     18.517u      1.217s      1.159w      1 calls
HF: Form G                          :      3.517u      0.067s      0.180w     10 calls
JK: D                               :      0.000u      0.000s      0.000w     10 calls
JK: USO2AO                          :      0.033u      0.000s      0.000w     10 calls
JK: JK                              :      3.483u      0.067s      0.178w     10 calls
DFH: compute_JK()                   :      3.483u      0.067s      0.178w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.400u      0.017s      0.020w     10 calls
DFH: compute_K                      :      3.067u      0.050s      0.156w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.267u      0.033s      0.014w      9 calls
DIISManager::add_entry              :      0.067u      0.017s      0.004w      9 calls
DIISManager::extrapolate            :      0.067u      0.000s      0.004w      9 calls
bMatrix setup                       :      0.033u      0.000s      0.002w      9 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w      9 calls
New vector                          :      0.033u      0.000s      0.001w      9 calls
HF: Form C                          :      0.283u      0.033s      0.015w      9 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.046w      1 calls
DFH: initialize()                   :     17.717u      0.617s      1.070w      1 calls
| DFH: AO Construction              :      5.533u      0.000s      0.277w      1 calls
| DFH: AO-Met. Contraction          :      1.450u      0.050s      0.074w      1 calls
HF: Form core H                     :      0.833u      0.067s      0.049w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.002w      1 calls
HF: Guess                           :     18.767u      1.233s      1.172w      1 calls
| SAD Guess                         :     18.517u      1.217s      1.159w      1 calls
HF: Form G                          :      3.517u      0.067s      0.180w     10 calls
| JK: D                             :      0.000u      0.000s      0.000w     10 calls
| JK: USO2AO                        :      0.033u      0.000s      0.000w     10 calls
| JK: JK                            :      3.483u      0.067s      0.178w     10 calls
| | DFH: compute_JK()               :      3.483u      0.067s      0.178w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.400u      0.017s      0.020w     10 calls
| | | DFH: compute_K                :      3.067u      0.050s      0.156w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.000u      0.000s      0.001w     10 calls
HF: Form D                          :      0.000u      0.000s      0.000w     10 calls
HF: DIIS                            :      0.267u      0.033s      0.014w      9 calls
| DIISManager::add_entry            :      0.067u      0.017s      0.004w      9 calls
| DIISManager::extrapolate          :      0.067u      0.000s      0.004w      9 calls
| | bMatrix setup                   :      0.033u      0.000s      0.002w      9 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w      9 calls
| | New vector                      :      0.033u      0.000s      0.001w      9 calls
HF: Form C                          :      0.283u      0.033s      0.015w      9 calls

**************************************************************************************

Host: node44.bme.utexas.edu

Timers On : Tue Nov  9 09:53:17 2021
Timers Off: Tue Nov  9 09:53:46 2021

Wall Time:       29.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.037w      1 calls
DFH: initialize()                   :     12.183u      0.550s      0.794w      1 calls
DFH: AO Construction                :      2.167u      0.017s      0.109w      1 calls
DFH: AO-Met. Contraction            :      0.767u      0.050s      0.041w      1 calls
HF: Form core H                     :      0.433u      0.017s      0.025w      1 calls
