
Host: node44.bme.utexas.edu

Timers On : Thu Nov  4 14:13:05 2021
Timers Off: Thu Nov  4 14:13:09 2021

Wall Time:        4.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
DFH: initialize()                   :      3.883u      0.350s      0.328w      1 calls
DFH: AO Construction                :      0.017u      0.000s      0.001w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.667u      0.050s      0.039w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :     14.317u      0.917s      0.872w      1 calls
SAD Guess                           :     14.050u      0.900s      0.859w      1 calls
HF: Form G                          :      0.000u      0.033s      0.003w      9 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.000u      0.017s      0.002w      9 calls
DFH: compute_JK()                   :      0.000u      0.017s      0.002w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.017s      0.000w      9 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      9 calls
DFH: compute_K                      :      0.000u      0.000s      0.001w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.033u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.083u      0.000s      0.007w      8 calls
DIISManager::add_entry              :      0.033u      0.000s      0.002w      8 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      8 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      8 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.000w      8 calls
New vector                          :      0.000u      0.000s      0.000w      8 calls
HF: Form C                          :      0.017u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.050u      0.000s      0.030w      1 calls
DFH: initialize()                   :      3.883u      0.350s      0.328w      1 calls
| DFH: AO Construction              :      0.017u      0.000s      0.001w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.667u      0.050s      0.039w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :     14.317u      0.917s      0.872w      1 calls
| SAD Guess                         :     14.050u      0.900s      0.859w      1 calls
HF: Form G                          :      0.000u      0.033s      0.003w      9 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.000u      0.017s      0.002w      9 calls
| | DFH: compute_JK()               :      0.000u      0.017s      0.002w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.017s      0.000w      9 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.001w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.033u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.083u      0.000s      0.007w      8 calls
| DIISManager::add_entry            :      0.033u      0.000s      0.002w      8 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      8 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      8 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      8 calls
| | New vector                      :      0.000u      0.000s      0.000w      8 calls
HF: Form C                          :      0.017u      0.000s      0.000w      8 calls

**************************************************************************************

Host: node44.bme.utexas.edu

Timers On : Thu Nov  4 21:24:27 2021
Timers Off: Thu Nov  4 21:24:45 2021

Wall Time:       17.84 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.967u      0.000s      0.587w     14 calls
DFH: initialize()                   :      3.000u      0.017s      1.828w     14 calls
DFH: AO Construction                :      0.300u      0.000s      0.183w     14 calls
DFH: AO-Met. Contraction            :      0.117u      0.000s      0.081w     14 calls
HF: Form core H                     :      0.017u      0.017s      0.330w      7 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      7 calls
HF: Guess                           :      0.800u      0.000s      0.481w      7 calls
SAD Guess                           :      0.750u      0.000s      0.454w      1 calls
HF: Form G                          :      0.100u      0.000s      0.073w     67 calls
JK: D                               :      0.000u      0.000s      0.002w    151 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w    151 calls
JK: JK                              :      0.333u      0.000s      0.195w    151 calls
DFH: compute_JK()                   :      0.333u      0.000s      0.194w    151 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    151 calls
DFH: compute_J                      :      0.067u      0.000s      0.034w    151 calls
DFH: compute_K                      :      0.267u      0.000s      0.157w    151 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    151 calls
HF: Form F                          :      0.000u      0.000s      0.001w     67 calls
HF: Form D                          :      0.017u      0.000s      0.001w     67 calls
HF: DIIS                            :      0.117u      0.000s      0.121w     66 calls
DIISManager::add_entry              :      0.017u      0.000s      0.069w     60 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.012w     60 calls
bMatrix setup                       :      0.000u      0.000s      0.005w     60 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.003w     60 calls
New vector                          :      0.000u      0.000s      0.003w     60 calls
HF: Form C                          :      0.033u      0.017s      0.021w     66 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      7 calls
DFMP2 Aia                           :      1.017u      0.000s      0.786w      7 calls
DFMP2 (A|mn)                        :      0.150u      0.000s      0.087w      7 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.002w      7 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.002w      7 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.001w      7 calls
DFMP2 iaQ                           :      0.700u      0.017s      0.585w      7 calls
DFMP2 Metric                        :      0.650u      0.000s      0.392w      7 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.003w      7 calls
DFMP2 (Q|A)(A|ia)                   :      0.017u      0.000s      0.007w     14 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.001w      7 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.001w     21 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.001w      7 calls
DFMP2 aiQ                           :      0.000u      0.000s      0.106w      7 calls
DFMP2 Tij                           :      0.033u      0.017s      0.118w      7 calls
DFMP2 Cia Read                      :      0.000u      0.000s      0.001w     14 calls
DFMP2 I                             :      0.000u      0.000s      0.012w     14 calls
DFMP2 T2                            :      0.000u      0.000s      0.005w     14 calls
DFMP2 G                             :      0.017u      0.000s      0.006w      7 calls
DFMP2 Pab                           :      0.017u      0.000s      0.002w      7 calls
DFMP2 Gia Write                     :      0.000u      0.000s      0.001w      7 calls
DFMP2 Tab                           :      0.017u      0.000s      0.131w      7 calls
DFMP2 Qai Read                      :      0.000u      0.000s      0.001w     14 calls
DFMP2 Pij                           :      0.000u      0.000s      0.001w      7 calls
DFMP2 gamma                         :      0.000u      0.000s      0.144w      7 calls
DFMP2 Gia Read                      :      0.000u      0.000s      0.001w     14 calls
DFMP2 g                             :      0.000u      0.000s      0.005w      7 calls
DFMP2 Gia                           :      0.000u      0.067s      0.183w      7 calls
DFMP2 aiG Write                     :      0.000u      0.017s      0.006w      7 calls
DFMP2 AB^x                          :      0.650u      0.000s      0.524w      7 calls
DFMP2 Amn^x                         :      1.650u      0.000s      1.090w      7 calls
DFMP2 L                             :      1.017u      0.017s      0.741w      7 calls
DFMP2 P                             :      0.000u      0.000s      0.126w      7 calls
DFMP2 W                             :      0.000u      0.017s      0.098w      7 calls
DFMP2 Z                             :      2.300u      0.000s      1.516w      7 calls
DFMP2 grad                          :      4.000u      0.233s      2.986w      7 calls
Grad: V T Perturb                   :      0.233u      0.117s      0.190w      7 calls
Grad: S                             :      0.000u      0.000s      0.002w      7 calls
Grad: JK                            :      3.567u      0.083s      2.562w      7 calls
CorrGrad: Amn                       :      0.617u      0.033s      0.409w      7 calls
CorrGrad: AB                        :      0.733u      0.017s      0.454w      7 calls
CorrGrad: UV                        :      0.017u      0.017s      0.013w      7 calls
CorrGrad: ABx                       :      0.500u      0.000s      0.292w      7 calls
CorrGrad: Amnx                      :      1.233u      0.017s      0.742w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.467u      0.000s      0.278w      7 calls
DFH: initialize()                   :      1.667u      0.017s      1.014w      7 calls
| DFH: AO Construction              :      0.133u      0.000s      0.092w      7 calls
| DFH: AO-Met. Contraction          :      0.083u      0.000s      0.044w      7 calls
HF: Form core H                     :      0.017u      0.017s      0.330w      7 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      7 calls
HF: Guess                           :      0.800u      0.000s      0.481w      7 calls
| SAD Guess                         :      0.750u      0.000s      0.454w      1 calls
HF: Form G                          :      0.100u      0.000s      0.073w     67 calls
| JK: D                             :      0.000u      0.000s      0.001w     67 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     67 calls
| JK: JK                            :      0.100u      0.000s      0.068w     67 calls
