
Host: node74.bme.utexas.edu

Timers On : Wed Jun  8 11:10:54 2022
Timers Off: Wed Jun  8 11:19:30 2022

Wall Time:      516.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     63.900u      0.700s     19.614w     10 calls
DFH: sparsity prep                  :      1.433u      0.017s      0.854w     10 calls
Libint2ERI::Libint2ERI              :      9.550u      0.350s      3.266w    120 calls
DFH: initialize()                   :    218.000u      7.800s     69.117w     10 calls
Libint2ErfERI::Libint2ErfERI        :     10.417u      0.350s      3.489w     50 calls
DFH: AO Construction                :     32.750u      0.817s     10.113w     10 calls
DFH: AO-Met. Contraction            :     78.867u      0.583s     23.917w     20 calls
DFH: wAO Construction               :     39.433u      0.150s     11.906w     10 calls
DFH: wAO Copy                       :      6.700u      0.683s      2.339w     10 calls
HF: Form core H                     :      2.300u      0.017s      0.722w     10 calls
HF: Form S/X                        :      0.267u      0.033s      0.083w     10 calls
HF: Guess                           :      0.267u      0.017s      0.091w     10 calls
SAD Guess                           :      0.267u      0.017s      0.086w      1 calls
HF: Form G                          :    733.250u     36.100s    231.709w    123 calls
RV: Form V                          :    529.467u     13.067s    163.356w    123 calls
Properties                          :    146.779p                         451276 calls
Functional                          :     95.388p                         451276 calls
V_xc                                :    129.576p                         417343 calls
JK: D                               :      0.050u      0.000s      0.016w    123 calls
JK: USO2AO                          :      0.017u      0.000s      0.013w    123 calls
JK: JK                              :    203.617u     23.033s     68.286w    123 calls
DFH: compute_JK()                   :     83.350u      7.200s     27.322w    123 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    123 calls
DFH: compute_J                      :      8.917u      1.133s      3.033w    123 calls
DFH: compute_K                      :     63.517u      0.217s     19.166w    123 calls
DFH: compute_wK()                   :    120.250u     15.833s     40.956w    123 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    123 calls
HF: Form F                          :      0.067u      0.000s      0.014w    123 calls
HF: Form D                          :      0.017u      0.000s      0.014w    123 calls
HF: DIIS                            :      1.567u      0.200s      0.553w    122 calls
DIISManager::add_entry              :      0.250u      0.033s      0.086w    113 calls
DIISManager::extrapolate            :      0.433u      0.150s      0.169w    113 calls
bMatrix setup                       :      0.233u      0.117s      0.089w    113 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.010w    113 calls
New vector                          :      0.167u      0.033s      0.069w    113 calls
HF: Form C                          :      2.950u      0.083s      0.911w    122 calls
Grad: V T Perturb                   :      9.550u      0.017s      2.878w     10 calls
Grad: S                             :      0.133u      0.000s      0.034w     10 calls
Grad: JK                            :    427.800u     11.200s    135.788w     10 calls
JKGrad: Amn                         :     52.850u      2.567s     17.271w     10 calls
JKGrad: Awmn                        :     57.983u      2.067s     18.825w     10 calls
JKGrad: AB                          :     33.000u      0.817s     10.179w     10 calls
JKGrad: UV                          :      7.667u      0.500s      2.475w     10 calls
JKGrad: ABx                         :      3.950u      0.150s      1.208w     10 calls
JKGrad: Amnx                        :    271.867u      4.967s     85.522w     10 calls
Grad: XC                            :    120.033u      0.567s     36.308w     10 calls
V_xc gradient                       :     25.098p                          33933 calls

--------------------------------------------------------------------------------------
V: Grid                             :     63.900u      0.700s     19.614w     10 calls
DFH: sparsity prep                  :      1.433u      0.017s      0.854w     10 calls
| Libint2ERI::Libint2ERI            :      0.900u      0.017s      0.564w     10 calls
DFH: initialize()                   :    218.000u      7.800s     69.117w     10 calls
| Libint2ERI::Libint2ERI            :      1.733u      0.067s      0.537w     30 calls
| Libint2ErfERI::Libint2ErfERI      :      2.250u      0.083s      0.696w     10 calls
| DFH: AO Construction              :     32.750u      0.817s     10.113w     10 calls
| DFH: AO-Met. Contraction          :     78.867u      0.583s     23.917w     20 calls
| DFH: wAO Construction             :     39.433u      0.150s     11.906w     10 calls
| DFH: wAO Copy                     :      6.700u      0.683s      2.339w     10 calls
HF: Form core H                     :      2.300u      0.017s      0.722w     10 calls
HF: Form S/X                        :      0.267u      0.033s      0.083w     10 calls
HF: Guess                           :      0.267u      0.017s      0.091w     10 calls
| SAD Guess                         :      0.267u      0.017s      0.086w      1 calls
HF: Form G                          :    733.250u     36.100s    231.709w    123 calls
| RV: Form V                        :    529.467u     13.067s    163.356w    123 calls
| | Properties                      :    106.993p                         417343 calls
| | Functional                      :     87.998p                         417343 calls
| | V_xc                            :    129.576p                         417343 calls
| JK: D                             :      0.050u      0.000s      0.016w    123 calls
| JK: USO2AO                        :      0.017u      0.000s      0.013w    123 calls
| JK: JK                            :    203.617u     23.033s     68.286w    123 calls
| | DFH: compute_JK()               :     83.350u      7.200s     27.322w    123 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    123 calls
| | | DFH: compute_J                :      8.917u      1.133s      3.033w    123 calls
