
Host: node44.bme.utexas.edu

Timers On : Fri Nov  5 07:18:25 2021
Timers Off: Fri Nov  5 08:35:59 2021

Wall Time:     4654.47 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :    151.850u      0.433s     91.362w      7 calls
JK: (A|mn)                          :    412.317u      1.600s    248.373w      7 calls
JK: (A|Q)^-1/2                      :     82.150u      0.550s     49.605w      7 calls
JK: (Q|mn)                          :    170.500u      2.683s    103.932w      7 calls
JK: (A|mn)^L                        :    123.800u      0.433s     74.548w      7 calls
JK: (A|Q)^-1                        :     84.817u      0.600s     51.272w      7 calls
JK: (Q|mn)^L                        :    170.717u      2.917s    104.212w      7 calls
JK: (A|mn)^R                        :    148.483u      0.950s     89.659w      7 calls
HF: Form core H                     :      0.033u      0.050s      0.266w      7 calls
HF: Form S/X                        :      0.467u      0.033s      0.291w      7 calls
HF: Guess                           :      0.783u      0.017s      0.483w      7 calls
SAD Guess                           :      0.767u      0.000s      0.458w      1 calls
HF: Form G                          :   3273.083u    117.500s   2034.688w     86 calls
RV: Form V                          :    972.083u     42.733s    608.956w     86 calls
Properties                          :    422.450u     28.783s    270.644w 532253 calls
Functional                          :    234.250u      8.500s    146.208w 532253 calls
V_xc                                :    399.000u      5.733s    244.759w 492188 calls
JK: D                               :      0.133u      0.000s      0.072w     86 calls
JK: USO2AO                          :      0.017u      0.000s      0.037w     86 calls
JK: JK                              :   2300.683u     74.733s   1425.523w     86 calls
JK: J                               :     17.950u      5.700s     14.078w     86 calls
JK: J1                              :     10.483u      5.683s      9.659w     86 calls
JK: J2                              :      7.400u      0.000s      4.372w     86 calls
JK: K                               :    854.167u      3.333s    514.767w     86 calls
JK: K1                              :    658.083u      2.683s    396.646w     86 calls
JK: K2                              :    196.067u      0.650s    118.107w     86 calls
JK: wK                              :   1407.217u     19.000s    855.906w    258 calls
JK: wK1                             :   1208.033u     16.917s    735.069w    516 calls
JK: wK2                             :    199.167u      2.083s    120.806w    258 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     86 calls
HF: Form F                          :      0.050u      0.000s      0.040w     86 calls
HF: Form D                          :      0.150u      0.000s      0.063w     86 calls
HF: DIIS                            :      2.150u      0.350s      1.492w     85 calls
DIISManager::add_entry              :      0.050u      0.050s      0.139w     79 calls
DIISManager::extrapolate            :      0.333u      0.183s      0.244w     79 calls
bMatrix setup                       :      0.083u      0.117s      0.111w     79 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.007w     79 calls
New vector                          :      0.200u      0.067s      0.124w     79 calls
HF: Form C                          :      4.933u      0.033s      3.145w     85 calls
Grad: V T Perturb                   :     32.000u      0.033s     19.208w      7 calls
Grad: S                             :      0.233u      0.000s      0.139w      7 calls
Grad: JK                            :   2659.900u     37.617s   1619.025w      7 calls
JKGrad: Amn                         :    242.000u      5.583s    148.568w      7 calls
JKGrad: Awmn                        :    291.300u      5.433s    178.067w      7 calls
JKGrad: AB                          :    129.167u      2.267s     78.863w      7 calls
JKGrad: UV                          :     47.417u      1.667s     29.458w      7 calls
JKGrad: ABx                         :     11.883u      0.233s      7.277w      7 calls
JKGrad: Amnx                        :   1936.067u     21.933s   1174.852w      7 calls
Grad: XC                            :    165.350u      1.000s     99.827w      7 calls
V_xc gradient                       :     71.717u      0.350s     42.287w  40065 calls

--------------------------------------------------------------------------------------
V: Grid                             :    151.850u      0.433s     91.362w      7 calls
JK: (A|mn)                          :    412.317u      1.600s    248.373w      7 calls
JK: (A|Q)^-1/2                      :     82.150u      0.550s     49.605w      7 calls
JK: (Q|mn)                          :    170.500u      2.683s    103.932w      7 calls
JK: (A|mn)^L                        :    123.800u      0.433s     74.548w      7 calls
JK: (A|Q)^-1                        :     84.817u      0.600s     51.272w      7 calls
JK: (Q|mn)^L                        :    170.717u      2.917s    104.212w      7 calls
JK: (A|mn)^R                        :    148.483u      0.950s     89.659w      7 calls
HF: Form core H                     :      0.033u      0.050s      0.266w      7 calls
HF: Form S/X                        :      0.467u      0.033s      0.291w      7 calls
HF: Guess                           :      0.783u      0.017s      0.483w      7 calls
| SAD Guess                         :      0.767u      0.000s      0.458w      1 calls
HF: Form G                          :   3273.083u    117.500s   2034.688w     86 calls
| RV: Form V                        :    972.083u     42.733s    608.956w     86 calls
| | Properties                      :    346.950u     28.317s    224.573w 492188 calls
| | Functional                      :    216.650u      8.333s    135.145w 492188 calls
| | V_xc                            :    399.000u      5.733s    244.759w 492188 calls
| JK: D                             :      0.133u      0.000s      0.072w     86 calls
| JK: USO2AO                        :      0.017u      0.000s      0.037w     86 calls
| JK: JK                            :   2300.683u     74.733s   1425.523w     86 calls
| | JK: J                           :     17.950u      5.700s     14.078w     86 calls
| | | JK: J1                        :     10.483u      5.683s      9.659w     86 calls
| | | JK: J2                        :      7.400u      0.000s      4.372w     86 calls
| | JK: K                           :    854.167u      3.333s    514.767w     86 calls
| | | JK: K1                        :    658.083u      2.683s    396.646w     86 calls
| | | JK: K2                        :    196.067u      0.650s    118.107w     86 calls
| | JK: wK                          :   1407.217u     19.000s    855.906w    258 calls
| | | JK: wK1                       :   1208.033u     16.917s    735.069w    516 calls
| | | JK: wK2                       :    199.167u      2.083s    120.806w    258 calls
