
Host: node144.bme.utexas.edu

Timers On : Thu Oct 21 16:54:05 2021
Timers Off: Fri Oct 22 02:53:51 2021

Wall Time:    35986.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :    105.833u      6.300s     27.445w     44 calls
DFH: initialize()                   :  56902.600u    848.950s   3042.151w     44 calls
DFH: Total Workflow                 :  44152.850u    262.467s   2227.377w     44 calls
DFH: AO Construction                :   9477.717u    110.583s    480.145w     44 calls
DFH: AO-Met. Contraction            :  34675.000u    151.883s   1747.230w     44 calls
HF: Form core H                     :      1.600u      0.250s      1.872w     22 calls
HF: Form S/X                        :     62.617u      3.250s      3.373w     22 calls
HF: Guess                           :     23.533u      1.683s      1.521w     22 calls
SAD Guess                           :     21.617u      1.483s      1.416w      1 calls
HF: Form G                          :  38866.883u   2321.300s   2956.045w    363 calls
JK: D                               :     29.083u      1.467s      1.522w    759 calls
JK: USO2AO                          :     18.817u      1.633s      1.039w    759 calls
JK: JK                              : 108545.133u   5559.317s   7578.103w    759 calls
DFH: compute_JK()                   : 108544.800u   5559.300s   7578.083w    759 calls
DFH: Grabbing AOs                   :   2446.233u   3402.917s   1934.556w    759 calls
DFH: compute_J                      :   8055.733u     52.667s    406.833w    759 calls
DFH: compute_K                      :  97707.450u   2001.867s   5187.068w    759 calls
JK: AO2USO                          :      0.050u      0.033s      0.006w    759 calls
HF: Form F                          :      7.650u      0.533s      0.433w    363 calls
HF: Form D                          :     10.817u      0.783s      0.575w    363 calls
HF: DIIS                            :    382.900u     31.067s     20.971w    362 calls
DIISManager::add_entry              :     40.317u      5.567s      2.450w    341 calls
DIISManager::extrapolate            :    149.433u     20.233s      8.506w    341 calls
bMatrix setup                       :     72.800u     11.033s      4.210w    341 calls
bMatrix pseudoinverse               :      1.067u      0.150s      0.058w    341 calls
New vector                          :     75.233u      9.033s      4.220w    341 calls
HF: Form C                          :    993.250u     42.067s     51.857w    362 calls
DFMP2 Singles                       :      6.767u      0.217s      0.351w     22 calls
DFMP2 Aia                           :   8651.650u    159.633s    601.180w     22 calls
DFMP2 (A|mn)                        :   6463.417u      4.617s    324.976w     22 calls
DFMP2 (A|mn)C_mi                    :   1136.517u     15.150s     61.591w     22 calls
DFMP2 (A|mi)C_na                    :    802.733u      6.433s     43.086w     22 calls
DFMP2 Aia Write                     :     22.817u     35.733s     20.617w     22 calls
DFMP2 iaQ                           :   7824.833u    303.383s    514.222w     22 calls
DFMP2 Metric                        :   1692.167u     52.783s     92.258w     22 calls
DFMP2 Aia Read                      :      0.400u     20.883s     12.771w     22 calls
DFMP2 (Q|A)(A|ia)                   :   5887.550u     75.900s    306.399w     44 calls
DFMP2 Qia Write                     :     71.133u     42.250s     22.170w     22 calls
DFMP2 Qia Read                      :     18.017u     39.317s     34.401w     66 calls
DFMP2 Bia Write                     :     71.467u     41.533s     21.916w     22 calls
DFMP2 aiQ                           :     13.483u     68.917s     49.626w     22 calls
DFMP2 Tij                           : 194819.667u   6605.833s  11452.653w     22 calls
DFMP2 Cia Read                      :      0.600u     38.167s     23.282w     44 calls
DFMP2 I                             : 157441.883u   2277.000s   8593.401w     44 calls
DFMP2 T2                            :   9632.283u    730.200s    519.120w     44 calls
DFMP2 G                             :  91083.133u   1409.317s   4742.293w     22 calls
DFMP2 Pab                           :  19647.717u   2705.833s   1133.374w     22 calls
DFMP2 Gia Write                     :     32.150u     42.650s     24.312w     22 calls
DFMP2 Tab                           :  94076.183u   4201.950s   6120.172w     22 calls
DFMP2 Qai Read                      :     17.333u     18.900s     21.756w     44 calls
DFMP2 Pij                           :   9892.950u   1518.417s    594.870w     22 calls
DFMP2 gamma                         :   2983.667u     68.367s    206.372w     22 calls
DFMP2 Gia Read                      :      0.800u     35.967s     21.999w     44 calls
DFMP2 g                             :   2961.667u      7.250s    159.261w     22 calls
DFMP2 Gia                           :    235.383u    104.300s     75.617w     22 calls
DFMP2 aiG Write                     :     71.800u     31.650s     16.160w     22 calls
DFMP2 AB^x                          :    109.250u      1.367s     11.299w     22 calls
DFMP2 Amn^x                         :  19567.117u    129.917s   1101.741w     22 calls
DFMP2 L                             :  13187.733u    216.233s    901.138w     22 calls
DFMP2 P                             :      1.033u      0.250s      0.335w     22 calls
DFMP2 W                             :      8.133u      0.717s      0.623w     22 calls
DFMP2 Z                             :  98216.933u   3731.600s   6182.291w     22 calls
DFMP2 grad                          :  63028.100u   1211.183s   3895.706w     22 calls
Grad: V T Perturb                   :   1445.567u     17.217s     74.391w     22 calls
Grad: S                             :      4.000u      0.050s      0.206w     22 calls
Grad: JK                            :  61485.983u   1189.500s   3816.029w     22 calls
CorrGrad: Amn                       :  12273.167u    334.383s    912.631w     22 calls
CorrGrad: AB                        :  16328.150u    464.483s    943.755w     22 calls
CorrGrad: UV                        :   8045.717u    135.067s    504.508w     22 calls
CorrGrad: ABx                       :    177.283u      5.800s     13.913w     22 calls
CorrGrad: Amnx                      :  24545.933u    221.267s   1412.454w     22 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     21.567u      0.967s     13.525w     22 calls
DFH: initialize()                   :  28894.950u    430.317s   1545.259w     22 calls
| DFH: Total Workflow               :  22470.783u    131.433s   1133.602w     22 calls
| | DFH: AO Construction            :   4875.817u     55.733s    246.976w     22 calls
| | DFH: AO-Met. Contraction        :  17594.917u     75.700s    886.625w     22 calls
HF: Form core H                     :      1.600u      0.250s      1.872w     22 calls
HF: Form S/X                        :     62.617u      3.250s      3.373w     22 calls
HF: Guess                           :     23.533u      1.683s      1.521w     22 calls
| SAD Guess                         :     21.617u      1.483s      1.416w      1 calls
HF: Form G                          :  38866.883u   2321.300s   2956.045w    363 calls
| JK: D                             :     13.217u      0.833s      0.692w    363 calls
| JK: USO2AO                        :      9.333u      0.800s      0.517w    363 calls
| JK: JK                            :  38817.083u   2317.017s   2953.230w    363 calls
| | DFH: compute_JK()               :  38816.883u   2317.017s   2953.220w    363 calls
| | | DFH: Grabbing AOs             :   1171.517u   1657.567s    943.693w    363 calls
| | | DFH: compute_J                :   3038.433u     18.317s    153.473w    363 calls
| | | DFH: compute_K                :  34463.567u    602.167s   1837.518w    363 calls
| JK: AO2USO                        :      0.017u      0.017s      0.003w    363 calls
HF: Form F                          :      7.650u      0.533s      0.433w    363 calls
HF: Form D                          :     10.817u      0.783s      0.575w    363 calls
HF: DIIS                            :    382.900u     31.067s     20.971w    362 calls
| DIISManager::add_entry            :     40.317u      5.567s      2.450w    341 calls
| DIISManager::extrapolate          :    149.433u     20.233s      8.506w    341 calls
| | bMatrix setup                   :     72.800u     11.033s      4.210w    341 calls
| | bMatrix pseudoinverse           :      1.067u      0.150s      0.058w    341 calls
| | New vector                      :     75.233u      9.033s      4.220w    341 calls
HF: Form C                          :    993.250u     42.067s     51.857w    362 calls
DFMP2 Singles                       :      6.767u      0.217s      0.351w     22 calls
DFMP2 Aia                           :   8651.650u    159.633s    601.180w     22 calls
| DFMP2 (A|mn)                      :   6463.417u      4.617s    324.976w     22 calls
| DFMP2 (A|mn)C_mi                  :   1136.517u     15.150s     61.591w     22 calls
| DFMP2 (A|mi)C_na                  :    802.733u      6.433s     43.086w     22 calls
| DFMP2 Aia Write                   :     22.817u     35.733s     20.617w     22 calls
DFMP2 iaQ                           :   7824.833u    303.383s    514.222w     22 calls
| DFMP2 Metric                      :   1692.167u     52.783s     92.258w     22 calls
| DFMP2 Aia Read                    :      0.400u     20.883s     12.771w     22 calls
| DFMP2 (Q|A)(A|ia)                 :   5887.550u     75.900s    306.399w     44 calls
| DFMP2 Qia Write                   :     71.133u     42.250s     22.170w     22 calls
| DFMP2 Qia Read                    :      0.283u     20.850s     12.697w     22 calls
| DFMP2 Bia Write                   :     71.467u     41.533s     21.916w     22 calls
DFMP2 aiQ                           :     13.483u     68.917s     49.626w     22 calls
DFMP2 Tij                           : 194819.667u   6605.833s  11452.653w     22 calls
| DFMP2 Qia Read                    :     17.733u     18.467s     21.705w     44 calls
| DFMP2 Cia Read                    :      0.267u     20.567s     12.512w     22 calls
| DFMP2 I                           :  78517.533u    997.767s   4279.878w     22 calls
| DFMP2 T2                          :   4955.183u    362.517s    266.479w     22 calls
| DFMP2 G                           :  91083.133u   1409.317s   4742.293w     22 calls
| DFMP2 Pab                         :  19647.717u   2705.833s   1133.374w     22 calls
| DFMP2 Gia Write                   :     32.150u     42.650s     24.312w     22 calls
DFMP2 Tab                           :  94076.183u   4201.950s   6120.172w     22 calls
| DFMP2 Qai Read                    :     17.333u     18.900s     21.756w     44 calls
| DFMP2 I                           :  78924.350u   1279.233s   4313.524w     22 calls
| DFMP2 T2                          :   4677.100u    367.683s    252.642w     22 calls
| DFMP2 Pij                         :   9892.950u   1518.417s    594.870w     22 calls
DFMP2 gamma                         :   2983.667u     68.367s    206.372w     22 calls
| DFMP2 Gia Read                    :      0.400u     19.417s     11.870w     22 calls
| DFMP2 Cia Read                    :      0.333u     17.600s     10.770w     22 calls
| DFMP2 g                           :   2961.667u      7.250s    159.261w     22 calls
DFMP2 Gia                           :    235.383u    104.300s     75.617w     22 calls
| DFMP2 Gia Read                    :      0.400u     16.550s     10.129w     22 calls
| DFMP2 aiG Write                   :     71.800u     31.650s     16.160w     22 calls
DFMP2 AB^x                          :    109.250u      1.367s     11.299w     22 calls
DFMP2 Amn^x                         :  19567.117u    129.917s   1101.741w     22 calls
DFMP2 L                             :  13187.733u    216.233s    901.138w     22 calls
DFMP2 P                             :      1.033u      0.250s      0.335w     22 calls
DFMP2 W                             :      8.133u      0.717s      0.623w     22 calls
DFMP2 Z                             :  98216.933u   3731.600s   6182.291w     22 calls
| DFH: sparsity prep                :     84.267u      5.333s     13.920w     22 calls
