
Host: bme-earth.bme.utexas.edu

Timers On : Wed Feb 19 10:45:07 2025
Timers Off: Wed Feb 19 10:45:14 2025

Wall Time:        7.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.383u      0.017s      0.120w      1 calls
build grid                          :      0.250u      0.017s      0.078w      1 calls
post-process grid                   :      0.133u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.007w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.009w      4 calls
DFH: initialize()                   :      0.917u      0.033s      0.284w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.017u      0.000s      0.005w      1 calls
DFH: AO Construction                :      0.117u      0.017s      0.037w      1 calls
DFH: AO-Met. Contraction            :      0.233u      0.000s      0.068w      2 calls
DFH: wAO Construction               :      0.183u      0.000s      0.054w      1 calls
DFH: wAO Copy                       :      0.017u      0.000s      0.008w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.083u      0.017s      0.030w      1 calls
SAD Guess                           :      0.083u      0.017s      0.030w      1 calls
HF: Form G                          :      5.000u      0.000s      1.502w      9 calls
RV: Form V                          :      4.417u      0.000s      1.324w      9 calls
Properties                          :      0.821p                          13518 calls
Functional                          :      0.787p                          13518 calls
V_xc                                :      1.029p                          13518 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.583u      0.000s      0.177w      9 calls
DFH: compute_JK()                   :      0.200u      0.000s      0.071w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.050u      0.000s      0.016w      9 calls
DFH: compute_K                      :      0.150u      0.000s      0.052w      9 calls
DFH: compute_wK()                   :      0.383u      0.000s      0.106w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.400u      0.033s      0.168w      8 calls
HF: Form C                          :      0.017u      0.000s      0.007w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.383u      0.017s      0.120w      1 calls
| build grid                        :      0.250u      0.017s      0.078w      1 calls
| post-process grid                 :      0.133u      0.000s      0.041w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.007w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      1 calls
DFH: initialize()                   :      0.917u      0.033s      0.284w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      3 calls
