bond   401  402  0.00     1.4268
bond   401  406  0.00     0.9717
bond   402  403  0.00     1.5129
bond   402  404  0.00     1.0992
bond   403  405  0.00     1.0925
angle  402  401  406  0.00   107.8401
angle  401  402  403  0.00   107.1044
angle  401  402  404  0.00   111.0269
angle  403  402  404  0.00   110.1109
angle  404  402  404  0.00   107.4821
angle  402  403  405  0.00   110.2299
angle  405  403  405  0.00   108.7007
strbnd 402  401  406  0.00 0.00
strbnd 401  402  403  0.00 0.00
strbnd 401  402  404  0.00 0.00
strbnd 403  402  404  0.00 0.00
strbnd 404  402  404  0.00 0.00
strbnd 402  403  405  0.00 0.00
strbnd 405  403  405  0.00 0.00
