
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:15:53 2023
Timers Off: Sat Nov 18 08:16:05 2023

Wall Time:       11.24 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.750u      0.083s      0.341w      1 calls
build grid                          :      1.850u      0.050s      0.228w      1 calls
post-process grid                   :      0.900u      0.033s      0.113w      1 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.047w      1 calls
Libint2ERI::Libint2ERI              :      0.283u      0.017s      0.060w      7 calls
DFH: initialize()                   :     24.183u      0.650s      3.023w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.250u      0.000s      0.032w      1 calls
DFH: AO Construction                :      2.617u      0.033s      0.321w      1 calls
DFH: AO-Met. Contraction            :      6.400u      0.050s      0.777w      2 calls
DFH: wAO Construction               :      7.000u      0.017s      0.845w      1 calls
DFH: wAO Copy                       :      2.017u      0.033s      0.248w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.009w      1 calls
HF: Guess                           :      0.450u      0.033s      0.058w      1 calls
SAD Guess                           :      0.433u      0.017s      0.056w      1 calls
HF: Form G                          :     43.883u      4.400s      5.899w     10 calls
RV: Form V                          :     33.117u      3.100s      4.445w     10 calls
Properties                          :      7.364p                          24090 calls
Functional                          :      2.184p                          24090 calls
V_xc                                :     12.572p                          24090 calls
JK: D                               :      0.000u      0.000s      0.002w     10 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     10 calls
JK: JK                              :     10.700u      1.300s      1.447w     10 calls
DFH: compute_JK()                   :      4.467u      0.517s      0.597w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.850u      0.033s      0.110w     10 calls
DFH: compute_K                      :      2.717u      0.317s      0.361w     10 calls
DFH: compute_wK()                   :      6.200u      0.783s      0.846w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.017u      0.000s      0.004w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.183u      0.133s      0.165w      9 calls
HF: Form C                          :      0.483u      0.033s      0.055w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.750u      0.083s      0.341w      1 calls
| build grid                        :      1.850u      0.050s      0.228w      1 calls
| post-process grid                 :      0.900u      0.033s      0.113w      1 calls
DFH: sparsity prep                  :      0.083u      0.017s      0.047w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.032w      1 calls
DFH: initialize()                   :     24.183u      0.650s      3.023w      1 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.017s      0.028w      6 calls
| Libint2ErfERI::Libint2ErfERI      :      0.250u      0.000s      0.032w      1 calls
| DFH: AO Construction              :      2.617u      0.033s      0.321w      1 calls
| DFH: AO-Met. Contraction          :      6.400u      0.050s      0.777w      2 calls
| DFH: wAO Construction             :      7.000u      0.017s      0.845w      1 calls
| DFH: wAO Copy                     :      2.017u      0.033s      0.248w      1 calls
HF: Form core H                     :      0.133u      0.000s      0.017w      1 calls
HF: Form S/X                        :      0.083u      0.000s      0.009w      1 calls
HF: Guess                           :      0.450u      0.033s      0.058w      1 calls
| SAD Guess                         :      0.433u      0.017s      0.056w      1 calls
HF: Form G                          :     43.883u      4.400s      5.899w     10 calls
| RV: Form V                        :     33.117u      3.100s      4.445w     10 calls
| | Properties                      :      7.364p                          24090 calls
| | Functional                      :      2.184p                          24090 calls
| | V_xc                            :     12.572p                          24090 calls
| JK: D                             :      0.000u      0.000s      0.002w     10 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     10 calls
| JK: JK                            :     10.700u      1.300s      1.447w     10 calls
| | DFH: compute_JK()               :      4.467u      0.517s      0.597w     10 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     10 calls
| | | DFH: compute_J                :      0.850u      0.033s      0.110w     10 calls
| | | DFH: compute_K                :      2.717u      0.317s      0.361w     10 calls
| | DFH: compute_wK()               :      6.200u      0.783s      0.846w     10 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.017u      0.000s      0.004w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.183u      0.133s      0.165w      9 calls
HF: Form C                          :      0.483u      0.033s      0.055w      9 calls

**************************************************************************************

Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:16:05 2023
Timers Off: Sat Nov 18 08:16:16 2023

Wall Time:       10.60 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.600u      0.067s      0.325w      1 calls
build grid                          :      1.817u      0.033s      0.224w      1 calls
post-process grid                   :      0.783u      0.033s      0.101w      1 calls
DFH: sparsity prep                  :      0.067u      0.000s      0.045w      1 calls
Libint2ERI::Libint2ERI              :      0.283u      0.000s      0.059w      7 calls
DFH: initialize()                   :     25.267u      0.667s      3.169w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.300u      0.000s      0.036w      1 calls
DFH: AO Construction                :      3.400u      0.033s      0.415w      1 calls
DFH: AO-Met. Contraction            :      6.617u      0.083s      0.811w      2 calls
DFH: wAO Construction               :      6.700u      0.017s      0.809w      1 calls
DFH: wAO Copy                       :      2.050u      0.017s      0.253w      1 calls
HF: Form core H                     :      0.150u      0.000s      0.020w      1 calls
HF: Form S/X                        :      0.100u      0.000s      0.012w      1 calls
HF: Guess                           :      0.567u      0.033s      0.071w      1 calls
SAD Guess                           :      0.550u      0.017s      0.069w      1 calls
HF: Form G                          :     38.850u      3.700s      5.191w     10 calls
RV: Form V                          :     27.917u      2.233s      3.693w     10 calls
Properties                          :      6.434p                          23830 calls
Functional                          :      2.039p                          23830 calls
V_xc                                :      9.905p                          23830 calls
JK: D                               :      0.033u      0.000s      0.001w     10 calls
JK: USO2AO                          :      0.017u      0.000s      0.000w     10 calls
JK: JK                              :     10.833u      1.467s      1.492w     10 calls
DFH: compute_JK()                   :      4.567u      0.550s      0.622w     10 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     10 calls
DFH: compute_J                      :      0.850u      0.250s      0.134w     10 calls
DFH: compute_K                      :      2.700u      0.150s      0.347w     10 calls
DFH: compute_wK()                   :      6.267u      0.917s      0.868w     10 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     10 calls
HF: Form F                          :      0.033u      0.000s      0.002w     10 calls
HF: Form D                          :      0.000u      0.000s      0.001w     10 calls
HF: DIIS                            :      1.183u      0.117s      0.162w      9 calls
HF: Form C                          :      0.400u      0.000s      0.047w      9 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.600u      0.067s      0.325w      1 calls
| build grid                        :      1.817u      0.033s      0.224w      1 calls
