
Host: node165.bme.utexas.edu

Timers On : Sat Nov 18 08:00:39 2023
Timers Off: Sat Nov 18 08:00:54 2023

Wall Time:       14.34 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.039w      1 calls
Libint2ERI::Libint2ERI              :      5.150u      0.183s      1.347w    105 calls
DFH: initialize()                   :     43.783u      1.400s      0.665w      1 calls
DFH: AO Construction                :      8.000u      0.133s      0.097w      1 calls
DFH: AO-Met. Contraction            :      3.233u      0.167s      0.040w      1 calls
HF: Form core H                     :      2.200u      0.033s      0.026w      1 calls
HF: Form S/X                        :      0.250u      0.000s      0.003w      1 calls
HF: Guess                           :     15.167u      0.683s      0.187w      1 calls
SAD Guess                           :     15.050u      0.683s      0.186w      1 calls
HF: Form G                          :     26.183u      1.417s      0.326w     11 calls
JK: D                               :      0.083u      0.000s      0.001w     11 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     11 calls
JK: JK                              :     26.033u      1.417s      0.324w     11 calls
DFH: compute_JK()                   :     25.983u      1.400s      0.323w     11 calls
DFH: Grabbing AOs                   :      0.017u      0.000s      0.000w     11 calls
DFH: compute_J                      :      1.417u      0.017s      0.017w     11 calls
DFH: compute_K                      :      6.417u      0.783s      0.086w     11 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     11 calls
HF: Form F                          :      0.200u      0.033s      0.003w     11 calls
HF: Form D                          :      0.017u      0.000s      0.000w     11 calls
HF: DIIS                            :     11.700u      0.267s      0.141w     10 calls
HF: Form C                          :      2.233u      0.033s      0.027w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.039w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.026w      1 calls
DFH: initialize()                   :     43.783u      1.400s      0.665w      1 calls
| Libint2ERI::Libint2ERI            :      3.050u      0.083s      0.069w     52 calls
| DFH: AO Construction              :      8.000u      0.133s      0.097w      1 calls
| DFH: AO-Met. Contraction          :      3.233u      0.167s      0.040w      1 calls
HF: Form core H                     :      2.200u      0.033s      0.026w      1 calls
HF: Form S/X                        :      0.250u      0.000s      0.003w      1 calls
HF: Guess                           :     15.167u      0.683s      0.187w      1 calls
| SAD Guess                         :     15.050u      0.683s      0.186w      1 calls
HF: Form G                          :     26.183u      1.417s      0.326w     11 calls
| JK: D                             :      0.083u      0.000s      0.001w     11 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     11 calls
