
Host: node165.bme.utexas.edu

Timers On : Fri Nov 17 17:51:31 2023
Timers Off: Fri Nov 17 23:39:23 2023

Wall Time:    20872.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :    489.283u     10.533s     51.733w     94 calls
Libint2ERI::Libint2ERI              :   7576.617u    211.200s   2965.376w  21855 calls
DFH: initialize()                   :  53275.850u    988.433s    904.655w     94 calls
DFH: AO Construction                :   8903.417u    157.533s    129.897w     94 calls
DFH: AO-Met. Contraction            :  25598.867u    430.050s    389.669w     94 calls
HF: Form core H                     :   3329.167u     80.317s     49.584w     47 calls
HF: Form S/X                        :    704.517u     19.000s     10.997w     47 calls
HF: Guess                           :   4208.633u    123.267s     62.404w     47 calls
SAD Guess                           :   4139.233u    121.133s     61.367w     47 calls
HF: Form G                          :  71415.067u   1492.633s   1572.219w    987 calls
JK: D                               :    223.000u      7.367s      3.567w   1833 calls
JK: USO2AO                          :     29.783u      1.400s      0.564w   1833 calls
JK: JK                              : 163006.900u   3556.367s   3908.279w   1833 calls
DFH: compute_JK()                   : 162867.067u   3552.817s   3905.919w   1833 calls
DFH: Grabbing AOs                   :      0.067u      0.000s      0.006w   1833 calls
DFH: compute_J                      :  12135.667u    200.050s    183.559w   1833 calls
DFH: compute_K                      : 127695.717u    649.550s   2160.781w   1833 calls
JK: AO2USO                          :      0.200u      0.017s      0.005w   1833 calls
HF: Form F                          :   1034.917u     30.417s     15.963w    987 calls
HF: Form D                          :     58.767u      1.733s      0.971w    987 calls
HF: DIIS                            :   4146.867u    162.617s     65.097w    940 calls
HF: Form C                          :   7867.733u    192.767s    120.258w    940 calls
DFMP2 Singles                       :     18.267u      0.417s      0.349w     47 calls
DFMP2 Aia                           :  15061.100u    334.133s   1363.167w     47 calls
DFMP2 (A|mn)                        :  10933.717u      4.017s    153.651w     47 calls
DFMP2 (A|mn)C_mi                    :   1184.983u     10.267s     19.789w     47 calls
DFMP2 (A|mi)C_na                    :   1157.383u     18.467s     17.040w     47 calls
DFMP2 Aia Write                     :    284.200u     52.650s     27.871w     47 calls
DFMP2 iaB                           :   9851.600u    297.550s    296.434w     47 calls
DFMP2 Metric                        :   3811.233u     58.467s     71.614w     47 calls
DFMP2 Aia Read                      :      0.217u     28.233s     17.093w     47 calls
DFMP2 (ia|A)(A|Q)                   :   2397.233u      2.583s     45.219w     47 calls
DFMP2 Bia Write                     :    425.283u     53.933s     26.574w     47 calls
DFMP2 Bia Read                      :     12.967u     51.850s     39.044w    141 calls
DFMP2 (ia|B)(B|Q)                   :   2349.400u      2.450s     44.321w     47 calls
DFMP2 Cia Write                     :    425.417u     53.200s     26.267w     47 calls
DFMP2 aiB                           :      6.750u     90.217s     58.521w     47 calls
DFMP2 Tij                           : 151816.700u  55382.367s   5329.807w     47 calls
DFMP2 Cia Read                      :      0.200u     56.150s     33.886w     94 calls
DFMP2 I                             : 104963.750u    144.217s   1981.026w     94 calls
DFMP2 T2                            :  14339.283u   3148.833s    259.359w     94 calls
DFMP2 G                             :  64538.000u    405.233s   1224.406w     47 calls
DFMP2 Pab                           :  27660.033u  52573.417s   1617.760w     47 calls
DFMP2 Gia Write                     :    137.533u     45.667s     25.745w     47 calls
DFMP2 Tab                           :  66654.650u   7091.850s   2626.492w     47 calls
DFMP2 Bai Read                      :      0.117u     27.667s     16.688w     47 calls
DFMP2 Qai Read                      :     13.017u      0.617s      8.187w     47 calls
DFMP2 Pij                           :   5883.383u   2187.517s    150.712w     47 calls
DFMP2 gamma                         :   2578.900u    165.650s    108.500w     47 calls
DFMP2 Gia Read                      :      0.300u     51.317s     30.987w     94 calls
DFMP2 g                             :   2484.950u     73.800s     48.439w     47 calls
DFMP2 Gia                           :    969.900u    150.567s     89.905w     47 calls
DFMP2 aiG Write                     :    426.050u     43.583s     20.503w     47 calls
DFMP2 AB^x                          :    265.200u      6.517s      6.385w     47 calls
DFMP2 Amn^x                         :  20227.417u    324.600s   1006.093w     47 calls
DFMP2 L                             :  21975.867u    402.517s   1205.164w     47 calls
DFMP2 P                             :      0.133u      0.317s      0.392w     47 calls
DFMP2 W                             :     13.683u      1.117s      0.499w     47 calls
DFMP2 Z                             : 120003.733u   2684.350s   2839.638w     47 calls
DFMP2 grad                          :  74705.617u   1617.333s   3403.528w     47 calls
Grad: V T Perturb                   :   3582.900u     83.633s     52.630w     47 calls
Grad: S                             :   1682.533u     41.400s     24.603w     47 calls
Grad: JK                            :  69183.517u   1487.633s   3320.990w     47 calls
CorrGrad: Amn                       :  20404.233u    509.117s   1206.254w     47 calls
CorrGrad: AB                        :  15062.483u    343.367s    702.382w     47 calls
CorrGrad: UV                        :   6252.100u    198.900s    225.540w     47 calls
CorrGrad: ABx                       :    789.383u     14.533s     13.295w     47 calls
CorrGrad: Amnx                      :  26525.717u    400.500s   1158.820w     47 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :     45.767u      0.350s     27.704w     47 calls
| Libint2ERI::Libint2ERI            :     29.050u      0.183s     17.600w     47 calls
DFH: initialize()                   :  26607.817u    471.517s    451.682w     47 calls
| Libint2ERI::Libint2ERI            :    293.667u      7.583s     19.570w   2444 calls
| DFH: AO Construction              :   4439.833u     78.483s     64.413w     47 calls
| DFH: AO-Met. Contraction          :  12817.500u    210.633s    194.506w     47 calls
HF: Form core H                     :   3329.167u     80.317s     49.584w     47 calls
HF: Form S/X                        :    704.517u     19.000s     10.997w     47 calls
HF: Guess                           :   4208.633u    123.267s     62.404w     47 calls
| SAD Guess                         :   4139.233u    121.133s     61.367w     47 calls
HF: Form G                          :  71415.067u   1492.633s   1572.219w    987 calls
| JK: D                             :    187.283u      6.133s      2.875w    987 calls
| JK: USO2AO                        :      3.533u      0.167s      0.048w    987 calls
| JK: JK                            :  71121.183u   1480.400s   1567.552w    987 calls
| | DFH: compute_JK()               :  71041.417u   1478.083s   1566.355w    987 calls
| | | DFH: Grabbing AOs             :      0.017u      0.000s      0.003w    987 calls
| | | DFH: compute_J                :   5186.317u     85.633s     78.658w    987 calls
| | | DFH: compute_K                :  53647.400u    290.633s    908.808w    987 calls
| JK: AO2USO                        :      0.067u      0.017s      0.003w    987 calls
HF: Form F                          :   1034.917u     30.417s     15.963w    987 calls
HF: Form D                          :     58.767u      1.733s      0.971w    987 calls
HF: DIIS                            :   4146.867u    162.617s     65.097w    940 calls
HF: Form C                          :   7867.733u    192.767s    120.258w    940 calls
DFMP2 Singles                       :     18.267u      0.417s      0.349w     47 calls
DFMP2 Aia                           :  15061.100u    334.133s   1363.167w     47 calls
| Libint2ERI::Libint2ERI            :   1359.967u     33.967s    578.777w   2397 calls
| DFMP2 (A|mn)                      :  10933.717u      4.017s    153.651w     47 calls
| DFMP2 (A|mn)C_mi                  :   1184.983u     10.267s     19.789w     47 calls
| DFMP2 (A|mi)C_na                  :   1157.383u     18.467s     17.040w     47 calls
| DFMP2 Aia Write                   :    284.200u     52.650s     27.871w     47 calls
DFMP2 iaB                           :   9851.600u    297.550s    296.434w     47 calls
| DFMP2 Metric                      :   3811.233u     58.467s     71.614w     47 calls
| | Libint2ERI::Libint2ERI          :      1.217u      0.033s      0.792w   2397 calls
| DFMP2 Aia Read                    :      0.217u     28.233s     17.093w     47 calls
| DFMP2 (ia|A)(A|Q)                 :   2397.233u      2.583s     45.219w     47 calls
| DFMP2 Bia Write                   :    425.283u     53.933s     26.574w     47 calls
| DFMP2 Bia Read                    :      0.117u     24.317s     14.707w     47 calls
| DFMP2 (ia|B)(B|Q)                 :   2349.400u      2.450s     44.321w     47 calls
| DFMP2 Cia Write                   :    425.417u     53.200s     26.267w     47 calls
DFMP2 aiB                           :      6.750u     90.217s     58.521w     47 calls
DFMP2 Tij                           : 151816.700u  55382.367s   5329.807w     47 calls
| DFMP2 Bia Read                    :     12.850u     27.533s     24.338w     94 calls
| DFMP2 Cia Read                    :      0.100u     26.433s     15.956w     47 calls
| DFMP2 I                           :  52167.567u     24.900s    983.436w     47 calls
| DFMP2 T2                          :   7041.067u    321.817s    104.639w     47 calls
| DFMP2 G                           :  64538.000u    405.233s   1224.406w     47 calls
| DFMP2 Pab                         :  27660.033u  52573.417s   1617.760w     47 calls
| DFMP2 Gia Write                   :    137.533u     45.667s     25.745w     47 calls
DFMP2 Tab                           :  66654.650u   7091.850s   2626.492w     47 calls
| DFMP2 Bai Read                    :      0.117u     27.667s     16.688w     47 calls
| DFMP2 Qai Read                    :     13.017u      0.617s      8.187w     47 calls
| DFMP2 I                           :  52796.183u    119.317s    997.590w     47 calls
| DFMP2 T2                          :   7298.217u   2827.017s    154.719w     47 calls
| DFMP2 Pij                         :   5883.383u   2187.517s    150.712w     47 calls
DFMP2 gamma                         :   2578.900u    165.650s    108.500w     47 calls
| DFMP2 Gia Read                    :      0.100u     24.167s     14.590w     47 calls
| DFMP2 Cia Read                    :      0.100u     29.717s     17.930w     47 calls
| DFMP2 g                           :   2484.950u     73.800s     48.439w     47 calls
DFMP2 Gia                           :    969.900u    150.567s     89.905w     47 calls
| DFMP2 Gia Read                    :      0.200u     27.150s     16.397w     47 calls
| DFMP2 aiG Write                   :    426.050u     43.583s     20.503w     47 calls
DFMP2 AB^x                          :    265.200u      6.517s      6.385w     47 calls
| Libint2ERI::Libint2ERI            :      4.367u      0.183s      0.085w     47 calls
DFMP2 Amn^x                         :  20227.417u    324.600s   1006.093w     47 calls
