
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:16:20 2020
Timers Off: Mon Sep 21 14:17:44 2020

Wall Time:       83.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      2.900u      0.033s      1.757w      6 calls
JK: (A|mn)                          :      1.967u      0.000s      1.184w      6 calls
JK: (A|Q)^-1/2                      :      1.050u      0.017s      0.636w      6 calls
JK: (Q|mn)                          :      0.450u      0.000s      0.269w      6 calls
JK: (A|mn)^L                        :      0.917u      0.000s      0.547w      6 calls
JK: (A|Q)^-1                        :      1.017u      0.000s      0.620w      6 calls
JK: (Q|mn)^L                        :      0.417u      0.000s      0.245w      6 calls
JK: (A|mn)^R                        :      1.183u      0.000s      0.715w      6 calls
HF: Form core H                     :      0.000u      0.000s      0.145w      6 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      6 calls
HF: Guess                           :      1.400u      0.000s      0.842w      6 calls
SAD Guess                           :      1.350u      0.000s      0.814w      2 calls
HF: Form G                          :     80.383u      1.583s     49.240w     71 calls
RV: Form V                          :     74.850u      1.583s     45.895w     71 calls
Properties                          :     20.717u      0.500s     13.210w 119429 calls
Functional                          :     40.983u      0.617s     24.824w 119429 calls
V_xc                                :     20.083u      0.433s     12.219w 110125 calls
JK: D                               :      0.000u      0.000s      0.002w     71 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     71 calls
JK: JK                              :      5.517u      0.000s      3.334w     71 calls
JK: J                               :      0.133u      0.000s      0.073w     71 calls
JK: J1                              :      0.100u      0.000s      0.047w     71 calls
JK: J2                              :      0.033u      0.000s      0.025w     71 calls
JK: K                               :      2.117u      0.000s      1.261w     71 calls
JK: K1                              :      1.733u      0.000s      1.019w     71 calls
JK: K2                              :      0.383u      0.000s      0.241w     71 calls
JK: wK                              :      3.200u      0.000s      1.946w    213 calls
JK: wK1                             :      2.733u      0.000s      1.699w    426 calls
JK: wK2                             :      0.433u      0.000s      0.245w    213 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     71 calls
HF: Form F                          :      0.000u      0.000s      0.002w     71 calls
HF: Form D                          :      0.000u      0.000s      0.002w     71 calls
HF: DIIS                            :      0.117u      0.017s      0.091w     69 calls
DIISManager::add_entry              :      0.000u      0.017s      0.032w     65 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.018w     65 calls
bMatrix setup                       :      0.017u      0.000s      0.007w     65 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.005w     65 calls
New vector                          :      0.017u      0.000s      0.006w     65 calls
HF: Form C                          :      0.133u      0.000s      0.061w     69 calls
Grad: V T Perturb                   :      0.400u      0.000s      0.237w      6 calls
Grad: S                             :      0.000u      0.000s      0.004w      6 calls
Grad: JK                            :     14.267u      0.083s     12.193w      6 calls
JKGrad: Amn                         :      1.183u      0.000s      0.722w      6 calls
JKGrad: Awmn                        :      1.383u      0.000s      0.834w      6 calls
JKGrad: AB                          :      1.083u      0.050s      0.677w      6 calls
JKGrad: UV                          :      0.067u      0.017s      0.064w      6 calls
JKGrad: ABx                         :      0.483u      0.000s      0.265w      6 calls
JKGrad: Amnx                        :      9.767u      0.000s      5.876w      6 calls
Grad: XC                            :     13.267u      0.150s      8.035w      6 calls
V_xc gradient                       :      4.600u      0.050s      2.763w   9304 calls

--------------------------------------------------------------------------------------
V: Grid                             :      2.900u      0.033s      1.757w      6 calls
JK: (A|mn)                          :      1.967u      0.000s      1.184w      6 calls
JK: (A|Q)^-1/2                      :      1.050u      0.017s      0.636w      6 calls
JK: (Q|mn)                          :      0.450u      0.000s      0.269w      6 calls
JK: (A|mn)^L                        :      0.917u      0.000s      0.547w      6 calls
JK: (A|Q)^-1                        :      1.017u      0.000s      0.620w      6 calls
JK: (Q|mn)^L                        :      0.417u      0.000s      0.245w      6 calls
JK: (A|mn)^R                        :      1.183u      0.000s      0.715w      6 calls
HF: Form core H                     :      0.000u      0.000s      0.145w      6 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      6 calls
HF: Guess                           :      1.400u      0.000s      0.842w      6 calls
| SAD Guess                         :      1.350u      0.000s      0.814w      2 calls
HF: Form G                          :     80.383u      1.583s     49.240w     71 calls
| RV: Form V                        :     74.850u      1.583s     45.895w     71 calls
| | Properties                      :     15.583u      0.450s     10.060w 110125 calls
| | Functional                      :     37.567u      0.583s     22.785w 110125 calls
| | V_xc                            :     20.083u      0.433s     12.219w 110125 calls
| JK: D                             :      0.000u      0.000s      0.002w     71 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     71 calls
| JK: JK                            :      5.517u      0.000s      3.334w     71 calls
| | JK: J                           :      0.133u      0.000s      0.073w     71 calls
| | | JK: J1                        :      0.100u      0.000s      0.047w     71 calls
| | | JK: J2                        :      0.033u      0.000s      0.025w     71 calls
| | JK: K                           :      2.117u      0.000s      1.261w     71 calls
| | | JK: K1                        :      1.733u      0.000s      1.019w     71 calls
| | | JK: K2                        :      0.383u      0.000s      0.241w     71 calls
| | JK: wK                          :      3.200u      0.000s      1.946w    213 calls
| | | JK: wK1                       :      2.733u      0.000s      1.699w    426 calls
| | | JK: wK2                       :      0.433u      0.000s      0.245w    213 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     71 calls
HF: Form F                          :      0.000u      0.000s      0.002w     71 calls
HF: Form D                          :      0.000u      0.000s      0.002w     71 calls
HF: DIIS                            :      0.117u      0.017s      0.091w     69 calls
| DIISManager::add_entry            :      0.000u      0.017s      0.032w     65 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.018w     65 calls
| | bMatrix setup                   :      0.017u      0.000s      0.007w     65 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.005w     65 calls
| | New vector                      :      0.017u      0.000s      0.006w     65 calls
HF: Form C                          :      0.133u      0.000s      0.061w     69 calls
Grad: V T Perturb                   :      0.400u      0.000s      0.237w      6 calls
Grad: S                             :      0.000u      0.000s      0.004w      6 calls
Grad: JK                            :     14.267u      0.083s     12.193w      6 calls
| JKGrad: Amn                       :      1.183u      0.000s      0.722w      6 calls
| JKGrad: Awmn                      :      1.383u      0.000s      0.834w      6 calls
| JKGrad: AB                        :      1.083u      0.050s      0.677w      6 calls
| JKGrad: UV                        :      0.067u      0.017s      0.064w      6 calls
| JKGrad: ABx                       :      0.483u      0.000s      0.265w      6 calls
| JKGrad: Amnx                      :      9.767u      0.000s      5.876w      6 calls
Grad: XC                            :     13.267u      0.150s      8.035w      6 calls
| Properties                        :      5.133u      0.050s      3.149w   9304 calls
| Functional                        :      3.417u      0.033s      2.040w   9304 calls
| V_xc gradient                     :      4.600u      0.050s      2.763w   9304 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:18:44 2020
Timers Off: Mon Sep 21 14:18:48 2020

Wall Time:        3.75 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.041w      1 calls
DFH: initialize()                   :      1.000u      0.017s      0.621w      1 calls
DFH: AO Construction                :      0.417u      0.017s      0.257w      1 calls
DFH: AO-Met. Contraction            :      0.283u      0.000s      0.172w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      1 calls
HF: Guess                           :      0.883u      0.000s      0.538w      1 calls
SAD Guess                           :      0.867u      0.000s      0.522w      1 calls
HF: Form G                          :      0.533u      0.000s      0.321w     13 calls
JK: D                               :      0.000u      0.000s      0.001w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     13 calls
JK: JK                              :      0.517u      0.000s      0.318w     13 calls
DFH: compute_JK()                   :      0.517u      0.000s      0.318w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     13 calls
DFH: compute_J                      :      0.067u      0.000s      0.065w     13 calls
DFH: compute_K                      :      0.433u      0.000s      0.252w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.000u      0.000s      0.001w     13 calls
HF: Form D                          :      0.000u      0.000s      0.000w     13 calls
HF: DIIS                            :      0.033u      0.000s      0.023w     12 calls
DIISManager::add_entry              :      0.000u      0.000s      0.007w     12 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.005w     12 calls
bMatrix setup                       :      0.000u      0.000s      0.002w     12 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     12 calls
New vector                          :      0.017u      0.000s      0.002w     12 calls
HF: Form C                          :      0.033u      0.000s      0.023w     12 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.533u      0.017s      0.344w      1 calls
DFMP2 (A|mn)                        :      0.417u      0.000s      0.245w      1 calls
DFMP2 (A|mn)C_mi                    :      0.017u      0.000s      0.010w      1 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.006w      1 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.002w      1 calls
DFMP2 Qia                           :      0.233u      0.000s      0.143w      1 calls
DFMP2 Metric                        :      0.200u      0.000s      0.114w      1 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.001w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.033u      0.000s      0.018w      1 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.002w      1 calls
DFMP2 Energy                        :      0.050u      0.000s      0.047w      1 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.001w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.041w      1 calls
DFH: initialize()                   :      1.000u      0.017s      0.621w      1 calls
| DFH: AO Construction              :      0.417u      0.017s      0.257w      1 calls
| DFH: AO-Met. Contraction          :      0.283u      0.000s      0.172w      1 calls
HF: Form core H                     :      0.000u      0.000s      0.027w      1 calls
HF: Form S/X                        :      0.017u      0.000s      0.003w      1 calls
HF: Guess                           :      0.883u      0.000s      0.538w      1 calls
| SAD Guess                         :      0.867u      0.000s      0.522w      1 calls
HF: Form G                          :      0.533u      0.000s      0.321w     13 calls
| JK: D                             :      0.000u      0.000s      0.001w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     13 calls
| JK: JK                            :      0.517u      0.000s      0.318w     13 calls
| | DFH: compute_JK()               :      0.517u      0.000s      0.318w     13 calls
