
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:17:45 2020
Timers Off: Mon Sep 21 14:17:56 2020

Wall Time:       10.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.250u      0.017s      0.157w      3 calls
JK: (A|mn)                          :      0.050u      0.000s      0.028w      3 calls
JK: (A|Q)^-1/2                      :      0.217u      0.000s      0.130w      3 calls
JK: (Q|mn)                          :      0.000u      0.000s      0.002w      3 calls
JK: (A|mn)^L                        :      0.017u      0.000s      0.011w      3 calls
JK: (A|Q)^-1                        :      0.200u      0.000s      0.118w      3 calls
JK: (Q|mn)^L                        :      0.000u      0.000s      0.002w      3 calls
JK: (A|mn)^R                        :      0.017u      0.000s      0.016w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.074w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.433u      0.000s      0.260w      3 calls
SAD Guess                           :      0.400u      0.000s      0.244w      1 calls
HF: Form G                          :     10.033u      0.283s      6.182w     29 calls
RV: Form V                          :     10.000u      0.283s      6.148w     29 calls
Properties                          :      1.150u      0.050s      0.907w  23094 calls
Functional                          :      8.183u      0.167s      4.908w  23094 calls
V_xc                                :      1.467u      0.067s      0.878w  20930 calls
JK: D                               :      0.000u      0.000s      0.000w     29 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     29 calls
JK: JK                              :      0.033u      0.000s      0.031w     29 calls
JK: J                               :      0.000u      0.000s      0.002w     29 calls
JK: J1                              :      0.000u      0.000s      0.001w     29 calls
JK: J2                              :      0.000u      0.000s      0.000w     29 calls
JK: K                               :      0.000u      0.000s      0.008w     29 calls
JK: K1                              :      0.000u      0.000s      0.006w     29 calls
JK: K2                              :      0.000u      0.000s      0.002w     29 calls
JK: wK                              :      0.033u      0.000s      0.018w     58 calls
JK: wK1                             :      0.033u      0.000s      0.016w    116 calls
JK: wK2                             :      0.000u      0.000s      0.002w     58 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     29 calls
HF: Form F                          :      0.000u      0.000s      0.000w     29 calls
HF: Form D                          :      0.000u      0.000s      0.000w     29 calls
HF: DIIS                            :      0.050u      0.000s      0.032w     28 calls
DIISManager::add_entry              :      0.000u      0.000s      0.017w     26 calls
DIISManager::extrapolate            :      0.017u      0.000s      0.004w     26 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     26 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     26 calls
New vector                          :      0.017u      0.000s      0.001w     26 calls
HF: Form C                          :      0.000u      0.000s      0.003w     28 calls
Grad: V T Perturb                   :      0.050u      0.000s      0.035w      3 calls
Grad: S                             :      0.000u      0.000s      0.000w      3 calls
Grad: JK                            :      0.950u      0.017s      0.655w      3 calls
JKGrad: Amn                         :      0.133u      0.000s      0.084w      3 calls
JKGrad: Awmn                        :      0.100u      0.000s      0.051w      3 calls
JKGrad: AB                          :      0.183u      0.000s      0.116w      3 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      3 calls
JKGrad: ABx                         :      0.117u      0.000s      0.076w      3 calls
JKGrad: Amnx                        :      0.300u      0.000s      0.178w      3 calls
Grad: XC                            :      1.550u      0.017s      0.932w      3 calls
V_xc gradient                       :      0.450u      0.000s      0.220w   2164 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.250u      0.017s      0.157w      3 calls
JK: (A|mn)                          :      0.050u      0.000s      0.028w      3 calls
