
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:19:33 2020
Timers Off: Mon Sep 21 14:21:23 2020

Wall Time:      110.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.533u      0.050s      2.762w      3 calls
JK: (A|Q)^-1                        :      1.517u      0.150s      0.935w      3 calls
JK: (A|mn)                          :      1.950u      0.000s      1.168w      3 calls
JK: (Q|mn)                          :      1.617u      0.000s      0.965w      3 calls
JK: (Q|mn) Write                    :      0.000u      0.083s      0.057w      3 calls
JK: (A|mn)^L                        :      1.967u      0.000s      1.184w      3 calls
JK: (Q|mn)^L                        :      1.600u      0.000s      0.960w      3 calls
JK: (Q|mn)^L Write                  :      0.000u      0.083s      0.058w      3 calls
JK: (Q|mn)^R                        :      2.533u      0.000s      1.511w      3 calls
JK: (Q|mn)^R Write                  :      0.000u      0.133s      0.072w      3 calls
HF: Form core H                     :      0.000u      0.000s      0.079w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.010w      3 calls
HF: Guess                           :      0.517u      0.017s      0.312w      3 calls
SAD Guess                           :      0.483u      0.017s      0.298w      1 calls
HF: Form G                          :     94.867u      4.317s     59.987w     34 calls
RV: Form V                          :     79.567u      1.950s     48.926w     34 calls
Properties                          :     30.033u      0.783s     18.411w  87498 calls
Functional                          :     29.583u      0.683s     18.608w  87498 calls
V_xc                                :     29.017u      0.433s     17.114w  80402 calls
JK: D                               :      0.017u      0.000s      0.002w     34 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w     34 calls
JK: JK                              :     15.233u      2.367s     11.049w     34 calls
JK: (Q|mn) Read                     :      0.017u      0.550s      0.366w     68 calls
JK: J                               :      0.300u      0.017s      0.191w     68 calls
JK: J1                              :      0.117u      0.017s      0.102w     68 calls
JK: J2                              :      0.167u      0.000s      0.085w     68 calls
JK: K                               :      5.050u      0.000s      3.048w     68 calls
JK: K1                              :      3.700u      0.000s      2.186w     68 calls
JK: K2                              :      1.350u      0.000s      0.860w     68 calls
JK: (Q|mn)^L Read                   :      0.050u      0.650s      0.370w    102 calls
JK: (Q|mn)^R Read                   :      0.033u      0.517s      0.349w    102 calls
JK: wK                              :      9.000u      0.050s      5.473w    102 calls
JK: wK1                             :      7.567u      0.033s      4.584w    204 calls
JK: wK2                             :      1.433u      0.017s      0.885w    102 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     34 calls
HF: Form F                          :      0.017u      0.000s      0.002w     34 calls
HF: Form D                          :      0.000u      0.000s      0.002w     34 calls
HF: DIIS                            :      0.117u      0.017s      0.077w     33 calls
DIISManager::add_entry              :      0.017u      0.000s      0.020w     31 calls
DIISManager::extrapolate            :      0.033u      0.017s      0.018w     31 calls
bMatrix setup                       :      0.000u      0.017s      0.008w     31 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.003w     31 calls
New vector                          :      0.033u      0.000s      0.007w     31 calls
HF: Form C                          :      0.117u      0.000s      0.097w     33 calls
Grad: V T Perturb                   :      0.850u      0.000s      0.508w      3 calls
Grad: S                             :      0.017u      0.000s      0.006w      3 calls
Grad: JK                            :     33.183u      0.300s     20.702w      3 calls
JKGrad: Amn                         :      3.283u      0.017s      1.983w      3 calls
JKGrad: Awmn                        :      3.600u      0.017s      2.181w      3 calls
JKGrad: AB                          :      1.917u      0.050s      1.177w      3 calls
JKGrad: UV                          :      0.300u      0.033s      0.200w      3 calls
JKGrad: ABx                         :      0.450u      0.017s      0.261w      3 calls
JKGrad: Amnx                        :     23.433u      0.100s     14.137w      3 calls
Grad: XC                            :     15.567u      0.083s      9.388w      3 calls
V_xc gradient                       :      5.367u      0.050s      3.456w   7096 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.533u      0.050s      2.762w      3 calls
JK: (A|Q)^-1                        :      1.517u      0.150s      0.935w      3 calls
JK: (A|mn)                          :      1.950u      0.000s      1.168w      3 calls
JK: (Q|mn)                          :      1.617u      0.000s      0.965w      3 calls
