
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:43:10 2020
Timers Off: Mon Sep 21 14:43:30 2020

Wall Time:       19.49 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.617u      0.017s      0.374w      3 calls
JK: (A|mn)                          :      0.200u      0.000s      0.115w      3 calls
JK: (A|Q)^-1/2                      :      0.250u      0.017s      0.160w      3 calls
JK: (Q|mn)                          :      0.050u      0.000s      0.014w      3 calls
JK: (A|mn)^L                        :      0.100u      0.000s      0.055w      3 calls
JK: (A|Q)^-1                        :      0.250u      0.000s      0.157w      3 calls
JK: (Q|mn)^L                        :      0.050u      0.000s      0.014w      3 calls
JK: (A|mn)^R                        :      0.100u      0.000s      0.077w      3 calls
HF: Form core H                     :      0.000u      0.017s      0.078w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.550u      0.000s      0.332w      3 calls
SAD Guess                           :      0.533u      0.000s      0.320w      1 calls
HF: Form G                          :     19.383u      0.567s     11.946w     31 calls
RV: Form V                          :     18.983u      0.567s     11.732w     31 calls
Properties                          :      4.550u      0.117s      2.514w  36422 calls
Functional                          :     12.533u      0.367s      8.167w  36422 calls
V_xc                                :      3.517u      0.117s      2.141w  33207 calls
JK: D                               :      0.000u      0.000s      0.000w     31 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     31 calls
JK: JK                              :      0.400u      0.000s      0.210w     31 calls
JK: J                               :      0.000u      0.000s      0.008w     31 calls
JK: J1                              :      0.000u      0.000s      0.006w     31 calls
JK: J2                              :      0.000u      0.000s      0.002w     31 calls
JK: K                               :      0.150u      0.000s      0.068w     31 calls
JK: K1                              :      0.100u      0.000s      0.055w     31 calls
JK: K2                              :      0.050u      0.000s      0.013w     31 calls
JK: wK                              :      0.250u      0.000s      0.126w     62 calls
JK: wK1                             :      0.200u      0.000s      0.112w    124 calls
JK: wK2                             :      0.050u      0.000s      0.014w     62 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.001w     31 calls
HF: Form D                          :      0.000u      0.000s      0.000w     31 calls
HF: DIIS                            :      0.033u      0.000s      0.037w     30 calls
DIISManager::add_entry              :      0.000u      0.000s      0.017w     28 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.005w     28 calls
bMatrix setup                       :      0.000u      0.000s      0.002w     28 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     28 calls
New vector                          :      0.000u      0.000s      0.001w     28 calls
HF: Form C                          :      0.000u      0.000s      0.008w     30 calls
Grad: V T Perturb                   :      0.083u      0.000s      0.052w      3 calls
