
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:44:23 2020
Timers Off: Mon Sep 21 14:44:53 2020

Wall Time:       29.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      4.117u      0.133s      0.644w      3 calls
JK: (A|mn)                          :      4.333u      0.000s      0.648w      3 calls
JK: (A|Q)^-1/2                      :      4.450u      0.167s      0.692w      3 calls
JK: (Q|mn)                          :      1.200u      0.017s      0.186w      3 calls
JK: (A|mn)^L                        :      1.933u      0.000s      0.295w      3 calls
JK: (A|Q)^-1                        :      4.467u      0.117s      0.692w      3 calls
JK: (Q|mn)^L                        :      1.133u      0.033s      0.168w      3 calls
JK: (A|mn)^R                        :      2.550u      0.000s      0.383w      3 calls
HF: Form core H                     :      0.350u      0.017s      0.078w      3 calls
HF: Form S/X                        :      0.067u      0.017s      0.010w      3 calls
HF: Guess                           :      3.667u      0.267s      0.589w      3 calls
SAD Guess                           :      3.600u      0.250s      0.576w      1 calls
HF: Form G                          :     83.400u      1.400s     12.725w     35 calls
RV: Form V                          :     67.167u      1.083s     10.253w     35 calls
Properties                          :     13.658p                          71822 calls
Functional                          :     16.714p                          71822 calls
V_xc                                :     14.471p                          66152 calls
JK: D                               :      0.000u      0.000s      0.002w     35 calls
JK: USO2AO                          :      0.017u      0.000s      0.001w     35 calls
JK: JK                              :     16.200u      0.317s      2.462w     35 calls
JK: J                               :      0.600u      0.017s      0.090w     35 calls
JK: J1                              :      0.317u      0.017s      0.050w     35 calls
JK: J2                              :      0.283u      0.000s      0.037w     35 calls
JK: K                               :      5.117u      0.000s      0.773w     35 calls
JK: K1                              :      3.250u      0.000s      0.490w     35 calls
JK: K2                              :      1.850u      0.000s      0.281w     35 calls
JK: wK                              :      9.233u      0.217s      1.415w     70 calls
JK: wK1                             :      7.317u      0.183s      1.138w    140 calls
JK: wK2                             :      1.900u      0.033s      0.275w     70 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     35 calls
HF: Form F                          :      0.017u      0.000s      0.002w     35 calls
HF: Form D                          :      0.017u      0.000s      0.002w     35 calls
HF: DIIS                            :      0.367u      0.067s      0.069w     34 calls
DIISManager::add_entry              :      0.083u      0.033s      0.020w     32 calls
DIISManager::extrapolate            :      0.133u      0.000s      0.020w     32 calls
bMatrix setup                       :      0.050u      0.000s      0.011w     32 calls
bMatrix pseudoinverse               :      0.050u      0.000s      0.003w     32 calls
New vector                          :      0.033u      0.000s      0.007w     32 calls
HF: Form C                          :      0.583u      0.017s      0.094w     34 calls
Grad: V T Perturb                   :      1.667u      0.033s      0.258w      3 calls
Grad: S                             :      0.017u      0.000s      0.002w      3 calls
Grad: JK                            :     39.650u      0.717s      6.071w      3 calls
JKGrad: Amn                         :      5.100u      0.083s      0.778w      3 calls
JKGrad: Awmn                        :      4.683u      0.083s      0.710w      3 calls
JKGrad: AB                          :      5.000u      0.183s      0.781w      3 calls
JKGrad: UV                          :      0.550u      0.033s      0.087w      3 calls
JKGrad: ABx                         :      1.533u      0.067s      0.241w      3 calls
JKGrad: Amnx                        :     21.583u      0.167s      3.265w      3 calls
Grad: XC                            :     11.500u      0.067s      1.733w      3 calls
V_xc gradient                       :      2.513p                           5670 calls

--------------------------------------------------------------------------------------
V: Grid                             :      4.117u      0.133s      0.644w      3 calls
JK: (A|mn)                          :      4.333u      0.000s      0.648w      3 calls
JK: (A|Q)^-1/2                      :      4.450u      0.167s      0.692w      3 calls
JK: (Q|mn)                          :      1.200u      0.017s      0.186w      3 calls
JK: (A|mn)^L                        :      1.933u      0.000s      0.295w      3 calls
JK: (A|Q)^-1                        :      4.467u      0.117s      0.692w      3 calls
JK: (Q|mn)^L                        :      1.133u      0.033s      0.168w      3 calls
JK: (A|mn)^R                        :      2.550u      0.000s      0.383w      3 calls
HF: Form core H                     :      0.350u      0.017s      0.078w      3 calls
HF: Form S/X                        :      0.067u      0.017s      0.010w      3 calls
HF: Guess                           :      3.667u      0.267s      0.589w      3 calls
| SAD Guess                         :      3.600u      0.250s      0.576w      1 calls
HF: Form G                          :     83.400u      1.400s     12.725w     35 calls
| RV: Form V                        :     67.167u      1.083s     10.253w     35 calls
| | Properties                      :     10.648p                          66152 calls
| | Functional                      :     15.406p                          66152 calls
| | V_xc                            :     14.471p                          66152 calls
| JK: D                             :      0.000u      0.000s      0.002w     35 calls
| JK: USO2AO                        :      0.017u      0.000s      0.001w     35 calls
| JK: JK                            :     16.200u      0.317s      2.462w     35 calls
| | JK: J                           :      0.600u      0.017s      0.090w     35 calls
| | | JK: J1                        :      0.317u      0.017s      0.050w     35 calls
| | | JK: J2                        :      0.283u      0.000s      0.037w     35 calls
| | JK: K                           :      5.117u      0.000s      0.773w     35 calls
| | | JK: K1                        :      3.250u      0.000s      0.490w     35 calls
| | | JK: K2                        :      1.850u      0.000s      0.281w     35 calls
| | JK: wK                          :      9.233u      0.217s      1.415w     70 calls
| | | JK: wK1                       :      7.317u      0.183s      1.138w    140 calls
| | | JK: wK2                       :      1.900u      0.033s      0.275w     70 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     35 calls
HF: Form F                          :      0.017u      0.000s      0.002w     35 calls
HF: Form D                          :      0.017u      0.000s      0.002w     35 calls
HF: DIIS                            :      0.367u      0.067s      0.069w     34 calls
| DIISManager::add_entry            :      0.083u      0.033s      0.020w     32 calls
| DIISManager::extrapolate          :      0.133u      0.000s      0.020w     32 calls
| | bMatrix setup                   :      0.050u      0.000s      0.011w     32 calls
| | bMatrix pseudoinverse           :      0.050u      0.000s      0.003w     32 calls
| | New vector                      :      0.033u      0.000s      0.007w     32 calls
HF: Form C                          :      0.583u      0.017s      0.094w     34 calls
Grad: V T Perturb                   :      1.667u      0.033s      0.258w      3 calls
Grad: S                             :      0.017u      0.000s      0.002w      3 calls
Grad: JK                            :     39.650u      0.717s      6.071w      3 calls
| JKGrad: Amn                       :      5.100u      0.083s      0.778w      3 calls
| JKGrad: Awmn                      :      4.683u      0.083s      0.710w      3 calls
| JKGrad: AB                        :      5.000u      0.183s      0.781w      3 calls
| JKGrad: UV                        :      0.550u      0.033s      0.087w      3 calls
| JKGrad: ABx                       :      1.533u      0.067s      0.241w      3 calls
| JKGrad: Amnx                      :     21.583u      0.167s      3.265w      3 calls
Grad: XC                            :     11.500u      0.067s      1.733w      3 calls
| Properties                        :      3.009p                           5670 calls
| Functional                        :      1.308p                           5670 calls
| V_xc gradient                     :      2.513p                           5670 calls

**************************************************************************************

Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:45:53 2020
Timers Off: Mon Sep 21 14:45:57 2020

Wall Time:        4.50 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.000s      0.046w      1 calls
DFH: initialize()                   :      4.000u      0.150s      0.623w      1 calls
DFH: AO Construction                :      1.217u      0.017s      0.185w      1 calls
DFH: AO-Met. Contraction            :      1.033u      0.050s      0.163w      1 calls
HF: Form core H                     :      0.117u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.006w      1 calls
HF: Guess                           :      3.800u      0.300s      0.613w      1 calls
SAD Guess                           :      3.717u      0.283s      0.600w      1 calls
HF: Form G                          :      3.183u      0.050s      0.488w     13 calls
JK: D                               :      0.017u      0.000s      0.001w     13 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     13 calls
JK: JK                              :      3.150u      0.050s      0.483w     13 calls
DFH: compute_JK()                   :      3.150u      0.050s      0.483w     13 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     13 calls
DFH: compute_J                      :      0.500u      0.033s      0.078w     13 calls
DFH: compute_K                      :      2.650u      0.017s      0.403w     13 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.002w     13 calls
HF: Form D                          :      0.017u      0.000s      0.001w     13 calls
HF: DIIS                            :      0.217u      0.050s      0.039w     12 calls
DIISManager::add_entry              :      0.033u      0.017s      0.011w     12 calls
DIISManager::extrapolate            :      0.100u      0.017s      0.012w     12 calls
bMatrix setup                       :      0.033u      0.000s      0.006w     12 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     12 calls
New vector                          :      0.067u      0.017s      0.005w     12 calls
HF: Form C                          :      0.383u      0.050s      0.062w     12 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      3.500u      0.133s      0.547w      1 calls
DFMP2 (A|mn)                        :      2.117u      0.000s      0.320w      1 calls
DFMP2 (A|mn)C_mi                    :      0.100u      0.000s      0.015w      1 calls
DFMP2 (A|mi)C_na                    :      0.050u      0.000s      0.008w      1 calls
DFMP2 Aia Write                     :      0.033u      0.017s      0.007w      1 calls
DFMP2 Qia                           :      1.867u      0.100s      0.296w      1 calls
DFMP2 Metric                        :      1.567u      0.067s      0.245w      1 calls
DFMP2 Aia Read                      :      0.017u      0.000s      0.005w      1 calls
DFMP2 (Q|A)(A|ia)                   :      0.183u      0.000s      0.026w      1 calls
DFMP2 Qia Write                     :      0.017u      0.017s      0.006w      1 calls
DFMP2 Energy                        :      0.417u      0.033s      0.069w      1 calls
DFMP2 Qia Read                      :      0.033u      0.000s      0.005w      2 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.000s      0.046w      1 calls
DFH: initialize()                   :      4.000u      0.150s      0.623w      1 calls
| DFH: AO Construction              :      1.217u      0.017s      0.185w      1 calls
| DFH: AO-Met. Contraction          :      1.033u      0.050s      0.163w      1 calls
HF: Form core H                     :      0.117u      0.017s      0.025w      1 calls
HF: Form S/X                        :      0.033u      0.000s      0.006w      1 calls
HF: Guess                           :      3.800u      0.300s      0.613w      1 calls
| SAD Guess                         :      3.717u      0.283s      0.600w      1 calls
HF: Form G                          :      3.183u      0.050s      0.488w     13 calls
| JK: D                             :      0.017u      0.000s      0.001w     13 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     13 calls
| JK: JK                            :      3.150u      0.050s      0.483w     13 calls
| | DFH: compute_JK()               :      3.150u      0.050s      0.483w     13 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     13 calls
| | | DFH: compute_J                :      0.500u      0.033s      0.078w     13 calls
| | | DFH: compute_K                :      2.650u      0.017s      0.403w     13 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     13 calls
HF: Form F                          :      0.033u      0.000s      0.002w     13 calls
HF: Form D                          :      0.017u      0.000s      0.001w     13 calls
HF: DIIS                            :      0.217u      0.050s      0.039w     12 calls
| DIISManager::add_entry            :      0.033u      0.017s      0.011w     12 calls
| DIISManager::extrapolate          :      0.100u      0.017s      0.012w     12 calls
| | bMatrix setup                   :      0.033u      0.000s      0.006w     12 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.001w     12 calls
| | New vector                      :      0.067u      0.017s      0.005w     12 calls
HF: Form C                          :      0.383u      0.050s      0.062w     12 calls
DFMP2 Singles                       :      0.000u      0.000s      0.001w      1 calls
DFMP2 Aia                           :      3.500u      0.133s      0.547w      1 calls
| DFMP2 (A|mn)                      :      2.117u      0.000s      0.320w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.100u      0.000s      0.015w      1 calls
| DFMP2 (A|mi)C_na                  :      0.050u      0.000s      0.008w      1 calls
| DFMP2 Aia Write                   :      0.033u      0.017s      0.007w      1 calls
DFMP2 Qia                           :      1.867u      0.100s      0.296w      1 calls
| DFMP2 Metric                      :      1.567u      0.067s      0.245w      1 calls
| DFMP2 Aia Read                    :      0.017u      0.000s      0.005w      1 calls
| DFMP2 (Q|A)(A|ia)                 :      0.183u      0.000s      0.026w      1 calls
