
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:45:44 2020
Timers Off: Mon Sep 21 14:46:07 2020

Wall Time:       22.98 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.850u      0.033s      0.526w      3 calls
JK: (A|mn)                          :      0.267u      0.000s      0.152w      3 calls
JK: (A|Q)^-1/2                      :      0.283u      0.000s      0.179w      3 calls
JK: (Q|mn)                          :      0.033u      0.000s      0.021w      3 calls
JK: (A|mn)^L                        :      0.150u      0.000s      0.072w      3 calls
JK: (A|Q)^-1                        :      0.283u      0.000s      0.179w      3 calls
JK: (Q|mn)^L                        :      0.017u      0.000s      0.020w      3 calls
JK: (A|mn)^R                        :      0.183u      0.000s      0.102w      3 calls
HF: Form core H                     :      0.000u      0.017s      0.075w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.567u      0.000s      0.345w      3 calls
SAD Guess                           :      0.550u      0.000s      0.332w      1 calls
HF: Form G                          :     23.150u      0.550s     14.215w     31 calls
RV: Form V                          :     22.717u      0.550s     13.960w     31 calls
Properties                          :      4.750u      0.117s      3.090w  41710 calls
Functional                          :     14.983u      0.367s      9.531w  41710 calls
V_xc                                :      4.967u      0.100s      2.665w  38031 calls
JK: D                               :      0.000u      0.000s      0.000w     31 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     31 calls
JK: JK                              :      0.433u      0.000s      0.252w     31 calls
JK: J                               :      0.017u      0.000s      0.010w     31 calls
JK: J1                              :      0.017u      0.000s      0.007w     31 calls
JK: J2                              :      0.000u      0.000s      0.002w     31 calls
JK: K                               :      0.217u      0.000s      0.088w     31 calls
JK: K1                              :      0.167u      0.000s      0.072w     31 calls
JK: K2                              :      0.050u      0.000s      0.015w     31 calls
JK: wK                              :      0.200u      0.000s      0.146w     93 calls
JK: wK1                             :      0.183u      0.000s      0.129w    186 calls
JK: wK2                             :      0.000u      0.000s      0.016w     93 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.001w     31 calls
HF: Form D                          :      0.000u      0.000s      0.000w     31 calls
HF: DIIS                            :      0.017u      0.017s      0.037w     30 calls
DIISManager::add_entry              :      0.000u      0.000s      0.017w     28 calls
DIISManager::extrapolate            :      0.000u      0.017s      0.005w     28 calls
bMatrix setup                       :      0.000u      0.000s      0.002w     28 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     28 calls
New vector                          :      0.000u      0.017s      0.001w     28 calls
HF: Form C                          :      0.033u      0.000s      0.009w     30 calls
Grad: V T Perturb                   :      0.100u      0.000s      0.062w      3 calls
Grad: S                             :      0.000u      0.000s      0.001w      3 calls
Grad: JK                            :      2.433u      0.017s      1.547w      3 calls
JKGrad: Amn                         :      0.250u      0.000s      0.149w      3 calls
JKGrad: Awmn                        :      0.233u      0.000s      0.142w      3 calls
JKGrad: AB                          :      0.300u      0.000s      0.187w      3 calls
JKGrad: UV                          :      0.017u      0.000s      0.007w      3 calls
JKGrad: ABx                         :      0.183u      0.017s      0.104w      3 calls
JKGrad: Amnx                        :      1.317u      0.000s      0.803w      3 calls
Grad: XC                            :      3.867u      0.050s      2.339w      3 calls
V_xc gradient                       :      1.250u      0.000s      0.682w   3679 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.850u      0.033s      0.526w      3 calls
JK: (A|mn)                          :      0.267u      0.000s      0.152w      3 calls
JK: (A|Q)^-1/2                      :      0.283u      0.000s      0.179w      3 calls
JK: (Q|mn)                          :      0.033u      0.000s      0.021w      3 calls
JK: (A|mn)^L                        :      0.150u      0.000s      0.072w      3 calls
JK: (A|Q)^-1                        :      0.283u      0.000s      0.179w      3 calls
JK: (Q|mn)^L                        :      0.017u      0.000s      0.020w      3 calls
JK: (A|mn)^R                        :      0.183u      0.000s      0.102w      3 calls
HF: Form core H                     :      0.000u      0.017s      0.075w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      0.567u      0.000s      0.345w      3 calls
| SAD Guess                         :      0.550u      0.000s      0.332w      1 calls
HF: Form G                          :     23.150u      0.550s     14.215w     31 calls
| RV: Form V                        :     22.717u      0.550s     13.960w     31 calls
| | Properties                      :      3.433u      0.067s      2.300w  38031 calls
| | Functional                      :     13.750u      0.367s      8.696w  38031 calls
| | V_xc                            :      4.967u      0.100s      2.665w  38031 calls
| JK: D                             :      0.000u      0.000s      0.000w     31 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     31 calls
| JK: JK                            :      0.433u      0.000s      0.252w     31 calls
| | JK: J                           :      0.017u      0.000s      0.010w     31 calls
| | | JK: J1                        :      0.017u      0.000s      0.007w     31 calls
| | | JK: J2                        :      0.000u      0.000s      0.002w     31 calls
| | JK: K                           :      0.217u      0.000s      0.088w     31 calls
| | | JK: K1                        :      0.167u      0.000s      0.072w     31 calls
| | | JK: K2                        :      0.050u      0.000s      0.015w     31 calls
| | JK: wK                          :      0.200u      0.000s      0.146w     93 calls
| | | JK: wK1                       :      0.183u      0.000s      0.129w    186 calls
| | | JK: wK2                       :      0.000u      0.000s      0.016w     93 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     31 calls
HF: Form F                          :      0.000u      0.000s      0.001w     31 calls
HF: Form D                          :      0.000u      0.000s      0.000w     31 calls
HF: DIIS                            :      0.017u      0.017s      0.037w     30 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.017w     28 calls
