
Host: node37.bme.utexas.edu

Timers On : Mon Sep 21 14:49:07 2020
Timers Off: Mon Sep 21 14:51:10 2020

Wall Time:      122.86 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :     22.333u      0.583s      3.455w      6 calls
JK: (A|mn)                          :     22.133u      0.033s      3.325w      6 calls
JK: (A|Q)^-1/2                      :     12.833u      0.417s      1.981w      6 calls
JK: (Q|mn)                          :      8.350u      0.067s      1.260w      6 calls
JK: (A|mn)^L                        :      9.633u      0.067s      1.455w      6 calls
JK: (A|Q)^-1                        :     12.833u      0.350s      1.978w      6 calls
JK: (Q|mn)^L                        :      8.050u      0.067s      1.219w      6 calls
JK: (A|mn)^R                        :     12.300u      0.033s      1.856w      6 calls
HF: Form core H                     :      1.550u      0.150s      0.758w      6 calls
HF: Form S/X                        :      0.200u      0.017s      0.027w      6 calls
HF: Guess                           :      7.567u      0.467s      1.204w      6 calls
SAD Guess                           :      7.417u      0.417s      1.176w      2 calls
HF: Form G                          :    383.683u      7.750s     58.706w     73 calls
RV: Form V                          :    247.800u      4.767s     37.860w     73 calls
Properties                          :     57.386p                         224945 calls
Functional                          :     53.846p                         224945 calls
V_xc                                :     55.976p                         207863 calls
JK: D                               :      0.067u      0.000s      0.009w     73 calls
JK: USO2AO                          :      0.017u      0.000s      0.005w     73 calls
JK: JK                              :    135.750u      2.950s     20.813w     73 calls
JK: J                               :      3.250u      0.117s      0.510w     73 calls
JK: J1                              :      1.867u      0.117s      0.288w     73 calls
JK: J2                              :      1.383u      0.000s      0.215w     73 calls
JK: K                               :     54.300u      0.183s      8.173w     73 calls
JK: K1                              :     43.567u      0.133s      6.556w     73 calls
JK: K2                              :     10.733u      0.050s      1.613w     73 calls
JK: wK                              :     69.883u      0.867s     10.617w    146 calls
JK: wK1                             :     58.800u      0.767s      8.962w    292 calls
JK: wK2                             :     10.983u      0.100s      1.648w    146 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     73 calls
HF: Form F                          :      0.033u      0.000s      0.006w     73 calls
HF: Form D                          :      0.000u      0.000s      0.004w     73 calls
HF: DIIS                            :      1.017u      0.083s      0.181w     71 calls
DIISManager::add_entry              :      0.283u      0.050s      0.048w     67 calls
DIISManager::extrapolate            :      0.317u      0.033s      0.057w     67 calls
bMatrix setup                       :      0.117u      0.017s      0.026w     67 calls
bMatrix pseudoinverse               :      0.017u      0.000s      0.005w     67 calls
New vector                          :      0.183u      0.017s      0.024w     67 calls
HF: Form C                          :      1.750u      0.117s      0.278w     71 calls
Grad: V T Perturb                   :      4.883u      0.133s      0.754w      6 calls
Grad: S                             :      0.067u      0.000s      0.007w      6 calls
Grad: JK                            :    170.433u      3.917s     26.527w      6 calls
JKGrad: Amn                         :     19.483u      0.667s      3.134w      6 calls
JKGrad: Awmn                        :     20.917u      0.633s      3.234w      6 calls
JKGrad: AB                          :     15.100u      0.700s      2.365w      6 calls
JKGrad: UV                          :      2.883u      0.200s      0.466w      6 calls
JKGrad: ABx                         :      3.733u      0.217s      0.588w      6 calls
JKGrad: Amnx                        :    105.367u      1.200s     16.225w      6 calls
Grad: XC                            :     45.733u      0.183s      6.891w      6 calls
V_xc gradient                       :     10.133p                          17082 calls

--------------------------------------------------------------------------------------
V: Grid                             :     22.333u      0.583s      3.455w      6 calls
JK: (A|mn)                          :     22.133u      0.033s      3.325w      6 calls
JK: (A|Q)^-1/2                      :     12.833u      0.417s      1.981w      6 calls
JK: (Q|mn)                          :      8.350u      0.067s      1.260w      6 calls
JK: (A|mn)^L                        :      9.633u      0.067s      1.455w      6 calls
JK: (A|Q)^-1                        :     12.833u      0.350s      1.978w      6 calls
JK: (Q|mn)^L                        :      8.050u      0.067s      1.219w      6 calls
JK: (A|mn)^R                        :     12.300u      0.033s      1.856w      6 calls
HF: Form core H                     :      1.550u      0.150s      0.758w      6 calls
HF: Form S/X                        :      0.200u      0.017s      0.027w      6 calls
HF: Guess                           :      7.567u      0.467s      1.204w      6 calls
| SAD Guess                         :      7.417u      0.417s      1.176w      2 calls
HF: Form G                          :    383.683u      7.750s     58.706w     73 calls
| RV: Form V                        :    247.800u      4.767s     37.860w     73 calls
| | Properties                      :     44.287p                         207863 calls
| | Functional                      :     49.801p                         207863 calls
| | V_xc                            :     55.976p                         207863 calls
| JK: D                             :      0.067u      0.000s      0.009w     73 calls
| JK: USO2AO                        :      0.017u      0.000s      0.005w     73 calls
