Name,Boiling Point (F),Boiling Point (K),Compare Temp,Temperature (K),Pressure (atm),Density (Kg/m^3),Enthalpy (kJ/mol),Heat Capacity (Isobaric J/mol.K),Heat Capacity (Isobaric cal/mol.K),Reference,HFE (kcal/mol),Amoeba09 HFE (kcal/mol)
,,,,,,,,,,,,
CH3I,108.41,315.6,105.6,210,1,2503.8,31.284,,,DIPPR,-0.9,
CH3I,108.41,315.6,95.6,220,1,2478,30.94,,,DIPPR,-0.9,
CH3I,108.41,315.6,85.6,230,1,2451.9,30.594,,,DIPPR,-0.9,
CH2I2,359.6,455.15,155.15,300,1,3301.5,50.703,,,DIPPR,-2.49,
CH2I2,359.6,455.15,140.15,315,1,3265.7,49.654,,,DIPPR,-2.49,
CH2I2,359.6,455.15,157.15,298,1,3306.2,50.843,,,DIPPR,-2.49,
CF4,-198.49,145.1,55.1,90,1,1864.8,14.196,,,DIPPR,3.1,
CF4,-198.49,145.1,45.1,100,1,1821.3,13.775,,,DIPPR,3.1,
CF4,-198.49,145.1,35.1,110,1,1776.4,13.358,,,DIPPR,3.1,
CH3F,-108.99,194.8222222,60.82222222,134,1,994.03,18.85,,,DIPPR,-0.22,
CH3F,-108.99,194.8222222,50.82222222,144,1,976.18,18.624,,,DIPPR,-0.22,
CH3F,-108.99,194.8222222,40.82222222,154,1,957.91,18.367,,,DIPPR,-0.22,
CH2F2,-60.97,221.5,61.5,160,1,1371.7,22.903,,,DIPPR,-2.808635646,
CH2F2,-60.97,221.5,51.5,170,1,1347.6,22.438,,,DIPPR,-2.808635646,
CH2F2,-60.97,221.5,41.5,180,1,1323,21.976,,,DIPPR,-2.808635646,
CHF3,-115.71,191.0888889,70.08888889,121,1,1675,20.083,,,DIPPR,0.8,
CHF3,-115.71,191.0888889,60.08888889,131,1,1644.5,19.671,,,DIPPR,0.8,
CHF3,-115.71,191.0888889,50.08888889,141,1,1613.4,19.243,,,DIPPR,0.8,
CH3Cl,169.95,349.7888889,49.78888889,300,1,907.12,19.207,,,DIPPR,-0.55,
CH3Cl,169.95,349.7888889,64.78888889,285,1,937.32,20.055,,,DIPPR,-0.55,
CH3Cl,169.95,349.7888889,46.78888889,303,1,900.87,19.027,,,DIPPR,-0.55,
CH2Cl2,103.55,312.9,72.9,240,1,1423.5,32.299,,,DIPPR,-1.36,
CH2Cl2,103.55,312.9,62.9,250,1,1406.1,31.739,,,DIPPR,-1.36,
CH2Cl2,103.55,312.9,52.9,260,1,1388.4,31.179,,,DIPPR,-1.36,
CHCl3,142.12,334.3277778,34.32777778,300,1,1479.4,31.289,,,DIPPR,-1.07,
CHCl3,142.12,334.3277778,49.32777778,285,1,1506.9,32.133,,,DIPPR,-1.07,
CHCl3,142.12,334.3277778,19.32777778,315,1,1451.2,30.447,,,DIPPR,-1.07,
CCl4,169.95,349.7888889,49.78888889,300,1,1580.1,32.334,,,DIPPR,0.1,
CCl4,169.95,349.7888889,34.78888889,315,1,1552.3,31.568,,,DIPPR,0.1,
CCl4,169.95,349.7888889,64.78888889,285,1,1607.3,33.083,,,DIPPR,0.1,
CHBr3,300.56,422.35,122.35,300,1,2871.4,44.03,,,DIPPR,-2,
CHBr3,300.56,422.35,107.35,315,1,2832.6,43.338,,,DIPPR,-2,
CHBr3,300.56,422.35,124.35,298,1,2876.5,44.12,,,DIPPR,-2,
CH2Br2,206.51,370.1,70.1,300,1,2477.2,37.227,,,DIPPR,-2,
CH2Br2,206.51,370.1,55.1,315,1,2438.7,36.408,,,DIPPR,-2,
CH2Br2,206.51,370.1,85.1,285,1,2514.9,38.06,,,DIPPR,-2,
