#CFlux-bond j parameters. Unit: e/A
cflux-b     -0.03029          OW           HW
cflux-b     -0.00104         C34           HC
cflux-b     -0.00014        N3H3           HN
cflux-b      0.00043         C3*           N3
cflux-b     -0.00064          N3           HN
cflux-b     -0.07170         C3*           HC
cflux-b      0.24098         C3*           OH
cflux-b     -0.08865          OH           HO
cflux-b      0.11773         C3*          CON
cflux-b      0.27676         CON         NC=O
cflux-b      0.41602         CON          O=C
cflux-b     -0.00047         C3*         NC=O
cflux-b      0.00066        NC=O           HN
cflux-b      0.00032         C3*         CO=O
cflux-b      0.19497        CO=O          OCO
cflux-b      0.26359        CO=O          O=C
cflux-b     -0.00077         OCO           HO
cflux-b      0.00015       c=On1        n2c=O
cflux-b     -0.00015     c=On1n1        n2c=O
cflux-b     -0.00906       n2c=O           Hn
cflux-b      0.00051       c=On1         ccco
cflux-b      0.15039       c=On1          Oar
cflux-b      0.00020       c1cn1         ccco
cflux-b     -0.00039        ccco           Hc
cflux-b     -0.00043       c1cn1         nc=O
cflux-b     -0.05746       c1cn1           Hc
cflux-b      0.00034     c=On1n1         nc=O
cflux-b     -0.02222        nc=O           Hn
cflux-b      0.30277     c=On1n1          Oar
cflux-b     -0.09833         ccn           n0
cflux-b      0.00000         ccn          car
cflux-b     -0.01610         ccn           Hc
cflux-b      0.00033         car          car
cflux-b     -0.12258         car           Hc
cflux-b      0.00000         C2C          C2C
cflux-b     -0.00080         C2C           HC
cflux-b      0.00978         C3*          C3*
cflux-b     -0.00089        C3R5           HC
cflux-b      0.00000        C3R5         C3R5
cflux-b      0.00046         C3*           S3
cflux-b     -0.13206          S3           HS
cflux-b     -0.00052         C3*           S2
cflux-b     -0.34473          S2          O=S
cflux-b      0.00037         car            F
cflux-b      0.00018         car           Cl
cflux-b      0.00023         car           Br
cflux-b      0.00007         C3*          SC2
cflux-b      0.00000         ccn      c1cn1r5
cflux-b      0.05194     c1cn1r5           n1
cflux-b     -0.00027     c1cn1r5           Hc
cflux-b     -0.00579          n1       cnn1r5
