 He  "Helium Atom He" % [#2] % 1       
 Ne  "Neon Atom Ne"   % [#10] % 1      
 Ar  "Argon Atom Ar"  % [#18] % 1      
 Kr  "Krypton Atom Kr"% [#36] % 1     
 Xe  "Xenon Atom Xe"  % [#54] % 1      
 Li+ "Lithium Ion Li+"% [#3+] % 1      
 Na+ "Sodium Ion Na+" % [Na+] % 1               
 K+  "Potassium Ion K+" % [K+] % 1               
 Rb+ "Rubidium Ion Rb+" % [Rb+] % 1             
 Cs+ "Cesium Ion Cs+"   % [Cs+] % 1             
 Mg+ "Magnesium Ion Mg+2" % [Mg2+] % 1            
 Ca+ "Calcium Ion Ca+2" % [Ca+2] % 1              
 Zn+ "Zinc Ion Zn+2" % [Zn+2] % 1                
 F-  "Fluoride Ion F-" % [F-] % 1               
 Cl- "Chloride Ion Cl-" % [Cl-] % 1             
 Br- "Bromide Ion Br-"  % [Br-] % 1             
 I-  "Iodide Ion I-"    % [I-] % 1              
 C   "Cyanide Ion C"    % [C-]#[N] % 1             
 N   "Cyanide Ion N"    % [C-]#[N] % 2
 B   "Tetrafluoroborate B" % [#9]-[#5-](-[#9])(-[#9])-[#9] % 2 
 F   "Tetrafluoroborate F" % [#9]-[#5-](-[#9])(-[#9])-[#9] % 1 
 P   "Hexafluorophosphate P" % [#15-](-[#9])(-[#9])(-[#9])(-[#9])(-[#9])-[#9] % 1  
 F   "Hexafluorophosphate F" % [#15-](-[#9])(-[#9])(-[#9])(-[#9])(-[#9])-[#9] % 2 
 N   "Dinitrogen N2"    % [N]#[N]% 1 
 C   "Methane CH4" % [#6](-[H])(-[H])(-[H])-[H] % 1  
 H   "Methane H4C" % [#6](-[H])(-[H])(-[H])-[H] % 2
 C   "Ethane CH3" % [#6](-[#6](-[H])(-[H])-[H])(-[H])(-[H])-[H] % 1    
 H   "Ethane H3C" % [#6](-[#6](-[H])(-[H])-[H])(-[H])(-[H])-[H] % 3   
 C   "Alkane CH3-" %  [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 1
 C   "Alkane CH3-" %  [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 5
 H   "Alkane H3C-"  %  [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 2
 H   "Alkane H3C-"  %  [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 6
 C   "Alkane CH3-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 1
 C   "Alkane CH3-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 8
 C   "Alkane -CH2-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 5
 H   "Alkane H3C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 2
 H   "Alkane H3C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 9
 H   "Alkane -H2C-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 6
 C   "Alkane CH3-" % [#6](-[H])(-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])(-[H]) % 1
