#
# This file should be used together with amoebaVdw.prm in prm directory
# Vdw parameters for small organic molecules are taken from amoeba09.prm
# GEN: generated/generic types, Class_000: wild types
# DEV: developed types
# Chengwen Liu
# Sep 2025
#
## Noble gas
[$([He])]           		 																								    A09_Class_001_He		# Helium  						 
[$([Ne])]           		 																								    A09_Class_002_Ne		# Neon    						 
[$([Ar])]           		 																								    A09_Class_003_Ar		# Argon   						 
[$([Kr])]           		 																								    A09_Class_004_Kr		# Krypton 						 
[$([Xe])]           		 																								    A09_Class_005_Xe		# Xenon   						 
## Cation
[$([Li+])]              																								    A09_Class_006_Li+		# Lithium Ion Li+      
[$([Na+])]              																								    A09_Class_007_Na+		# Sodium Ion Na+       
[$([K+])]               																								    A09_Class_008_K+		# Potassium Ion K+     
[$([Rb+])]              																								    A09_Class_009_Rb+		# Rubidium Ion Rb+     
[$([Cs+])]              																								    A09_Class_010_Cs+		# Cesium Ion Cs+       
[$([Be++])]             																								    A09_Class_011_Be++	# Beryllium Ion Be+2   
[$([Mg++])]             																								    A09_Class_012_Mg++	# Magnesium Ion Mg+2   
[$([Ca++])]             																								    A09_Class_013_Ca++	# Calcium Ion Ca+2     
[$([Sr++])]             																								    A09_Class_014_Sr++	# Strontium Ion Sr+2   
[$([Ba++])]             																								    A09_Class_015_Ba++	# Barium Ion Ba+2      
[$([Zn++])]             																								    A09_Class_016_Zn++	# Zinc Ion Zn+2        
## Anion
[$([F-])]               																								    A09_Class_017_F-		# Fluoride Ion F-      
[$([Cl-])]              																								    A09_Class_018_Cl-		# Chloride Ion Cl-     
[$([Br-])]              																								    A09_Class_019_Br-		# Bromide Ion Br-      
[$([I-])]               																								    A09_Class_020_I-		# Iodide Ion I-        
## Hydrogen
[$([H][*])]                                                            		 GEN_Class_000_H     # Wild Hydrogen
[$([H][CX4H4])]                                                            A09_Class_029_H     # Methane H4C
[$([H][CX4H1])]                                                            A09_Class_035_H     # Alkane -HC<
[$([H][CX4H1][O][H])]                                                      A09_Class_042_H     # isoPropanol >CH-
[$([H][CX4H2])]                                                            A09_Class_033_H     # Alkane -H2C-
[$([H][CX4H2][O][H])]                                                      A09_Class_042_H     # Ethanol H2C
[$([H][CX4H2][CX4H2][OH])]                                                 A09_Class_045_H     # Propanol Me-CH2
[$([H][CX4H2][CX4H2][NX3H2])]                                              A09_Class_045_H     # Propyl Amine Me-CH2
[$([H][CX4H2][C](=O)[NX3H2])]                                              A09_Class_045_H     # Propamide Me-CH2
[$([H][CX4H2][CX4H2][SX4])]                                                A09_Class_045_H     # Propyl Sulfonate Me-CH2
[$([H][CX4H2][NX3H2])]                                                     A09_Class_054_H     # Ethyl Amine H2C
[$([H][CX4H2][SX2][#1,#6])]                                                A09_Class_073_H     # H2C-S
[$([H][CX4H2][c]1[c][n][c][nH]1)]                                          A09_Class_044_H     # 4-Ethylimidazole H2C
[$([H][CX4H2][c]1[c][nH][c]2[c][c][c][c][c]12)]                            A09_Class_044_H     # 3-Ethylindole H2C
[$([H][CX4H3])]                                                            A09_Class_031_H     # H3C in General
