# smartsString classNumber className # comments
# Format:
#   smarts_line    general_index   atom_type_index  atom_type_shortname # description
# e.g.  [H]*              1               1                H*            # H*, wild matching Hydrogen
#   [H][NX4]             26              26                H+            # H+, H on NH4+, R-NH3+, R2-NH2+, R3-NH+
#   [H][N]=[C](N)[N]     27              26                H+            # H+, H on Guandinium, Imidazolium
#   [H][N]-[C](=N)[N]    28              26                H+            # H+, H on Guandinium, Imidazolium
#
#
# The last matching type will be assigned to the atom in the molecule.
#

# Wild matching
[H]*                                                   1     1         H* #          H*, wild matching Hydrogen
[C]*                                                   2     2         C* #          C*, wild matching Carbon
[c]*                                                   3     3         c* #          c*, wild matching Carbon (aromatic)
[N]*                                                   4     4         N* #          N*, wild matching Nitrogen
[n]*                                                   5     5         n* #          N*, wild matching Nitrogen (aromatic)
[O]*                                                   6     6         O* #          O*, wild matching Oxygen
[o]*                                                   7     7         o* #          o*, wild matching oxygen (aromatic)
[P]*                                                   8     8         P* #          P*, wild matching Phosphor
[S]*                                                   9     9         S* #          S*, wild matching Sulphur 
[s]*                                                  10    10         s* #          s*, wild matching sulphur (aromatic)
[F]*                                                  11    11          F #          F*, wild matching Fluorine
[Cl]*                                                 12    12         Cl #         Cl*, wild matching Chlorine
[Br]*                                                 13    13         Br #         Br*, wild matching Bromine
[I]*                                                  14    14          I #         I*, wild matching Iodine

# Water(reserved)
[OH2]                                                 15    15         OW #         OW: O on Water 
[H][OH2]                                              16    16         HW #         HW: H on Water

# Hydrogen
# Hydrogen types for 16-19 are detailed classifications of HC (16), for valence parameters, the parameters are combined 
# into the 20.
[H][OH1]                                              17    17         HO #                   HO, H on Oxygen 
[H][C]                                                18    18         HC #                   HC, H on carbon 
[H][CH]                                               19    19        HCH #                  HCH, H on sp3 carbon, -CH-
[H][CH2]                                              20    20       HCH2 #                 HCH2, H on sp3 carbon, -CH2-
[H][CH3]                                              21    21       HCH3 #                 HCH3, H on sp3 carbon, -CH3
[H][C]=[C,N,O]                                        22    22        HC2 #                  HC2, H on sp2 carbon
[H][c]                                                23    23         Hc #                   HC, H on aromatic carbon 
[H][N]                                                24    24         HN #                   HN, H on Nitrogen 
[H][S]                                                25    25         HS #                   HS, H on Sulfur
[H][P]                                                26    26         HP #                   HP, H on Phosphor 
[H][NX4]                                              27    27         H+ #                   H+, H on NH4+, R-NH3+, R2-NH2+, R3-NH+
