
Host: bme-nova.bme.utexas.edu

Timers On : Tue Dec 31 10:21:27 2019
Timers Off: Tue Dec 31 10:22:16 2019

Wall Time:       48.37 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      5.167u      0.167s      1.258w     40 calls
DFH: initialize()                   :     49.633u      3.200s      8.291w     40 calls
DFH: AO Construction                :      7.717u      0.033s      1.162w     40 calls
DFH: AO-Met. Contraction            :      3.650u      0.033s      0.554w     40 calls
HF: Form core H                     :      0.383u      0.067s      0.073w     20 calls
HF: Form S/X                        :      0.133u      0.000s      0.022w     20 calls
HF: Guess                           :      4.117u      0.200s      0.647w     20 calls
SAD Guess                           :      4.033u      0.200s      0.631w      1 calls
HF: Form G                          :      5.283u      0.067s      0.772w    302 calls
JK: D                               :      0.100u      0.000s      0.016w    596 calls
JK: USO2AO                          :      0.067u      0.000s      0.010w    596 calls
JK: JK                              :     13.367u      0.317s      2.013w    596 calls
DFH: compute_JK()                   :     13.283u      0.300s      2.011w    596 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    596 calls
DFH: compute_J                      :      3.367u      0.017s      0.464w    596 calls
DFH: compute_K                      :      9.150u      0.283s      1.534w    596 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    596 calls
HF: Form F                          :      0.050u      0.000s      0.013w    302 calls
HF: Form D                          :      0.083u      0.000s      0.010w    302 calls
HF: DIIS                            :      1.950u      0.150s      0.333w    301 calls
DIISManager::add_entry              :      0.233u      0.000s      0.042w    282 calls
DIISManager::extrapolate            :      0.500u      0.100s      0.102w    282 calls
bMatrix setup                       :      0.283u      0.033s      0.058w    282 calls
bMatrix pseudoinverse               :      0.083u      0.017s      0.015w    282 calls
New vector                          :      0.133u      0.050s      0.027w    282 calls
HF: Form C                          :      2.033u      0.117s      0.298w    301 calls
DFMP2 Singles                       :      0.050u      0.000s      0.004w     20 calls
DFMP2 Aia                           :     17.767u      0.583s      2.750w     20 calls
DFMP2 (A|mn)                        :      4.300u      0.000s      0.649w     20 calls
DFMP2 (A|mn)C_mi                    :      0.200u      0.000s      0.019w     20 calls
DFMP2 (A|mi)C_na                    :      0.050u      0.000s      0.008w     20 calls
DFMP2 Aia Write                     :      0.100u      0.067s      0.026w     20 calls
DFMP2 iaQ                           :     12.450u      0.550s      1.951w     20 calls
DFMP2 Metric                        :     11.600u      0.433s      1.805w     20 calls
DFMP2 Aia Read                      :      0.017u      0.017s      0.011w     20 calls
DFMP2 (Q|A)(A|ia)                   :      0.300u      0.000s      0.053w     40 calls
DFMP2 Qia Write                     :      0.117u      0.050s      0.026w     20 calls
DFMP2 Qia Read                      :      0.117u      0.017s      0.020w     60 calls
DFMP2 Bia Write                     :      0.167u      0.017s      0.026w     20 calls
DFMP2 aiQ                           :      0.283u      0.083s      0.057w     20 calls
DFMP2 Tij                           :      2.267u      0.167s      0.358w     20 calls
DFMP2 Cia Read                      :      0.067u      0.000s      0.018w     40 calls
DFMP2 I                             :      0.933u      0.000s      0.146w     40 calls
DFMP2 T2                            :      0.900u      0.000s      0.143w     40 calls
DFMP2 G                             :      0.533u      0.017s      0.076w     20 calls
DFMP2 Pab                           :      0.083u      0.017s      0.021w     20 calls
DFMP2 Gia Write                     :      0.150u      0.067s      0.029w     20 calls
DFMP2 Tab                           :      1.717u      0.083s      0.277w     20 calls
DFMP2 Qai Read                      :      0.050u      0.033s      0.016w     40 calls
DFMP2 Pij                           :      0.350u      0.000s      0.047w     20 calls
