
Host: bme-nova.bme.utexas.edu

Timers On : Tue Dec 31 10:29:34 2019
Timers Off: Tue Dec 31 10:29:41 2019

Wall Time:        6.27 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.750u      0.050s      0.180w      6 calls
DFH: initialize()                   :      6.283u      1.000s      1.222w      6 calls
DFH: AO Construction                :      0.233u      0.000s      0.036w      6 calls
DFH: AO-Met. Contraction            :      0.467u      0.183s      0.102w      6 calls
HF: Form core H                     :      0.033u      0.000s      0.007w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      3 calls
HF: Guess                           :      2.000u      0.100s      0.314w      3 calls
SAD Guess                           :      1.883u      0.083s      0.297w      1 calls
HF: Form G                          :      0.100u      0.000s      0.014w     32 calls
JK: D                               :      0.017u      0.000s      0.001w     62 calls
JK: USO2AO                          :      0.017u      0.000s      0.003w     62 calls
JK: JK                              :      0.100u      0.000s      0.026w     62 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.026w     62 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     62 calls
DFH: compute_J                      :      0.050u      0.000s      0.006w     62 calls
DFH: compute_K                      :      0.050u      0.000s      0.019w     62 calls
JK: AO2USO                          :      0.067u      0.000s      0.002w     62 calls
HF: Form F                          :      0.017u      0.000s      0.000w     32 calls
HF: Form D                          :      0.000u      0.000s      0.000w     32 calls
HF: DIIS                            :      0.067u      0.000s      0.018w     31 calls
DIISManager::add_entry              :      0.000u      0.000s      0.002w     29 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.003w     29 calls
bMatrix setup                       :      0.000u      0.000s      0.001w     29 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.001w     29 calls
New vector                          :      0.000u      0.000s      0.001w     29 calls
HF: Form C                          :      0.083u      0.000s      0.005w     31 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia                           :      1.900u      0.067s      0.316w      3 calls
DFMP2 (A|mn)                        :      0.133u      0.000s      0.019w      3 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.000w      3 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      3 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 iaQ                           :      1.633u      0.033s      0.249w      3 calls
DFMP2 Metric                        :      1.600u      0.033s      0.245w      3 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.000w      3 calls
DFMP2 (Q|A)(A|ia)                   :      0.000u      0.000s      0.001w      6 calls
DFMP2 Qia Write                     :      0.000u      0.000s      0.001w      3 calls
DFMP2 Qia Read                      :      0.000u      0.000s      0.000w      9 calls
DFMP2 Bia Write                     :      0.017u      0.000s      0.001w      3 calls
